CV-structure	S5_%ULT_Tk	S5_%PULT_Tk	S5_%APULT_Tk	S5_%PAPULT_Tk	S5_nULT_Tk	S5_nPULT_Tk	S5_nAPULT_Tk	S5_nPAPULT_Tk
CCCVCCCVVCVCVCV	0	0	100	0	0	0	1	0
CCCVCCVCCVCVCCV	0	100	0	0	0	2	0	0
CCCVCCVCCVCVCV	0	75	25	0	0	3	1	0
CCCVCCVCVCCVCCV	0	100	0	0	0	11	0	0
CCCVCCVCVCCVCV	0	55.55555556	44.44444444	0	0	5	4	0
CCCVCCVCVCVCCV	0	100	0	0	0	27	0	0
CCCVCCVCVCVCV	0	71.42857143	28.57142857	0	0	5	2	0
CCCVCCVCVCVVCV	0	100	0	0	0	3	0	0
CCCVCVCCCVVCCVCV	0	0	100	0	0	0	1	0
CCCVCVCCVCCVCCV	0	100	0	0	0	3	0	0
CCCVCVCCVCCVCV	0	0	100	0	0	0	1	0
CCCVCVCCVCCVVCV	0	0	100	0	0	0	1	0
CCCVCVCCVCVCCV	0	64.70588235	35.29411765	0	0	11	6	0
CCCVCVCCVCVCV	0	16	84	0	0	4	21	0
CCCVCVCCVCVV	0	100	0	0	0	8	0	0
CCCVCVCCVCVVCV	0	100	0	0	0	10	0	0
CCCVCVCCVVCVCV	0	100	0	0	0	13	0	0
CCCVCVCVCCCVCV	0	100	0	0	0	2	0	0
CCCVCVCVCCVCCV	0	100	0	0	0	3	0	0
CCCVCVCVCCVCV	0	36.36363636	63.63636364	0	0	4	7	0
CCCVCVCVCVCCV	0	100	0	0	0	8	0	0
CCCVCVCVCVCV	0	75	25	0	0	12	4	0
CCCVCVCVCVV	0	100	0	0	0	8	0	0
CCCVCVCVCVVCV	0	100	0	0	0	1	0	0
CCCVCVCVVCCVCVV	0	100	0	0	0	1	0	0
CCCVCVVCVCVCCV	0	100	0	0	0	2	0	0
CCCVCVVCVCVCV	0	80	20	0	0	16	4	0
CCCVVCCVCVCV	0	100	0	0	0	60	0	0
CCCVVCCVCVCVV	0	100	0	0	0	371	0	0
CCCVVCCVVCVCVCV	0	100	0	0	0	2	0	0
CCVCCCVCCVCVV	0	100	0	0	0	1	0	0
CCVCCCVCVCCVCCV	0	100	0	0	0	1	0	0
CCVCCCVCVCVCCV	0	100	0	0	0	2	0	0
CCVCCCVCVCVCV	0	0	100	0	0	0	1	0
CCVCCCVCVVCVCV	0	100	0	0	0	5	0	0
CCVCCVCCCVCVCCV	0	100	0	0	0	1	0	0
CCVCCVCCCVVCVCV	0	100	0	0	0	1	0	0
CCVCCVCCVCCVCCV	0	87.5	12.5	0	0	7	1	0
CCVCCVCCVCCVCV	0	28.76712329	71.23287671	0	0	21	52	0
CCVCCVCCVCCVVCCV	0	100	0	0	0	1	0	0
CCVCCVCCVCVCCV	0	87.5	12.5	0	0	63	9	0
CCVCCVCCVCVCV	0	41.2371134	58.7628866	0	0	40	57	0
CCVCCVCCVCVV	0	92.85714286	7.142857143	0	0	13	1	0
CCVCCVCCVCVVCV	0	100	0	0	0	164	0	0
CCVCCVCCVVCCV	0	100	0	0	0	2	0	0
CCVCCVCCVVCVCV	0	25	75	0	0	1	3	0
CCVCCVCCVVCVV	0	100	0	0	0	4	0	0
CCVCCVCVCCVCCV	0	100	0	0	0	50	0	0
CCVCCVCVCCVCV	0	64.70588235	35.29411765	0	0	77	42	0
CCVCCVCVCCVV	0	100	0	0	0	10	0	0
CCVCCVCVCCVVCCV	0	100	0	0	0	6	0	0
CCVCCVCVCCVVCCVV	0	100	0	0	0	1	0	0
CCVCCVCVCCVVCV	0	95	5	0	0	19	1	0
CCVCCVCVCVCCV	0	97.60956175	2.390438247	0	0	490	12	0
CCVCCVCVCVCV	0	69.61651917	29.79351032	0.589970501	0	236	101	2
CCVCCVCVCVCVV	0	100	0	0	0	1	0	0
CCVCCVCVCVV	0	100	0	0	0	17	0	0
CCVCCVCVCVVCV	0	100	0	0	0	83	0	0
CCVCCVCVCVVV	0	100	0	0	0	1	0	0
CCVCCVCVVCCCVCCV	0	100	0	0	0	1	0	0
CCVCCVCVVCCV	0	100	0	0	0	19	0	0
CCVCCVCVVCV	0	100	0	0	0	5	0	0
CCVCCVCVVCVCCV	0	100	0	0	0	1	0	0
CCVCCVCVVCVCV	0	76.47058824	23.52941176	0	0	13	4	0
CCVCCVCVVVCCV	0	100	0	0	0	6	0	0
CCVCCVVCCVCCVCCV	0	100	0	0	0	20	0	0
CCVCCVVCCVCCVCV	0	93.33333333	6.666666667	0	0	14	1	0
CCVCCVVCCVCCVV	0	100	0	0	0	1	0	0
CCVCCVVCCVCVCCCV	0	100	0	0	0	1	0	0
CCVCCVVCCVCVCCV	0	100	0	0	0	73	0	0
CCVCCVVCCVCVCV	0	100	0	0	0	3	0	0
CCVCCVVCCVCVVCV	0	100	0	0	0	2	0	0
CCVCCVVCVCCV	0	100	0	0	0	1	0	0
CCVCCVVCVCCVCCV	0	100	0	0	0	3	0	0
CCVCCVVCVCCVCV	0	0	100	0	0	0	4	0
CCVCCVVCVCV	0	20	80	0	0	1	4	0
CCVCCVVCVCVCCV	0	100	0	0	0	16	0	0
CCVCCVVCVCVCV	0	0	100	0	0	0	33	0
CCVCCVVCVVCV	0	100	0	0	0	30	0	0
CCVCCVVVCVCCV	0	100	0	0	0	1	0	0
CCVCCVVVCVCV	0	100	0	0	0	5	0	0
CCVCCAVCVCVV	0	100	0	0	0	1	0	0
CCVCVCCCVCCVCV	0	100	0	0	0	1	0	0
CCVCVCCCVCCVVCV	0	100	0	0	0	2	0	0
CCVCVCCCVCVCV	0	100	0	0	0	19	0	0
CCVCVCCCVVCVCCV	0	100	0	0	0	2	0	0
CCVCVCCCVVCVCV	0	0	100	0	0	0	1	0
CCVCVCCVCCCVVCV	0	100	0	0	0	1	0	0
CCVCVCCVCCVCCV	0	28.57142857	71.42857143	0	0	2	5	0
CCVCVCCVCCVCV	0	27.02702703	72.97297297	0	0	20	54	0
CCVCVCCVCCVVCV	0	100	0	0	0	1	0	0
CCVCVCCVCVCCCV	0	100	0	0	0	1	0	0
CCVCVCCVCVCCV	0	98.4	1.6	0	0	246	4	0
CCVCVCCVCVCV	0	57.37051793	41.43426295	1.195219124	0	144	104	3
CCVCVCCVCVCVV	0	100	0	0	0	4	0	0
CCVCVCCVCVV	0	100	0	0	0	51	0	0
CCVCVCCVCVVCV	0	100	0	0	0	171	0	0
CCVCVCCVVCCVCCV	0	100	0	0	0	1	0	0
CCVCVCCVVCCVCV	0	75	25	0	0	3	1	0
CCVCVCCVVCV	0	100	0	0	0	45	0	0
CCVCVCCVVCVCCV	0	100	0	0	0	218	0	0
CCVCVCCVVCVCV	0	98.11764706	1.882352941	0	0	417	8	0
CCVCVCCVVCVCVV	0	100	0	0	0	5	0	0
CCVCVCVCCCVCV	0	100	0	0	0	3	0	0
CCVCVCVCCCVVCCV	0	100	0	0	0	1	0	0
CCVCVCVCCCVVCV	0	80	20	0	0	4	1	0
CCVCVCVCCCVVV	0	100	0	0	0	1	0	0
CCVCVCVCCVCCV	0	97.52808989	2.471910112	0	0	434	11	0
CCVCVCVCCVCCVV	0	100	0	0	0	4	0	0
CCVCVCVCCVCV	0	62.109375	37.6953125	0.1953125	0	318	193	1
CCVCVCVCCVCVV	0	100	0	0	0	2	0	0
CCVCVCVCCVV	0	100	0	0	0	11	0	0
CCVCVCVCCVVCV	0	100	0	0	0	124	0	0
CCVCVCVCVCCCV	0	100	0	0	0	2	0	0
CCVCVCVCVCCV	0	99.53632148	0.463678516	0	0	1288	6	0
CCVCVCVCVCV	0	59.69609262	38.92908828	1.374819103	0	825	538	19
CCVCVCVCVCVV	0	100	0	0	0	25	0	0
CCVCVCVCVV	0	95.87628866	4.12371134	0	0	93	4	0
CCVCVCVCVVCCV	0	100	0	0	0	6	0	0
CCVCVCVCVVCV	0	99.15824916	0.841750842	0	0	589	5	0
CCVCVCVVCCVCCV	0	100	0	0	0	4	0	0
CCVCVCVVCCVCV	0	0	100	0	0	0	1	0
CCVCVCVVCV	0	100	0	0	0	10	0	0
CCVCVCVVCVCCV	0	96.875	3.125	0	0	31	1	0
CCVCVCVVCVCV	0	94.56193353	5.438066465	0	0	313	18	0
CCVCVCVVCVCVV	0	100	0	0	0	2	0	0
CCVCVVCCVCCV	0	100	0	0	0	5	0	0
CCVCVVCCVCCVCV	0	33.33333333	66.66666667	0	0	1	2	0
CCVCVVCCVCV	0	100	0	0	0	8	0	0
CCVCVVCCVCVCCV	0	100	0	0	0	26	0	0
CCVCVVCCVCVCV	0	55	45	0	0	22	18	0
CCVCVVCCVCVV	0	100	0	0	0	7	0	0
CCVCVVCCVCVVCV	0	100	0	0	0	15	0	0
CCVCVVCCVVCV	0	100	0	0	0	1	0	0
CCVCVVCVCCVCCV	0	66.66666667	33.33333333	0	0	6	3	0
CCVCVVCVCCVCV	0	91.33333333	8.666666667	0	0	137	13	0
CCVCVVCVCCVV	0	100	0	0	0	1	0	0
CCVCVVCVCCVVCV	0	100	0	0	0	1	0	0
CCVCVVCVCV	0	3.225806452	96.77419355	0	0	1	30	0
CCVCVVCVCVCCV	0	97.56097561	2.43902439	0	0	40	1	0
CCVCVVCVCVCV	0	91.66666667	5	3.333333333	0	55	3	2
CCVCVVCVCVVCV	0	100	0	0	0	24	0	0
CCVCVVCVVCV	0	100	0	0	0	3	0	0
CCVCVVCVVCVCV	0	100	0	0	0	1	0	0
CCVVCCCVCCVCVCCV	0	100	0	0	0	1	0	0
CCVVCCCVCCVCVV	0	100	0	0	0	1	0	0
CCVVCCCVCVCVCV	0	0	100	0	0	0	3	0
CCVVCCCVCVCVV	0	100	0	0	0	5	0	0
CCVVCCCVCVVCV	0	100	0	0	0	3	0	0
CCVVCCCVVCVCCVCV	0	100	0	0	0	1	0	0
CCVVCCCVVCVCVCV	0	0	100	0	0	0	8	0
CCVVCCVCCCVVCV	0	100	0	0	0	1	0	0
CCVVCCVCCVCCV	0	100	0	0	0	7	0	0
CCVVCCVCCVCCVCCV	0	0	100	0	0	0	1	0
CCVVCCVCCVCV	0	33.33333333	66.66666667	0	0	3	6	0
CCVVCCVCCVCVCCV	0	100	0	0	0	1	0	0
CCVVCCVCCVVCCV	0	100	0	0	0	3	0	0
CCVVCCVCCVVCV	0	79.31034483	20.68965517	0	0	23	6	0
CCVVCCVCVCCV	0	97.52066116	2.479338843	0	0	118	3	0
CCVVCCVCVCCVCCV	0	0	100	0	0	0	1	0
CCVVCCVCVCCVCV	0	0	100	0	0	0	1	0
CCVVCCVCVCV	0	88.15789474	5.263157895	6.578947368	0	268	16	20
CCVVCCVCVCVV	0	100	0	0	0	8	0	0
CCVVCCVCVCVVCV	0	100	0	0	0	2	0	0
CCVVCCVCVVCV	0	100	0	0	0	5	0	0
CCVVCVCCVCCV	0	100	0	0	0	12	0	0
CCVVCVCCVCCVVCV	0	0	0	100	0	0	0	1
CCVVCVCCVCV	0	16.66666667	83.33333333	0	0	1	5	0
CCVVCVCCVVCVCV	0	100	0	0	0	1	0	0
CCVVCVCVCCCVCV	0	0	100	0	0	0	1	0
CCVVCVCVCCV	0	100	0	0	0	4	0	0
CCVVCVCVCCVCCV	0	100	0	0	0	2	0	0
CCVVCVCVCCVCCVV	0	100	0	0	0	1	0	0
CCVVCVCVCCVCV	0	71.42857143	28.57142857	0	0	5	2	0
