CV-structure	S2_%ULT_Ty	S2_%PULT_Ty	S2_nULT_Ty	S2_nPULT_Ty
CCCCV	0	100	0	1
CCCVCCCV	0	100	0	6
CCCVCCV	0	100	0	92
CCCVCCVV	0	100	0	18
CCCVCV	0	100	0	56
CCCVCVV	0	100	0	13
CCCVV	0	100	0	3
CCCVVCCCV	0	100	0	2
CCCVVCCV	0	100	0	16
CCCVVCCVV	0	100	0	1
CCCVVCV	0	100	0	18
CCCVVV	0	100	0	2
CCVCC	0	100	0	1
CCVCCCV	0	100	0	64
CCVCCCVCC	0	100	0	1
CCVCCCVV	0	100	0	11
CCVCCV	0	100	0	756
CCVCCVCC	0	100	0	6
CCVCCVV	0	100	0	100
CCVCV	0.238663484	99.76133652	1	418
CCVCVV	0	100	0	71
CCVV	0	100	0	23
CCVVCCCV	0	100	0	6
CCVVCCV	0	100	0	75
CCVVCCVV	0	100	0	13
CCVVCV	0	100	0	94
CCVVCVV	0	100	0	2
CCVVV	0	100	0	2
CCVVVV	0	100	0	4
CVCC	0	100	0	10
CVCCCV	0.411522634	99.58847737	1	242
CVCCCVV	0	100	0	52
CVCCCVVCV	100	0	1	0
CVCCV	0.04454343	99.95545657	1	2244
CVCCVCC	15.78947368	84.21052632	3	16
CVCCVCCV	100	0	1	0
CVCCVCV	100	0	1	0
CVCCVV	0.34965035	99.65034965	1	285
CVCV	0.090909091	99.90909091	1	1099
CVCVCC	0	100	0	10
CVCVCCV	100	0	2	0
CVCVCV	100	0	2	0
CVCVCVV	100	0	1	0
CVCVV	0.549450549	99.45054945	1	181
CVCVVCC	50	50	1	1
CVV	0	100	0	98
CVVCC	0	100	0	2
CVVCCCV	0	100	0	22
CVVCCV	0	100	0	215
CVVCCVV	0	100	0	22
CVVCV	0	100	0	267
CVVCVCC	0	100	0	1
CVVCVCCV	100	0	1	0
CVVCVV	0	100	0	12
CVVV	0	100	0	35
CVVVCCV	0	100	0	1
CVVVCV	0	100	0	6
CVVVV	0	100	0	7
CSCVV	0	100	0	2
CACVCCV	0	100	0	1
CAVCCCV	0	100	0	3
CAVCCCVV	0	100	0	1
CAVCCV	0	100	0	6
CAVCCVV	100	0	1	0
CAVCV	0	100	0	4
CAVCVV	0	100	0	2
VCC	0	100	0	1
VCCCV	0	100	0	51
VCCCVV	0	100	0	8
VCCV	0	100	0	241
VCCVCC	0	100	0	2
VCCVCCV	100	0	2	0
VCCVCV	100	0	1	0
VCCVV	0	100	0	60
VCV	0	100	0	98
VCVCC	0	100	0	2
VCVV	0	100	0	22
VVCCCVV	0	100	0	1
VVCCV	0	100	0	3
VVCV	0	100	0	21
VVCVV	0	100	0	5
VVV	0	100	0	2
SCCV	0	100	0	1
