CV-structure	S5_%ULT_Ty	S5_%PULT_Ty	S5_%APULT_Ty	S5_%PAPULT_Ty	S5_nULT_Ty	S5_nPULT_Ty	S5_nAPULT_Ty	S5_nPAPULT_Ty
CCCVCCCVVCVCVCV	0	0	100	0	0	0	1	0
CCCVCCVCCVCVCCV	0	100	0	0	0	1	0	0
CCCVCCVCCVCVCV	0	66.66666667	33.33333333	0	0	2	1	0
CCCVCCVCVCCVCCV	0	100	0	0	0	3	0	0
CCCVCCVCVCCVCV	0	33.33333333	66.66666667	0	0	1	2	0
CCCVCCVCVCVCCV	0	100	0	0	0	6	0	0
CCCVCCVCVCVCV	0	66.66666667	33.33333333	0	0	4	2	0
CCCVCCVCVCVVCV	0	100	0	0	0	1	0	0
CCCVCVCCCVVCCVCV	0	0	100	0	0	0	1	0
CCCVCVCCVCCVCCV	0	100	0	0	0	1	0	0
CCCVCVCCVCCVCV	0	0	100	0	0	0	1	0
CCCVCVCCVCCVVCV	0	0	100	0	0	0	1	0
CCCVCVCCVCVCCV	0	71.42857143	28.57142857	0	0	5	2	0
CCCVCVCCVCVCV	0	27.27272727	72.72727273	0	0	3	8	0
CCCVCVCCVCVV	0	100	0	0	0	2	0	0
CCCVCVCCVCVVCV	0	100	0	0	0	2	0	0
CCCVCVCCVVCVCV	0	100	0	0	0	4	0	0
CCCVCVCVCCCVCV	0	100	0	0	0	1	0	0
CCCVCVCVCCVCCV	0	100	0	0	0	3	0	0
CCCVCVCVCCVCV	0	33.33333333	66.66666667	0	0	3	6	0
CCCVCVCVCVCCV	0	100	0	0	0	5	0	0
CCCVCVCVCVCV	0	70	30	0	0	7	3	0
CCCVCVCVCVV	0	100	0	0	0	2	0	0
CCCVCVCVCVVCV	0	100	0	0	0	1	0	0
CCCVCVCVVCCVCVV	0	100	0	0	0	1	0	0
CCCVCVVCVCVCCV	0	100	0	0	0	2	0	0
CCCVCVVCVCVCV	0	50	50	0	0	3	3	0
CCCVVCCVCVCV	0	100	0	0	0	1	0	0
CCCVVCCVCVCVV	0	100	0	0	0	3	0	0
CCCVVCCVVCVCVCV	0	100	0	0	0	1	0	0
CCVCCCVCCVCVV	0	100	0	0	0	1	0	0
CCVCCCVCVCCVCCV	0	100	0	0	0	1	0	0
CCVCCCVCVCVCCV	0	100	0	0	0	2	0	0
CCVCCCVCVCVCV	0	0	100	0	0	0	1	0
CCVCCCVCVVCVCV	0	100	0	0	0	4	0	0
CCVCCVCCCVCVCCV	0	100	0	0	0	1	0	0
CCVCCVCCCVVCVCV	0	100	0	0	0	1	0	0
CCVCCVCCVCCVCCV	0	80	20	0	0	4	1	0
CCVCCVCCVCCVCV	0	42.30769231	57.69230769	0	0	11	15	0
CCVCCVCCVCCVVCCV	0	100	0	0	0	1	0	0
CCVCCVCCVCVCCV	0	89.47368421	10.52631579	0	0	17	2	0
CCVCCVCCVCVCV	0	50.98039216	49.01960784	0	0	26	25	0
CCVCCVCCVCVV	0	80	20	0	0	4	1	0
CCVCCVCCVCVVCV	0	100	0	0	0	6	0	0
CCVCCVCCVVCCV	0	100	0	0	0	1	0	0
CCVCCVCCVVCVCV	0	25	75	0	0	1	3	0
CCVCCVCCVVCVV	0	100	0	0	0	2	0	0
CCVCCVCVCCVCCV	0	100	0	0	0	12	0	0
CCVCCVCVCCVCV	0	48.93617021	51.06382979	0	0	23	24	0
CCVCCVCVCCVV	0	100	0	0	0	2	0	0
CCVCCVCVCCVVCCV	0	100	0	0	0	3	0	0
CCVCCVCVCCVVCCVV	0	100	0	0	0	1	0	0
CCVCCVCVCCVVCV	0	88.88888889	11.11111111	0	0	8	1	0
CCVCCVCVCVCCV	0	95.55555556	4.444444444	0	0	43	2	0
CCVCCVCVCVCV	0	51.19047619	47.61904762	1.19047619	0	43	40	1
CCVCCVCVCVCVV	0	100	0	0	0	1	0	0
CCVCCVCVCVV	0	100	0	0	0	7	0	0
CCVCCVCVCVVCV	0	100	0	0	0	15	0	0
CCVCCVCVCVVV	0	100	0	0	0	1	0	0
CCVCCVCVVCCCVCCV	0	100	0	0	0	1	0	0
CCVCCVCVVCCV	0	100	0	0	0	5	0	0
CCVCCVCVVCV	0	100	0	0	0	1	0	0
CCVCCVCVVCVCCV	0	100	0	0	0	1	0	0
CCVCCVCVVCVCV	0	55.55555556	44.44444444	0	0	5	4	0
CCVCCVCVVVCCV	0	100	0	0	0	1	0	0
CCVCCVVCCVCCVCCV	0	100	0	0	0	7	0	0
CCVCCVVCCVCCVCV	0	75	25	0	0	3	1	0
CCVCCVVCCVCCVV	0	100	0	0	0	1	0	0
CCVCCVVCCVCVCCCV	0	100	0	0	0	1	0	0
