2lett	%ULT_Tk	%PULT_Tk	%APULT_Tk	%PAPULT_Tk	nULT_Tk	nPULT_Tk	nAPULT_Tk	nPAPULT_Tk
a'	0	0	100	0	0	0	1	0
ab	4.053506283	76.93554925	17.95703283	1.053911634	200	3796	886	52
ac	1.795591182	90.00400802	7.951903808	0.248496994	224	11228	992	31
ad	0.871872631	93.91584534	5.098559515	0.113722517	46	4955	269	6
ae	0.401606426	35.34136546	64.25702811	0	2	176	320	0
af	4.705882353	86.02282704	9.271290606	0	268	4899	528	0
ag	2.709975014	85.60445897	11.41649049	0.269075533	141	4454	594	14
ah	85.29411765	14.70588235	0	0	29	5	0	0
ai	5.9712774	89.41798942	4.610733182	0	79	1183	61	0
aj	0	100	0	0	0	14	0	0
ak	0	55.55555556	44.44444444	0	0	5	4	0
al	2.46046966	94.33730144	3.173282194	0.028946702	680	26072	877	8
am	1.115524381	88.09262233	10.76650046	0.025352827	132	10424	1274	3
an	2.251828751	90.44692609	7.216400284	0.084844871	982	39443	3147	37
ao	0	94.87179487	5.128205128	0	0	37	2	0
ap	2.354455992	91.48349122	6.051687667	0.110365125	256	9947	658	12
aq	0	38.46153846	61.53846154	0	0	25	40	0
ar	2.752628505	79.73860981	17.48685748	0.021904206	377	10921	2395	3
as	1.549116093	90.84199016	7.599781301	0.009112448	170	9969	834	1
at	7.655775076	83.09270517	9.223024316	0.028495441	806	8748	971	3
au	5.69823435	74.23756019	19.93579454	0.128410915	355	4625	1242	8
av	7.435975301	85.69490839	6.867091811	0.002024496	3673	42329	3392	1
ay	0	100	0	0	0	20	0	0
az	0.372093023	98.88372093	0.744186047	0	8	2126	16	0
ba	3.184845962	90.00138773	6.792950319	0.020815987	459	12971	979	3
be	3.416435826	88.04247461	8.541089566	0	296	7628	740	0
bi	1.591716891	93.54041106	4.867872045	0	103	6053	315	0
bl	1.100244499	97.31051345	1.589242054	0	9	796	13	0
bo	3.006081668	92.61511729	4.378801043	0	173	5330	252	0
br	1.269905261	89.27635557	9.453739165	0	63	4429	469	0
bu	1.827465735	92.34076861	5.831765654	0	68	3436	217	0
by	0	100	0	0	0	1	0	0
ca	3.201825888	85.25377676	11.49005543	0.054341919	1473	39221	5286	25
ce	1.482177717	89.09695611	9.341334683	0.079531487	205	12323	1292	11
ch	4.287138584	77.10504849	18.48092087	0.126892051	473	8507	2039	14
ci	22.23779491	65.66222845	11.85081367	0.249162968	2856	8433	1522	32
cl	0.502512563	68.7724336	30.65326633	0.071787509	14	1916	854	2
cn	0	100	0	0	0	1	0	0
co	6.230039343	87.52418422	5.981022911	0.264753529	6730	94548	6461	286
cr	3.505825548	74.28361499	22.15807704	0.052482418	334	7077	2111	5
cu	2.017618642	94.44918064	3.504783556	0.028417164	213	9971	370	3
cy	23.07692308	76.92307692	0	0	3	10	0	0
d'	0.848484848	95.75757576	3.393939394	0	7	790	28	0
da	0.608225526	98.04016219	1.346785094	0.004827187	126	20310	279	1
de	1.173933876	86.06612362	12.41974126	0.340201246	245	17962	2592	71
di	1.176109533	93.75711556	5.044005108	0.022769797	1188	94705	5095	23
dj	33.33333333	66.66666667	0	0	1	2	0	0
do	3.82550087	86.10524757	9.998889012	0.070362552	1033	23251	2700	19
dr	1.339285714	71.60714286	27.05357143	0	15	802	303	0
du	0.679397723	98.20969519	1.074182887	0.036724201	74	10697	117	4
e'	0	50	50	0	0	2	2	0
eb	0.217864924	71.24183007	28.54030501	0	1	327	131	0
ec	0.697494188	68.43192973	30.79307672	0.077499354	27	2649	1192	3
ed	0.308071473	91.0659273	8.626001232	0	5	1478	140	0
ef	0.276548673	97.40044248	2.32300885	0	5	1761	42	0
eg	0.064102564	99.48717949	0.448717949	0	5	7760	35	0
ei	0	100	0	0	0	40	0	0
ek	0	100	0	0	0	1	0	0
el	1.459549625	83.04837364	15.24186822	0.250208507	70	3983	731	12
em	1.12640801	88.90279516	9.970796829	0	27	2131	239	0
en	3.717391304	85.30434783	10.97826087	0	171	3924	505	0
eo	0	46.15384615	53.84615385	0	0	6	7	0
ep	0.681663258	61.82685753	37.49147921	0	10	907	550	0
eq	2.896341463	85.21341463	11.8902439	0	19	559	78	0
