2lett	S2_%ULT_Tk	S2_%PULT_Tk	S3_%ULT_Tk	S3_%PULT_Tk	S3_%APULT_Tk	S4_%ULT_Tk	S4_%PULT_Tk	S4_%APULT_Tk	S4_%PAPULT_Tk	S5_%ULT_Tk	S5_%PULT_Tk	S5_%APULT_Tk	S5_%PAPULT_Tk	S6_%ULT_Tk	S6_%PULT_Tk	S6_%APULT_Tk	S6_%PAPULT_Tk	S7_%ULT_Tk	S7_%PULT_Tk	S7_%APULT_Tk	S7_%PAPULT_Tk	S8_%ULT_Tk	S8_%PULT_Tk	S8_%APULT_Tk	S9_%PULT_Tk	S10_%PULT_Tk	S10_%APULT_Tk	S11_%PULT_Tk	S2_nULT_Tk	S2_nPULT_Tk	S3_nULT_Tk	S3_nPULT_Tk	S3_nAPULT_Tk	S4_nULT_Tk	S4_nPULT_Tk	S4_nAPULT_Tk	S4_nPAPULT_Tk	S5_nULT_Tk	S5_nPULT_Tk	S5_nAPULT_Tk	S5_nPAPULT_Tk	S6_nULT_Tk	S6_nPULT_Tk	S6_nAPULT_Tk	S6_nPAPULT_Tk	S7_nULT_Tk	S7_nPULT_Tk	S7_nAPULT_Tk	S7_nPAPULT_Tk	S8_nULT_Tk	S8_nPULT_Tk	S8_nAPULT_Tk	S9_nPULT_Tk	S10_nPULT_Tk	S10_nAPULT_Tk	S11_nPULT_Tk
a'	NA	NA	0	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ab	84.84848485	15.15151515	4.588014981	51.12359551	44.28838951	5.312646921	89.04560414	3.385049365	2.256699577	0.189753321	79.94939911	19.60784314	0.253004428	5.6	69.6	24.8	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	28	5	49	546	473	113	1894	72	48	3	1264	310	4	7	87	31	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ac	0.165700083	99.83429992	2.200880352	95.69827931	2.100840336	2.231285988	85.02879079	12.73992322	0	0.768808347	81.93300384	15.59582647	1.70236134	1.818181818	73.09090909	25.09090909	0	0	60	40	0	0	0	100	NA	NA	NA	NA	2	1205	110	4783	105	93	3544	531	0	14	1492	284	31	5	201	69	0	0	3	2	0	0	0	1	NA	NA	NA	NA
ad	9.782608696	90.2173913	0.420168067	98.31932773	1.260504202	1.068376068	88.67521368	10.25641026	0	0.538116592	91.47982063	7.443946188	0.538116592	11.36363636	70.45454545	18.18181818	0	0	66.66666667	33.33333333	0	NA	NA	NA	NA	NA	NA	NA	9	83	11	2574	33	15	1245	144	0	6	1020	83	6	5	31	8	0	0	2	1	0	NA	NA	NA	NA	NA	NA	NA
ae	NA	NA	NA	NA	NA	0.809716599	1.214574899	97.9757085	0	0	96.98795181	3.012048193	0	0	22.22222222	77.77777778	0	0	5	95	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	3	242	0	0	161	5	0	0	10	35	0	0	2	38	0	NA	NA	NA	NA	NA	NA	NA
af	5.882352941	94.11764706	8.313539192	82.85035629	8.836104513	2.094426695	90.8058218	7.099751509	0	0.940438871	80.2507837	18.80877743	0	31.25	41.25	27.5	0	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	3	48	175	1744	186	59	2558	200	0	6	512	120	0	25	33	22	0	0	4	0	0	NA	NA	NA	NA	NA	NA	NA
ag	3	97	1.240496198	95.6382553	3.121248499	2.215189873	75.26371308	21.83544304	0.685654008	11.31386861	71.71532847	16.78832117	0.182481752	0	78.72340426	21.27659574	0	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	6	194	31	2390	78	42	1427	414	13	62	393	92	1	0	37	10	0	0	13	0	0	NA	NA	NA	NA	NA	NA	NA
ah	66.66666667	33.33333333	93.10344828	6.896551724	0	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	1	27	2	0	0	2	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ai	0	100	9.021406728	90.82568807	0.152905199	3.231017771	91.27625202	5.49273021	0	0	23.52941176	76.47058824	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	16	59	594	1	20	565	34	0	0	8	26	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
aj	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	12	0	2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
