1lett	S2_%ULT_Ty	S2_%PULT_Ty	S3_%ULT_Ty	S3_%PULT_Ty	S3_%APULT_Ty	S4_%ULT_Ty	S4_%PULT_Ty	S4_%APULT_Ty	S4_%PAPULT_Ty	S5_%ULT_Ty	S5_%PULT_Ty	S5_%APULT_Ty	S5_%PAPULT_Ty	S6_%ULT_Ty	S6_%PULT_Ty	S6_%APULT_Ty	S6_%PAPULT_Ty	S7_%ULT_Ty	S7_%PULT_Ty	S7_%APULT_Ty	S7_%PAPULT_Ty	S8_%ULT_Ty	S8_%PULT_Ty	S8_%APULT_Ty	S9_%PULT_Ty	S10_%PULT_Ty	S10_%APULT_Ty	S11_%PULT_Ty	S2_nULT_Ty	S2_nPULT_Ty	S3_nULT_Ty	S3_nPULT_Ty	S3_nAPULT_Ty	S4_nULT_Ty	S4_nPULT_Ty	S4_nAPULT_Ty	S4_nPAPULT_Ty	S5_nULT_Ty	S5_nPULT_Ty	S5_nAPULT_Ty	S5_nPAPULT_Ty	S6_nULT_Ty	S6_nPULT_Ty	S6_nAPULT_Ty	S6_nPAPULT_Ty	S7_nULT_Ty	S7_nPULT_Ty	S7_nAPULT_Ty	S7_nPAPULT_Ty	S8_nULT_Ty	S8_nPULT_Ty	S8_nAPULT_Ty	S9_nPULT_Ty	S10_nPULT_Ty	S10_nAPULT_Ty	S11_nPULT_Ty
!	100	NA	NA	100	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	3	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
a	29.21348315	70.78651685	10.13953488	79.44186047	10.41860465	4.029643353	78.74015748	16.9754516	0.254747568	1.51338766	68.37407839	29.02599922	1.08653473	1.870503597	57.69784173	40.28776978	0.143884892	1.550387597	70.54263566	26.35658915	1.550387597	6.451612903	67.74193548	25.80645161	100	NA	NA	NA	104	252	218	1708	224	174	3400	733	11	39	1762	748	28	13	401	280	1	2	91	34	2	2	21	8	4	NA	NA	NA
b	17.23027375	82.76972625	3.318152245	84.71047495	11.9713728	0.968992248	81.39534884	17.44186047	0.19379845	1.449275362	78.26086957	20.28985507	NA	NA	74.35897436	25.64102564	NA	NA	75	25	NA	NA	NA	NA	NA	NA	NA	NA	107	514	51	1302	184	10	840	180	2	3	162	42	NA	NA	29	10	NA	NA	3	1	NA	NA	NA	NA	NA	NA	NA	NA
c	15.52270327	84.47729673	5.20320197	80.48029557	14.31650246	3.224993701	78.53363568	17.53590325	0.705467372	1.88034188	68.6039886	28.43304843	1.082621083	2.843601896	65.87677725	31.27962085	NA	3.614457831	66.26506024	30.12048193	NA	NA	50	50	NA	NA	NA	NA	147	800	169	2614	465	128	3117	696	28	33	1204	499	19	12	278	132	NA	3	55	25	NA	NA	3	3	NA	NA	NA	NA
d	16.79790026	83.20209974	5.038167939	79.61832061	15.34351145	3.722084367	74.54094293	21.38957816	0.347394541	1.247600768	70.63339731	26.67946257	1.439539347	2.040816327	71.83673469	25.30612245	0.816326531	NA	80.48780488	19.51219512	NA	NA	100	NA	100	NA	NA	NA	64	317	66	1043	201	75	1502	431	7	13	736	278	15	5	176	62	2	NA	33	8	NA	NA	6	NA	2	NA	NA	NA
e	11.39240506	88.60759494	6.158833063	74.23014587	19.61102107	3.690987124	69.09871245	26.0944206	1.115879828	2.907711757	70.92288243	25.28445006	0.884955752	4.128440367	66.51376147	29.35779817	NA	1.612903226	46.77419355	51.61290323	NA	NA	100	NA	100	NA	NA	NA	18	140	38	458	121	43	805	304	13	23	561	200	7	9	145	64	NA	1	29	32	NA	NA	5	NA	2	NA	NA	NA
f	12.19931271	87.80068729	4.119601329	81.66112957	14.2192691	3.183023873	75.15473033	21.57382847	0.08841733	3.110047847	64.59330144	30.62200957	1.674641148	NA	65.71428571	34.28571429	NA	NA	100	NA	NA	NA	100	NA	100	NA	NA	NA	71	511	62	1229	214	36	850	244	1	13	270	128	7	NA	69	36	NA	NA	26	NA	NA	NA	2	NA	1	NA	NA	NA
g	15.18771331	84.81228669	2.848344881	85.6812933	11.47036182	2.092511013	74.44933921	23.01762115	0.440528634	3.225806452	65.72580645	29.43548387	1.612903226	4.166666667	62.5	33.33333333	NA	NA	75	25	NA	NA	NA	NA	NA	NA	NA	NA	89	497	37	1113	149	19	676	209	4	8	163	73	4	3	45	24	NA	NA	9	3	NA	NA	NA	NA	NA	NA	NA	NA
h	17.64705882	82.35294118	12.5	50	37.5	NA	84.61538462	15.38461538	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	14	2	8	6	NA	11	2	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
i	17.69911504	82.30088496	10.20191286	80.87141339	8.926673751	4.761904762	80.47982552	14.43111596	0.327153762	2.042669088	74.94325919	22.37857467	0.635497049	4.545454545	45.33169533	49.63144963	0.491400491	18.27956989	50.53763441	31.1827957	NA	18.51851852	62.96296296	18.51851852	100	NA	NA	NA	20	93	96	761	84	131	2214	397	9	45	1651	493	14	37	369	404	4	34	94	58	NA	5	17	5	4	NA	NA	NA
j	NA	100	NA	75	25	NA	86.66666667	13.33333333	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14	NA	12	4	NA	13	2	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
k	31.03448276	68.96551724	19.35483871	58.06451613	22.58064516	NA	77.77777778	22.22222222	NA	NA	50	50	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	20	6	18	7	NA	14	4	NA	NA	1	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
l	11.51960784	88.48039216	3.520352035	75.57755776	20.90209021	2.599009901	77.5990099	18.19306931	1.608910891	2.641509434	72.45283019	23.77358491	1.132075472	NA	85.18518519	14.81481481	NA	NA	44.44444444	55.55555556	NA	NA	57.14285714	42.85714286	NA	NA	NA	NA	47	361	32	687	190	21	627	147	13	7	192	63	3	NA	23	4	NA	NA	4	5	NA	NA	4	3	NA	NA	NA	NA
m	18.88341544	81.11658456	4.831460674	79.83146067	15.33707865	2.395209581	80.18508438	16.87534023	0.544365814	2.371541502	70.09222661	26.61396574	0.92226614	4.182509506	63.49809886	32.31939163	NA	4.545454545	72.72727273	22.72727273	NA	NA	33.33333333	66.66666667	100	NA	NA	NA	115	494	86	1421	273	44	1473	310	10	18	532	202	7	11	167	85	NA	2	32	10	NA	NA	1	2	3	NA	NA	NA
n	10.31746032	89.68253968	5.458515284	75.32751092	19.2139738	3.614457831	74.93975904	21.20481928	0.240963855	2.941176471	69.60784314	25.98039216	1.470588235	2.352941176	64.70588235	32.94117647	NA	NA	85.18518519	14.81481481	NA	NA	75	25	100	NA	NA	NA	26	226	25	345	88	15	311	88	1	6	142	53	3	2	55	28	NA	NA	23	4	NA	NA	3	1	2	NA	NA	NA
o	14.72868217	85.27131783	6.007067138	78.62190813	15.37102473	3.439153439	78.57142857	16.93121693	1.058201058	2.652519894	66.31299735	29.9734748	1.061007958	5.617977528	69.66292135	24.71910112	NA	NA	89.47368421	10.52631579	NA	NA	66.66666667	33.33333333	100	NA	100	NA	19	110	34	445	87	26	594	128	8	10	250	113	4	5	62	22	NA	NA	17	2	NA	NA	2	1	2	NA	1	NA
p	15.0202977	84.9797023	4.803001876	81.12570356	14.07129456	2.827191868	75.50825921	21.0292249	0.635324015	2.724594993	68.77761414	27.76141384	0.736377025	3.459119497	67.29559748	28.6163522	0.628930818	NA	67.24137931	32.75862069	NA	NA	77.77777778	22.22222222	100	100	NA	NA	111	628	128	2162	375	89	2377	662	20	37	934	377	10	11	214	91	2	NA	39	19	NA	NA	7	2	1	1	NA	NA
