ending	%ULT_Tk	%PULT_Tk	%APULT_Tk	nULT_Tk	nPULT_Tk	nAPULT_Tk
'ci	0	100	0	0	1	0
'ma	0	100	0	0	4	0
'pi	0	100	0	0	9	0
're	0	100	0	0	1	0
bba	0	100	0	0	134	0
bbe	0	100	0	0	9323	0
bbi	0	100	0	0	322	0
bbo	0	100	0	0	127	0
bka	0	100	0	0	9	0
bla	0	100	0	0	2	0
ble	0	100	0	0	2	0
bli	0	100	0	0	49	0
blo	0	100	0	0	27	0
blu	100	0	0	3	0	0
bra	0	97.4179666487359	2.58203335126412	0	1811	48
bre	0	87.7584330794342	12.2415669205658	0	1613	225
bri	0	87.5800256081946	12.4199743918054	0	684	97
bro	0	91.1733046286329	8.82669537136706	0	847	82
cca	0	100	0	0	1517	0
cce	0	100	0	0	640	0
cci	0	100	0	0	867	0
cco	0	100	0	0	2654	0
ccu	0	100	0	0	1	0
cha	0	100	0	0	2	0
che	0	81.0476983049363	18.9523016950637	0	18504	4327
chi	0	97.4154435226548	2.58455647734525	0	6106	162
cho	0	100	0	0	16	0
cke	0	0	100	0	0	2
cla	0	100	0	0	8	0
cle	0	0	100	0	0	13
cli	0	100	0	0	23	0
clo	0	99.0990990990991	0.900900900900901	0	110	1
cme	0	100	0	0	3	0
cne	0	100	0	0	5	0
cno	0	100	0	0	1	0
cra	0	100	0	0	78	0
cre	0	100	0	0	49	0
cri	0	95.6521739130435	4.34782608695652	0	66	3
cro	0	94.7791164658635	5.22088353413655	0	236	13
cru	0	100	0	0	2	0
csa	0	100	0	0	2	0
cta	0	100	0	0	18	0
cto	0	100	0	0	1	0
ctu	0	100	0	0	1	0
dda	0	100	0	0	191	0
dde	0	100	0	0	111	0
ddi	0	100	0	0	39	0
ddo	0	100	0	0	279	0
ddu	0	100	0	0	6	0
dge	0	100	0	0	1	0
dha	0	100	0	0	61	0
dhi	0	100	0	0	4	0
dja	0	100	0	0	7	0
dka	0	100	0	0	5	0
dmo	0	100	0	0	1	0
dra	0	98.3464566929134	1.65354330708661	0	1249	21
dre	0	99.8804304503786	0.119569549621363	0	2506	3
dri	0	100	0	0	432	0
dro	0	100	0	0	708	0
eso	0	0	100	0	0	1
ffa	0	100	0	0	186	0
ffe	0	100	0	0	136	0
ffi	0	100	0	0	130	0
ffo	0	100	0	0	183	0
fle	0	100	0	0	1	0
flo	0	100	0	0	2	0
fne	0	100	0	0	2	0
fra	0	100	0	0	152	0
fre	0	100	0	0	438	0
fri	0	100	0	0	13	0
fro	0	100	0	0	30	0
fta	0	100	0	0	8	0
fte	0	100	0	0	1	0
gda	0	100	0	0	3	0
gga	0	100	0	0	27	0
gge	0	100	0	0	1497	0
ggi	0	100	0	0	4329	0
ggo	0	100	0	0	70	0
gha	0	100	0	0	1	0
ghe	0	94.541231126597	5.45876887340302	0	814	47
ghi	0	87.3758865248227	12.6241134751773	0	1232	178
gla	0	100	0	0	70	0
gle	0	100	0	0	10	0
gli	0	97.2793522267206	2.72064777327935	0	12014	336
glo	0	100	0	0	12	0
gma	0	100	0	0	46	0
gmi	0	100	0	0	22	0
gna	0	100	0	0	3594	0
gne	0	100	0	0	395	0
gni	0	100	0	0	4960	0
gno	0	100	0	0	4615	0
gra	0	93.6305732484076	6.36942675159236	0	147	10
gre	0	97.8723404255319	2.12765957446809	0	92	2
gri	0	96.5811965811966	3.41880341880342	0	113	4
gro	0	96.9230769230769	3.07692307692308	0	189	6
jka	0	0	100	0	0	5
jno	0	100	0	0	2	0
kko	0	100	0	0	9	0
ktu	100	0	0	2	0	0
kyo	0	100	0	0	71	0
lba	0	100	0	0	254	0
lbe	0	100	0	0	5	0
lbi	0	100	0	0	10	0
lbo	0	100	0	0	88	0
lca	0	100	0	0	26	0
lce	0	100	0	0	289	0
lci	0	100	0	0	166	0
lco	0	100	0	0	155	0
lda	0	100	0	0	204	0
lde	0	100	0	0	107	0
ldi	0	100	0	0	803	0
ldo	0	100	0	0	664	0
lfa	0	100	0	0	268	0
lfi	0	100	0	0	27	0
lfo	0	100	0	0	138	0
lga	0	100	0	0	155	0
lge	0	100	0	0	207	0
lgi	0	100	0	0	15	0
lgo	0	100	0	0	39	0
lhi	0	100	0	0	8	0
lje	0	100	0	0	2	0
lka	0	100	0	0	7	0
lke	0	100	0	0	2	0
lla	0	100	0	0	64316	0
lle	0.115825643797537	99.8841743562025	0	30	25871	0
lli	0	100	0	0	6075	0
llo	0	100	0	0	14160	0
llu	0	100	0	0	1	0
lma	0	100	0	0	272	0
lme	0	100	0	0	41	0
lmi	0	100	0	0	96	0
lmo	0	100	0	0	136	0
lpa	0	100	0	0	389	0
lpe	0	100	0	0	132	0
lpi	0	100	0	0	472	0
lpo	0	100	0	0	489	0
lsa	0	100	0	0	169	0
lse	0	100	0	0	225	0
lsi	0	100	0	0	173	0
lso	0	100	0	0	262	0
LSO	0	100	0	0	43	0
lta	0	100	0	0	6108	0
