ending	B_%PULT_Tk	C_%PULT_Tk	E_%ULT_Tk	E_%PULT_Tk	E_%APULT_Tk	G_%ULT_Tk	G_%PULT_Tk	G_%APULT_Tk	I_%PULT_Tk	N_%PULT_Tk	N_%APULT_Tk	NU_%ULT_Tk	NU_%PULT_Tk	P_%PULT_Tk	R_%PULT_Tk	S_%ULT_Tk	S_%PULT_Tk	S_%APULT_Tk	V_%PULT_Tk	V_%APULT_Tk	X_%PULT_Tk	B_nPULT_Tk	C_nPULT_Tk	E_nULT_Tk	E_nPULT_Tk	E_nAPULT_Tk	G_nULT_Tk	G_nPULT_Tk	G_nAPULT_Tk	I_nPULT_Tk	N_nPULT_Tk	N_nAPULT_Tk	NU_nULT_Tk	NU_nPULT_Tk	P_nPULT_Tk	R_nPULT_Tk	S_nULT_Tk	S_nPULT_Tk	S_nAPULT_Tk	V_nPULT_Tk	V_nAPULT_Tk	X_nPULT_Tk
'ci	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	0	NA	NA	NA
'ma	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	4	0	NA	NA	NA
'pi	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	9	0	NA	NA	NA
're	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	0	NA	NA	NA
bba	NA	NA	0	100	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	0	100	0	100	0	NA	NA	NA	0	7	0	0	1	0	NA	NA	NA	NA	NA	NA	NA	0	28	0	98	0	NA
bbe	NA	NA	0	100	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	0	100	0	100	0	NA	NA	NA	0	20	0	0	1	0	NA	NA	NA	NA	NA	NA	NA	0	4	0	9298	0	NA
bbi	NA	NA	0	100	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	0	100	0	100	0	NA	NA	NA	0	4	0	0	7	0	NA	NA	NA	NA	NA	NA	NA	0	228	0	83	0	NA
bbo	NA	NA	0	100	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	0	100	0	100	0	NA	NA	NA	0	10	0	0	1	0	NA	NA	NA	NA	NA	NA	NA	0	87	0	29	0	NA
bka	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	9	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
bla	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	NA
