ending	E_%ULT_Tk	E_%PULT_Tk	E_%APULT_Tk	G_%ULT_Tk	G_%PULT_Tk	G_%APULT_Tk	S_%ULT_Tk	S_%PULT_Tk	S_%APULT_Tk	V_%PULT_Tk	E_nULT_Tk	E_nPULT_Tk	E_nAPULT_Tk	G_nULT_Tk	G_nPULT_Tk	G_nAPULT_Tk	S_nULT_Tk	S_nPULT_Tk	S_nAPULT_Tk	V_nPULT_Tk
a's	100	0	0	NA	NA	NA	NA	NA	NA	NA	2	0	0	NA	NA	NA	NA	NA	NA	NA
act	0	100	0	0	100	0	0	100	0	NA	0	1	0	0	17	0	0	5	0	NA
ady	0	100	0	NA	NA	NA	NA	NA	NA	NA	0	2	0	NA	NA	NA	NA	NA	NA	NA
aff	0	100	0	NA	NA	NA	NA	NA	NA	NA	0	4	0	NA	NA	NA	NA	NA	NA	NA
ald	0	100	0	NA	NA	NA	NA	NA	NA	NA	0	21	0	NA	NA	NA	NA	NA	NA	NA
aly	0	0	100	NA	NA	NA	NA	NA	NA	NA	0	0	1	NA	NA	NA	NA	NA	NA	NA
and	0	0	100	NA	NA	NA	0	0	100	NA	0	0	25	NA	NA	NA	0	0	1	NA
ang	0	0	100	NA	NA	NA	5.55555555555556	0	94.4444444444444	NA	0	0	1	NA	NA	NA	1	0	17	NA
ant	NA	NA	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	0	9	0	NA
any	0	0	100	0	100	0	NA	NA	NA	NA	0	0	14	0	1	0	NA	NA	NA	NA
ard	0	97.3214285714286	2.67857142857143	0	100	0	0	100	0	NA	0	109	3	0	16	0	0	51	0	NA
art	0	100	0	NA	NA	NA	NA	NA	NA	NA	0	42	0	NA	NA	NA	NA	NA	NA	NA
ary	0	91.6666666666667	8.33333333333333	0	0	100	0	0	100	NA	0	33	3	0	0	2	0	0	4	NA
ash	0	100	0	NA	NA	NA	NA	NA	NA	NA	0	3	0	NA	NA	NA	NA	NA	NA	NA
ats	NA	NA	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	0	2	0	NA
att	NA	NA	NA	NA	NA	NA	0	0	100	NA	NA	NA	NA	NA	NA	NA	0	0	2	NA
ech	100	0	0	NA	NA	NA	NA	NA	NA	NA	4	0	0	NA	NA	NA	NA	NA	NA	NA
edy	0	0	100	NA	NA	NA	NA	NA	NA	NA	0	0	69	NA	NA	NA	NA	NA	NA	NA
eng	NA	NA	NA	NA	NA	NA	100	0	0	NA	NA	NA	NA	NA	NA	NA	3	0	0	NA
ens	0	100	0	0	100	0	0	100	0	100	0	7	0	0	15	0	0	3	0	1
ent	NA	NA	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	0	19	0	NA
enz	0	100	0	NA	NA	NA	NA	NA	NA	NA	0	3	0	NA	NA	NA	NA	NA	NA	NA
ers	0	100	0	NA	NA	NA	NA	NA	NA	NA	0	3	0	NA	NA	NA	NA	NA	NA	NA
ert	NA	NA	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	0	2	0	NA
ery	0	100	0	NA	NA	NA	NA	NA	NA	NA	0	2	0	NA	NA	NA	NA	NA	NA	NA
esh	0	0	100	NA	NA	NA	NA	NA	NA	NA	0	0	16	NA	NA	NA	NA	NA	NA	NA
ess	0	100	0	100	0	0	0	100	0	NA	0	1	0	10	0	0	0	19	0	NA
est	0.540540540540541	0	99.4594594594595	0	88.8888888888889	11.1111111111111	3.79746835443038	96.2025316455696	0	NA	1	0	184	0	16	2	3	76	0	NA
iby	0	100	0	NA	NA	NA	NA	NA	NA	NA	0	4	0	NA	NA	NA	NA	NA	NA	NA
