ending	%ULT_Tk	%PULT_Tk	%APULT_Tk	%PAPULT_Tk	nULT_Tk	nPULT_Tk	nAPULT_Tk	nPAPULT_Tk
aba	0	51.5789473684211	48.4210526315789	0	0	49	46	0
abe	0	70.2127659574468	29.7872340425532	0	0	33	14	0
abi	0	4.08163265306122	95.9183673469388	0	0	4	94	0
abo	0	11.5384615384615	88.4615384615385	0	0	6	46	0
aca	0	17.7474402730375	82.2525597269625	0	0	52	241	0
ace	0	99.5951417004049	0.404858299595142	0	0	1722	7	0
aci	0	61.0899873257288	38.9100126742712	0	0	482	307	0
aco	0	5.93149540517962	94.0685045948204	0	0	71	1126	0
ada	0	92.8321678321678	7.16783216783217	0	0	1593	123	0
ade	0.236406619385343	86.5248226950355	13.2387706855792	0	2	732	112	0
adi	0	69.2982456140351	30.7017543859649	0	0	237	105	0
ado	0	99.7037914691943	0.296208530805687	0	0	1683	5	0
adu	0	100	0	0	0	1	0	0
afa	3.27868852459016	36.0655737704918	60.655737704918	0	2	22	37	0
afe	0	65.1376146788991	34.8623853211009	0	0	71	38	0
afi	0	27.8688524590164	72.1311475409836	0	0	34	88	0
afo	0	10	90	0	0	19	171	0
aga	0	97.4842767295598	2.51572327044025	0	0	310	8	0
age	1.63934426229508	98.3606557377049	0	0	2	120	0	0
agi	0	90.9090909090909	9.09090909090909	0	0	160	16	0
ago	0	93.0272108843537	6.97278911564626	0	0	547	41	0
aha	0	100	0	0	0	13	0	0
aho	0	100	0	0	0	6	0	0
aja	0	100	0	0	0	20	0	0
aje	0	100	0	0	0	2	0	0
ajo	0	100	0	0	0	1	0	0
aka	0	100	0	0	0	8	0	0
ake	0	100	0	0	0	4	0	0
aki	0	100	0	0	0	7	0	0
ako	0	100	0	0	0	1	0	0
ala	0	95.8125623130608	4.18743768693918	0	0	961	42	0
ale	0	99.86509993255	0.134900067450034	0	0	28131	38	0
ali	0	98.6781229345671	1.32187706543291	0	0	11944	160	0
alo	0	49.9162479061977	50.0837520938023	0	0	298	299	0
ama	0	97.508896797153	2.49110320284698	0	0	1096	28	0
ame	4.77453580901857	95.2254641909814	0	0	36	718	0	0
ami	0	78.956228956229	20.8754208754209	0.168350168350168	0	469	124	1
amo	0	98.372911169745	1.62708883025506	0	0	11185	185	0
amu	0	100	0	0	0	1	0	0
ana	0	99.3967954759661	0.60320452403393	0	0	5273	32	0
ane	0	68.3217477656405	31.6782522343595	0	0	2064	957	0
ani	0	86.7756110958528	13.2243889041472	0	0	6319	963	0
ano	0	31.7018028069763	64.3666686241118	3.93152856891186	0	10797	21922	1339
anu	0	100	0	0	0	17	0	0
apa	0	99.6415770609319	0.3584229390681	0	0	278	1	0
ape	0	72.0588235294118	27.9411764705882	0	0	49	19	0
api	0	100	0	0	0	189	0	0
apo	0	99.7340425531915	0.265957446808511	0	0	1125	3	0
ara	0	94.0711462450593	5.92885375494071	0	0	1904	120	0
are	0	98.9856278536245	1.01437214637548	0	0	44010	451	0
ari	0	91.3925518040864	8.60744819591364	0	0	6307	594	0
aro	0	63.8277959756668	36.1722040243332	0	0	1364	773	0
aru	0	100	0	0	0	8	0	0
asa	0	100	0	0	0	2972	0	0
ase	0	99.9497234791352	0.0502765208647562	0	0	1988	1	0
asi	0	82.6784726065302	17.3215273934698	0	0	2988	626	0
aso	0	99.278759466282	0.721240533717995	0	0	2753	20	0
ata	0	99.8581416556895	0.138480764684027	0.00337757962643969	0	29565	41	1
ate	0.00784929356357928	99.403453689168	0.588697017268446	0	1	12664	75	0
ati	0	99.7996951883301	0.200304811669932	0	0	22919	46	0
ato	0	99.4350423406458	0.564957659354227	0	0	79730	453	0
atu	0	100	0	0	0	5	0	0
ava	0	100	0	0	0	7502	0	0
ave	0	99.7368421052632	0.263157894736842	0	0	758	2	0
avi	0	98.8455988455988	1.15440115440115	0	0	685	8	0
avo	0	99.7165131112686	0.283486888731396	0	0	1407	4	0
awa	0	100	0	0	0	1	0	0
axa	0	100	0	0	0	11	0	0
axi	0	100	0	0	0	412	0	0
aya	0	100	0	0	0	18	0	0
ayo	0	100	0	0	0	1	0	0
aza	0	100	0	0	0	42	0	0
aze	0	100	0	0	0	4	0	0
azi	0	100	0	0	0	192	0	0
azo	0	100	0	0	0	1	0	0
eba	0	100	0	0	0	9	0	0
ebe	0	100	0	0	0	12	0	0
ebi	0	100	0	0	0	1	0	0
ebo	0	96.1538461538462	3.84615384615385	0	0	25	1	0
eca	0	97.5391498881432	2.46085011185682	0	0	436	11	0
ece	0	99.8787878787879	0.121212121212121	0	0	3296	4	0
eci	0	96.0526315789474	3.94736842105263	0	0	876	36	0
eco	0	97.7049180327869	2.29508196721311	0	0	298	7	0
eda	0	99.4134897360704	0.586510263929619	0	0	339	2	0
ede	0	99.9321804001356	0.0678195998643608	0	0	2947	2	0
edi	0	99.64317573595	0.356824264049955	0	0	1117	4	0
edo	0	99.9102333931777	0.0897666068222621	0	0	1113	1	0
efa	0	100	0	0	0	94	0	0
efe	0	100	0	0	0	1	0	0
ega	0	97.0663921770458	2.93360782295419	0	0	1886	57	0
ege	0	100	0	0	0	9	0	0
egi	0	100	0	0	0	140	0	0
ego	0	99.1596638655462	0.840336134453782	0	0	354	3	0
ejo	0	100	0	0	0	1	0	0
eka	0	0	100	0	0	0	3	0
eki	0	100	0	0	0	1	0	0
eko	0	100	0	0	0	10	0	0
ela	0	66.5297741273101	29.0212183436003	4.44900752908966	0	972	424	65
ele	0	89.5543175487465	10.4456824512535	0	0	1286	150	0
eli	0	56.8965517241379	42.9310344827586	0.172413793103448	0	330	249	1
elo	0	57.9172610556348	40.7988587731812	1.28388017118402	0	812	572	18
ema	0	82.0655191560244	17.9344808439756	0	0	2956	646	0
eme	0	100	0	0	0	2316	0	0
emi	0	93.9271255060729	6.07287449392713	0	0	1624	105	0
emo	0	99.4914176732359	0.508582326764145	0	0	1565	8	0
ena	0	95.7627118644068	4.23728813559322	0	0	3390	150	0
ene	0	92.5013609145346	6.24659771366358	1.25204137180185	0	6797	459	92
eni	0	83.1284916201117	16.8715083798883	0	0	744	151	0
eno	0	94.880658436214	5.11934156378601	0	0	5764	311	0
enu	100	0	0	0	25	0	0	0
epa	0	100	0	0	0	12	0	0
epe	0	100	0	0	0	143	0	0
epi	8	92	0	0	2	23	0	0
epo	100	0	0	0	1	0	0	0
era	0	86.0809206320212	13.9190793679788	0	0	18850	3048	0
ere	0.0768426876498432	28.7453125960534	71.1778447162968	0	25	9352	23157	0
eri	0	78.3960501734721	21.6039498265279	0	0	5875	1619	0
ero	0	46.9749351771824	53.0250648228176	0	0	6522	7362	0
esa	0	100	0	0	0	4449	0	0
ese	0	100	0	0	0	7307	0	0
esi	0	86.418315871168	13.581684128832	0	0	4454	700	0
eso	0	99.9143101970865	0.0856898029134533	0	0	3498	3	0
eta	0	95.0980392156863	4.90196078431373	0	0	1261	65	0
ete	0	97.0598062145005	2.9401937854995	0	0	2905	88	0
eti	0	92.9311969839774	7.06880301602262	0	0	986	75	0
eto	0	88.9391979301423	11.0608020698577	0	0	1375	171	0
eva	0	100	0	0	0	13897	0	0
eve	0	100	0	0	0	2365	0	0
evi	0	74.3107769423559	25.6892230576441	0	0	593	205	0
evo	0	100	0	0	0	2912	0	0
ezi	0	100	0	0	0	2	0	0
i'i	0	100	0	0	0	1	0	0
i'o	0	100	0	0	0	1	0	0
iba	0	100	0	0	0	20	0	0
ibe	0	33.3333333333333	66.6666666666667	0	0	3	6	0
ibi	0	57.8571428571429	42.1428571428571	0	0	81	59	0
ibo	0	93.5828877005348	6.41711229946524	0	0	175	12	0
ibu	100	0	0	0	4	0	0	0
ica	0	6.7899325953868	93.2100674046132	0	0	1098	15073	0
ice	0	69.4975230007077	30.5024769992923	0	0	3928	1724	0
ici	0	23.0806432112199	76.9072663523153	0.0120904364647564	0	1909	6361	1
ico	0	12.5037458795325	87.4962541204675	0	0	1669	11679	0
icu	0	100	0	0	0	1	0	0
ida	0.166574125485841	56.3575791227096	43.4758467518046	0	3	1015	783	0
ide	0	61.0073111291633	38.9926888708367	0	0	751	480	0
idi	0	40.1190476190476	59.8809523809524	0	0	337	503	0
ido	0	31.0515172900494	68.9484827099506	0	0	440	977	0
ifa	0	96.969696969697	3.03030303030303	0	0	32	1	0
ife	0	100	0	0	0	9	0	0
ifi	0	36.3636363636364	63.6363636363636	0	0	4	7	0
ifo	0	100	0	0	0	124	0	0
iga	0	82.2525597269625	17.7474402730375	0	0	241	52	0
ige	1.58730158730159	79.3650793650794	19.047619047619	0	2	100	24	0
igi	0	99.4490358126722	0.550964187327824	0	0	1083	6	0
igo	0	54.5454545454545	45.4545454545455	0	0	216	180	0
ihi	0	100	0	0	0	1	0	0
ijo	0	100	0	0	0	2	0	0
ika	0	0	100	0	0	0	21	0
ike	57.1428571428571	14.2857142857143	28.5714285714286	0	4	1	2	0
iki	0	66.6666666666667	33.3333333333333	0	0	2	1	0
iko	0	0	100	0	0	0	7	0
ila	0	92.8505535055351	7.14944649446494	0	0	2013	155	0
ile	0.00880049282759835	21.9836310833407	78.0075684238317	0	1	2498	8864	0
ili	0	18.2904411764706	81.7095588235294	0	0	796	3556	0
ilo	0	90.9441233140655	9.05587668593449	0	0	472	47	0
ima	0	72.8172817281728	27.1827182718272	0	0	7281	2718	0
ime	0.207146556188503	42.3614707405489	57.4313827032626	0	4	818	1109	0
imi	0	35.8681318681319	64.1318681318681	0	0	816	1459	0
imo	0	34.3788249694002	65.6211750305998	0	0	2247	4289	0
ina	0	85.3644107903455	14.6355892096545	0	0	7215	1237	0
ine	0.10250569476082	56.4123006833713	43.4851936218679	0	9	4953	3818	0
ini	0.218181818181818	68.1038961038961	31.6779220779221	0	21	6555	3049	0
ino	0	94.5294235522009	4.96960790862334	0.50096853917574	0	14152	744	75
inu	0	100	0	0	0	1	0	0
ipa	0	59.5238095238095	40.4761904761905	0	0	75	51	0
ipe	0	3.35365853658537	96.6463414634146	0	0	11	317	0
ipi	0	73.9130434782609	26.0869565217391	0	0	238	84	0
ipo	0	83.1735889243876	16.8264110756124	0	0	781	158	0
ira	0	92.9460580912863	7.05394190871369	0	0	672	51	0
ire	0	99.9059185768047	0.0940814231953472	0	0	11681	11	0
iri	0	94.0476190476191	5.95238095238095	0	0	237	15	0
iro	0	94.8703170028818	5.12968299711816	0	0	1646	89	0
iru	100	0	0	0	1	0	0	0
isa	0	100	0	0	0	860	0	0
ise	0.531208499335989	99.468791500664	0	0	4	749	0	0
isi	0	79.8822899946495	19.5826645264847	0.535045478865704	0	1493	366	10
iso	0	99.9423963133641	0.0576036866359447	0	0	3470	2	0
isu	0	100	0	0	0	3	0	0
ita	0	78.5858400586941	21.4141599413059	0	0	8569	2335	0
ite	0.11328235627301	72.529028603795	27.357689039932	0	4	2561	966	0
iti	0	76.833804493379	23.166195506621	0	0	5164	1557	0
ito	0	69.0882979250235	30.9117020749765	0	0	13951	6242	0
iva	0	99.6757983465716	0.324201653428432	0	0	6149	20	0
ive	0	100	0	0	0	2390	0	0
ivi	0	99.9587458745875	0.0412541254125413	0	0	2423	1	0
ivo	0	99.9605755962941	0.039424403705894	0	0	5071	2	0
ixo	0	100	0	0	0	1	0	0
iza	0	100	0	0	0	15	0	0
ize	0	100	0	0	0	8	0	0
izi	0	100	0	0	0	795	0	0
oba	0	97.6923076923077	2.30769230769231	0	0	127	3	0
obe	0	100	0	0	0	5	0	0
obi	0	65.7142857142857	34.2857142857143	0	0	23	12	0
obo	0	85.1063829787234	14.8936170212766	0	0	40	7	0
oca	0.289017341040462	41.7148362235067	57.9961464354528	0	3	433	602	0
oce	0	99.9288762446657	0.0711237553342817	0	0	1405	1	0
oci	0	61.2709832134293	38.7290167865707	0	0	511	323	0
oco	0	96.4476495726496	3.55235042735043	0	0	3611	133	0
oda	0	93.6857562408223	6.31424375917768	0	0	638	43	0
ode	0	92.274678111588	7.72532188841202	0	0	215	18	0
odi	0	70.9923664122137	29.0076335877863	0	0	558	228	0
odo	0	72.8988498967856	27.1011501032144	0	0	2472	919	0
ofa	0	76.4705882352941	23.5294117647059	0	0	13	4	0
ofe	0	2.85714285714286	97.1428571428571	0	0	1	34	0
ofi	0	31.25	68.75	0	0	20	44	0
ofo	0	6.25	93.75	0	0	6	90	0
ofu	0	100	0	0	0	1	0	0
oga	0	66.4220183486239	33.5779816513761	0	0	362	183	0
