ending	S2_%ULT_Tk	S2_%PULT_Tk	S3_%ULT_Tk	S3_%PULT_Tk	S3_%APULT_Tk	S4_%ULT_Tk	S4_%PULT_Tk	S4_%APULT_Tk	S4_%PAPULT_Tk	S5_%PULT_Tk	S5_%APULT_Tk	S5_%PAPULT_Tk	S6_%PULT_Tk	S6_%APULT_Tk	S6_%PAPULT_Tk	S7_%PULT_Tk	S7_%APULT_Tk	S7_%PAPULT_Tk	S8_%PULT_Tk	S8_%APULT_Tk	S9_%PULT_Tk	S10_%PULT_Tk	S10_%APULT_Tk	S11_%PULT_Tk	S2_nULT_Tk	S2_nPULT_Tk	S3_nULT_Tk	S3_nPULT_Tk	S3_nAPULT_Tk	S4_nULT_Tk	S4_nPULT_Tk	S4_nAPULT_Tk	S4_nPAPULT_Tk	S5_nPULT_Tk	S5_nAPULT_Tk	S5_nPAPULT_Tk	S6_nPULT_Tk	S6_nAPULT_Tk	S6_nPAPULT_Tk	S7_nPULT_Tk	S7_nAPULT_Tk	S7_nPAPULT_Tk	S8_nPULT_Tk	S8_nAPULT_Tk	S9_nPULT_Tk	S10_nPULT_Tk	S10_nAPULT_Tk	S11_nPULT_Tk
aba	0	100	0	11.5384615384615	88.4615384615385	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	43	0	6	46	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
abe	0	100	0	17.6470588235294	82.3529411764706	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	30	0	3	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
abi	NA	NA	0	3.19148936170213	96.8085106382979	0	100	0	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	3	91	0	1	0	0	0	3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
abo	NA	NA	0	12.7659574468085	87.2340425531915	NA	NA	NA	NA	0	100	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	6	41	NA	NA	NA	NA	0	4	0	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
aca	0	100	0	16.7567567567568	83.2432432432432	0	15.7894736842105	84.2105263157895	0	0	100	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	12	0	31	154	0	9	48	0	0	36	0	0	3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
ace	0	100	0	98.9130434782609	1.08695652173913	0	100	0	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	902	0	637	7	0	174	0	0	9	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
aci	0	100	0	56.7134268537074	43.2865731462926	0	55.3459119496855	44.6540880503145	0	0	100	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	111	0	283	216	0	88	71	0	0	15	0	0	5	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
aco	0	100	0	0.859291084854995	99.140708915145	0	27.2189349112426	72.7810650887574	0	1.49253731343284	98.5074626865672	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	16	0	8	923	0	46	123	0	1	66	0	0	14	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
ada	0	100	0	46.7248908296943	53.2751091703057	0	99.2424242424242	0.757575757575758	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1355	0	107	122	0	131	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ade	0	100	0	79.6551724137931	20.3448275862069	2.77777777777778	61.1111111111111	36.1111111111111	0	0	100	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	456	0	231	59	2	44	26	0	0	27	0	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
