ending	C_%PULT_Tk	E_%PULT_Tk	G_%PULT_Tk	G_%APULT_Tk	I_%PULT_Tk	N_%PULT_Tk	NU_%PULT_Tk	S_%PULT_Tk	S_%APULT_Tk	V_%PULT_Tk	C_nPULT_Tk	E_nPULT_Tk	G_nPULT_Tk	G_nAPULT_Tk	I_nPULT_Tk	N_nPULT_Tk	NU_nPULT_Tk	S_nPULT_Tk	S_nAPULT_Tk	V_nPULT_Tk
aai	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA
aea	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA
aia	NA	100	100	0	NA	NA	100	100	0	100	NA	32	12	0	NA	NA	14	667	0	17
aie	NA	100	100	0	NA	NA	NA	100	0	NA	NA	5	6	0	NA	NA	NA	49	0	NA
aio	NA	100	100	0	NA	NA	100	100	0	NA	NA	25	10	0	NA	NA	8	1744	0	NA
eai	NA	100	NA	NA	NA	NA	NA	NA	NA	100	NA	1	NA	NA	NA	NA	NA	NA	NA	1
eia	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA
eio	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA
iai	NA	100	NA	NA	NA	NA	NA	100	0	100	NA	1	NA	NA	NA	NA	NA	137	0	120
iao	NA	100	100	0	100	NA	NA	NA	NA	NA	NA	1	2	0	64	NA	NA	NA	NA	NA
iei	NA	100	100	0	NA	100	NA	NA	NA	NA	NA	1	633	0	NA	47	NA	NA	NA	NA
oia	NA	100	NA	NA	100	NA	NA	100	0	100	NA	176	NA	NA	4	NA	NA	343	0	21
oie	NA	NA	NA	NA	NA	NA	NA	100	0	NA	NA	NA	NA	NA	NA	NA	NA	83	0	NA
oii	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
oio	NA	NA	100	0	NA	NA	NA	100	0	100	NA	NA	3	0	NA	NA	NA	285	0	10
uai	NA	100	NA	NA	100	NA	NA	100	0	100	NA	2	NA	NA	11	NA	NA	177	0	13
uea	NA	NA	0	100	NA	NA	NA	0	100	NA	NA	NA	0	4	NA	NA	NA	0	1	NA
uee	NA	NA	0	100	NA	NA	NA	NA	NA	NA	NA	NA	0	3	NA	NA	NA	NA	NA	NA
uei	NA	NA	99.8540145985401	0.145985401459854	NA	NA	NA	NA	NA	NA	NA	NA	684	1	NA	NA	NA	NA	NA	NA
ueo	NA	NA	0	100	NA	NA	NA	NA	NA	NA	NA	NA	0	5	NA	NA	NA	NA	NA	NA
uia	NA	NA	100	0	100	NA	NA	100	0	100	NA	NA	24	0	1	NA	NA	16	0	2
uie	NA	NA	100	0	NA	NA	NA	100	0	NA	NA	NA	5	0	NA	NA	NA	13	0	NA
uii	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	18
uio	NA	NA	100	0	NA	NA	NA	100	0	NA	NA	NA	35	0	NA	NA	NA	270	0	NA
uoi	100	NA	100	0	NA	100	NA	100	0	100	5	NA	2468	0	NA	66	NA	5	0	399
