ending	%PULT_Ty	%APULT_Ty	nPULT_Ty	nAPULT_Ty	
aai	100	NA	1	NA		
aea	100	NA	1	NA		
aia	100	NA	53	NA		
aie	100	NA	24	NA		
aio	100	NA	72	NA		
eai	100	NA	2	NA		
eia	100	NA	1	NA		
eio	100	NA	1	NA		
iai	100	NA	55	NA		
iao	100	NA	2	NA		
iei	100	NA	2	NA		
oia	100	NA	29	NA
oie	100	NA	15	NA		
oii	100	NA	1	NA		
oio	100	NA	26	NA		
uai	100	NA	4	NA		
uea	NA	100	NA	1		
uee	NA	100	NA	1		
uei	50	50	1	1		
ueo	NA	100	NA	2		
uia	100	NA	6	NA		
uie	100	NA	3	NA		
uii	100	NA	6	NA		
uio	100	NA	10	NA		
uoi	100	NA	5	NA		
