ending	C_%PULT_Ty	E_%PULT_Ty	G_%PULT_Ty	G_%APULT_Ty	I_%PULT_Ty	N_%PULT_Ty	NU_%PULT_Ty	S_%PULT_Ty	S_%APULT_Ty	V_%PULT_Ty	C_nPULT_Ty	E_nPULT_Ty	G_nPULT_Ty	G_nAPULT_Ty	I_nPULT_Ty	N_nPULT_Ty	NU_nPULT_Ty	S_nPULT_Ty	S_nAPULT_Ty	V_nPULT_Ty
aai	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA
aea	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA
aia	NA	100	100	NA	NA	NA	100	100	NA	100	NA	13	4	NA	NA	NA	2	34	NA	7
aie	NA	100	100	NA	NA	NA	NA	100	NA	NA	NA	2	3	NA	NA	NA	NA	21	NA	NA
aio	NA	100	100	NA	NA	NA	100	100	NA	NA	NA	7	5	NA	NA	NA	1	64	NA	NA
eai	NA	100	NA	NA	NA	NA	NA	NA	NA	100	NA	1	NA	NA	NA	NA	NA	NA	NA	1
eia	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA
eio	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA
iai	NA	100	NA	NA	NA	NA	NA	100	NA	100	NA	1	NA	NA	NA	NA	NA	5	NA	49
iao	NA	100	100	NA	100	NA	NA	NA	NA	NA	NA	1	1	NA	1	NA	NA	NA	NA	NA
iei	NA	100	100	NA	NA	100	NA	NA	NA	NA	NA	1	1	NA	NA	1	NA	NA	NA	NA
oia	NA	100	NA	NA	100	NA	NA	100	NA	100	NA	7	NA	NA	1	NA	NA	22	NA	3
oie	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	15	NA	NA
oii	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
oio	NA	NA	100	NA	NA	NA	NA	100	NA	100	NA	NA	2	NA	NA	NA	NA	22	NA	2
uai	NA	100	NA	NA	100	NA	NA	100	NA	100	NA	1	NA	NA	1	NA	NA	2	NA	2
uea	NA	NA	NA	100	NA	NA	NA	NA	100	NA	NA	NA	NA	1	NA	NA	NA	NA	1	NA
uee	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA
uei	NA	NA	50	50	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	NA	NA	NA	NA	NA
ueo	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA
uia	NA	NA	100	NA	100	NA	NA	100	NA	100	NA	NA	1	NA	1	NA	NA	4	NA	1
uie	NA	NA	100	NA	NA	NA	NA	100	NA	NA	NA	NA	1	NA	NA	NA	NA	2	NA	NA
uii	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	6
uio	NA	NA	100	NA	NA	NA	NA	100	NA	NA	NA	NA	2	NA	NA	NA	NA	9	NA	NA
uoi	100	NA	100	NA	NA	100	NA	100	NA	100	1	NA	2	NA	NA	2	NA	1	NA	2
