ending	S2_%PULT_Ty	S3_%PULT_Ty	S3_%APULT_Ty	S4_%PULT_Ty	S4_%APULT_Ty	S5_%PULT_Ty	S6_%PULT_Ty	S2_nPULT_Ty	S3_nPULT_Ty	S3_nAPULT_Ty	S4_nPULT_Ty	S4_nAPULT_Ty	S5_nPULT_Ty	S6_nPULT_Ty
aai	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	1	NA
aea	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	1	NA	NA	NA
aia	100	100	NA	100	NA	100	NA	9	26	NA	16	NA	2	NA
aie	100	100	NA	100	NA	100	NA	3	12	NA	8	NA	1	NA
aio	100	100	NA	100	NA	100	NA	9	29	NA	23	NA	11	NA
eai	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	2	NA	NA	NA
eia	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	1	NA	NA	NA
eio	100	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA
iai	NA	100	NA	100	NA	100	NA	NA	23	NA	26	NA	6	NA
iao	100	NA	NA	NA	NA	100	NA	1	NA	NA	NA	NA	1	NA
iei	100	100	NA	NA	NA	NA	NA	1	1	NA	NA	NA	NA	NA
oia	100	100	NA	100	NA	NA	NA	9	10	NA	10	NA	NA	NA
oie	100	100	NA	100	NA	NA	NA	5	5	NA	5	NA	NA	NA
oii	NA	100	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
oio	100	100	NA	100	NA	100	100	2	5	NA	12	NA	5	2
uai	100	NA	NA	NA	NA	100	NA	2	NA	NA	NA	NA	2	NA
uea	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	1	NA	NA
uee	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	1	NA	NA
uei	100	NA	NA	NA	100	NA	NA	1	NA	NA	NA	1	NA	NA
ueo	NA	NA	100	NA	100	NA	NA	NA	NA	1	NA	1	NA	NA
uia	100	100	NA	100	NA	NA	NA	2	3	NA	1	NA	NA	NA
uie	100	100	NA	NA	NA	NA	NA	1	2	NA	NA	NA	NA	NA
uii	NA	100	NA	100	NA	100	NA	NA	1	NA	4	NA	1	NA
uio	100	100	NA	100	NA	NA	NA	1	5	NA	4	NA	NA	NA
uoi	100	NA	NA	NA	NA	NA	NA	5	NA	NA	NA	NA	NA	NA
