CV-structure	S2_%ULT_Tk	S2_%PULT_Tk	S2_nULT_Tk	S2_nPULT_Tk
CCCVCCV	0	100	0	394
CCCVCCVV	0	100	0	21
CCCVCCVVCVCV	0	100	0	2
CCCVCV	0	100	0	782
CCCVV	0	100	0	1
CCCVVCCV	0	100	0	8
CCCVVCCVV	0	100	0	4
CCCVVCV	0	100	0	82
CCCVVV	0	100	0	5
CCV	0	100	0	52
CCVCC	0	100	0	42
CCVCCCV	0	100	0	124
CCVCCCVV	0	100	0	66
CCVCCV	0	100	0	5730
CCVCCVCCV	0	100	0	1
CCVCCVCVCCV	0	100	0	2
CCVCCVV	0	100	0	1028
CCVCV	0	100	0	4936
CCVCVCCV	0	100	0	1
CCVCVV	0	100	0	1050
CCVV	0	100	0	169
CCVVCCCV	0	100	0	8
CCVVCCV	0	100	0	316
CCVVCCVV	0	100	0	61
CCVVCV	0	100	0	1276
CCVVVV	0	100	0	9
CVCC	0	100	0	326
CVCCCV	0	100	0	3483
CVCCCVV	0	100	0	514
CVCCCVVCCV	0	100	0	1
CVCCV	0	100	0	33628
CVCCVCCCV	0	100	0	1
CVCCVCCVCV	0	100	0	1
CVCCVCCVV	0	100	0	3
CVCCVCV	0	100	0	5
CVCCVCVCCV	0	100	0	4
CVCCVCVCV	0	100	0	2
CVCCVCVCVCCVCCV	0	100	0	1
CVCCVV	0	100	0	2924
CVCCVVCC	100	0	1	0
CVCCVVCCCV	0	100	0	2
CVCCVVCCV	0	100	0	1
CVCCVVCVCCV	0	100	0	9
CVCV	0	100	0	27459
CVCVCCV	0	100	0	3
CVCVCCVCCV	0	100	0	2
CVCVCCVCV	0	100	0	3
CVCVCCVV	0	100	0	1
CVCVCV	0	100	0	10
CVCVCVCVCV	0	100	0	5
CVCVCVVCV	0	100	0	4
CVCVV	0	100	0	489
CVCVVCCVV	0	100	0	1
CVV	0	100	0	10409
CVVCC	0	100	0	4
CVVCCCV	0	100	0	572
CVVCCV	0	100	0	8624
CVVCCVV	0	100	0	333
CVVCV	0	100	0	5886
CVVCVCCV	0	100	0	1
CVVCVV	0	100	0	15
CVVV	0	100	0	1713
CVVVCV	0	100	0	17
CVVVV	0	100	0	98
CAVCCVCCV	0	100	0	6
VCC	0	100	0	32
VCCCV	0	100	0	3559
VCCCVCCV	0	100	0	3
VCCCVCVCCVCCCV	0	100	0	1
VCCCVV	0	100	0	85
VCCCVVCCVCCV	0	100	0	1
VCCV	0	100	0	3762
VCCVCCCVCVV	0	100	0	1
VCCVCCV	0	100	0	9
VCCVCCVV	0	100	0	1
VCCVCV	0	100	0	61
VCCVCVCCV	0	100	0	1
VCCVCVCCVCCVV	0	100	0	1
VCCVV	0	100	0	764
VCCVVCCV	0	100	0	7
VCCAVCCCVCCVCV	0	100	0	28
VCV	0	100	0	4966
VCVCC	0	100	0	26
VCVCCCV	0	100	0	4
VCVCCV	0	100	0	1
VCVV	0	100	0	302
VCVVCV	0	100	0	1
VVCC	0	100	0	23
VVCV	0	100	0	708
VVV	0	100	0	36
VVVCVVV	0	100	0	17
VVVVCV	0	100	0	6
