CV-structure	S3_%ULT_Tk	S3_%PULT_Tk	S3_%APULT_Tk	S3_nULT_Tk	S3_nPULT_Tk	S3_nAPULT_Tk
CCCVCCCVCCV	0	100	0	0	3	0
CCCVCCCVCV	0	100	0	0	2	0
CCCVCCVCCV	0	94.59459459	5.405405405	0	35	2
CCCVCCVCV	0	65.13761468	34.86238532	0	142	76
CCCVCCVV	0	100	0	0	1	0
CCCVCCVVCCV	0	100	0	0	4	0
CCCVCCVVCV	0	85	15	0	17	3
CCCVCVCCV	0	74.74747475	25.25252525	0	74	25
CCCVCVCCVVCV	0	100	0	0	1	0
CCCVCVCV	0	45.23809524	54.76190476	0	95	115
CCCVCVVCV	0	100	0	0	42	0
CCCVVCCVCV	0	100	0	0	1	0
CCCVVCCVVCCV	0	100	0	0	1	0
CCCVVCCVVCV	0	92.30769231	7.692307692	0	12	1
CCCVVCV	0	100	0	0	11	0
CCCVVCVCCV	0	100	0	0	6	0
CCCVVCVCV	0	62.5	37.5	0	5	3
CCCVVVCCV	0	100	0	0	1	0
CCCVVVCV	0	88.88888889	11.11111111	0	8	1
CCCVVVV	0	100	0	0	1	0
CCVCC	0	100	0	0	10	0
CCVCCCV	0	100	0	0	1	0
CCVCCCVCCV	0	100	0	0	6	0
CCVCCCVCV	0	87.5	12.5	0	7	1
CCVCCCVVCCV	0	100	0	0	10	0
CCVCCCVVCV	0	100	0	0	5	0
CCVCCCVVCVCV	0	100	0	0	1	0
CCVCCV	0	100	0	0	25	0
CCVCCVCCCV	0	33.33333333	66.66666667	0	1	2
CCVCCVCCV	0	91.85867896	8.141321045	0	598	53
CCVCCVCCVCCV	0	100	0	0	7	0
CCVCCVCCVV	0	100	0	0	1	0
CCVCCVCV	0	50.03017502	49.96982498	0	829	828
CCVCCVCVCCV	0	100	0	0	1	0
CCVCCVCVCCVV	0	100	0	0	1	0
CCVCCVCVV	0	100	0	0	14	0
CCVCCVV	0	100	0	0	11	0
CCVCCVVCCV	0	98.13664596	1.863354037	0	158	3
CCVCCVVCV	0	89.50131234	10.49868766	0	341	40
CCVCCVVV	0	100	0	0	3	0
CCVCV	0	100	0	0	88	0
CCVCVCCCV	0	100	0	0	1	0
CCVCVCCV	0	97.81976744	2.180232558	0	1346	30
CCVCVCCVCCV	0	100	0	0	2	0
CCVCVCCVCV	0	100	0	0	26	0
CCVCVCCVV	0	100	0	0	64	0
CCVCVCV	0	68.61702128	31.38297872	0	1419	649
CCVCVCVCCV	0	100	0	0	6	0
CCVCVCVCV	0	100	0	0	1	0
CCVCVCVV	0	75.86206897	24.13793103	0	22	7
CCVCVV	0	97.14285714	2.857142857	0	34	1
CCVCVVCCV	0	100	0	0	45	0
CCVCVVCV	0	97.45762712	2.542372881	0	575	15
CCVVCCCV	0	100	0	0	1	0
CCVVCCCVCCV	0	100	0	0	23	0
CCVVCCCVVCV	0	0	100	0	0	9
CCVVCCV	0	100	0	0	57	0
CCVVCCVCCV	0	100	0	0	1	0
