CV-structure	S6_%PULT_Tk	S6_%APULT_Tk	S6_%PAPULT_Tk	S6_nPULT_Tk	S6_nAPULT_Tk	S6_nPAPULT_Tk
CCVCCVCCVCVCCVCV	0	100	0	0	1	0
CCVCCVCVCCVCVCCV	100	0	0	2	0	0
CCVCCVCVCVCV	0	100	0	0	2	0
CCVCCVCVCVCVCCV	100	0	0	1	0	0
CCVCVCCVCVCCVCV	0	100	0	0	23	0
CCVCVCCVCVCV	0	100	0	0	4	0
CCVCVCVCV	100	0	0	1	0	0
CCVCVCVCVCCV	0	100	0	0	1	0
CCVCVCVCVCCVCV	0	100	0	0	2	0
CCVCVCVCVCV	0	100	0	0	1	0
CCVCVCVCVCVCV	0	100	0	0	5	0
CCVCVVCVCCVCCVCV	0	100	0	0	1	0
CCVVCCVCVCVCV	0	100	0	0	8	0
CCVVCCVCVCVV	100	0	0	1	0	0
CCVVCCVCVCVVCV	100	0	0	6	0	0
CCVVCVCVCCVCV	0	100	0	0	1	0
CCVVCVCVCVCCVCV	0	100	0	0	2	0
CVCCCVCVCCVCVCCV	100	0	0	1	0	0
CVCCCVCVCCVCVCV	0	100	0	0	2	0
CVCCCVCVCCVCVVCV	100	0	0	8	0	0
CVCCCVCVCVCCVCV	0	100	0	0	1	0
CVCCCVCVCVCVCV	0	50	50	0	1	1
CVCCCVCVVCCVCV	0	100	0	0	2	0
CVCCCVCVVCVCV	0	100	0	0	1	0
CVCCCVCVVVCV	100	0	0	1	0	0
CVCCCVVCCVV	100	0	0	1	0	0
CVCCV	100	0	0	45	0	0
CVCCVCCVCCVCVCCV	100	0	0	1	0	0
CVCCVCCVCCVCVCV	0	50	50	0	1	1
CVCCVCCVCVCCVCV	0	100	0	0	2	0
CVCCVCCVCVCVCCV	100	0	0	26	0	0
CVCCVCCVVCCVCVCCV	0	100	0	0	1	0
CVCCVCCVVCCVCVCV	0	100	0	0	6	0
CVCCVCVCCVCCVCV	0	100	0	0	3	0
CVCCVCVCCVCVCCV	100	0	0	1	0	0
CVCCVCVCCVCVVCV	100	0	0	6	0	0
CVCCVCVCVCCVCCV	100	0	0	15	0	0
CVCCVCVCVCCVCV	0	100	0	0	24	0
CVCCVCVCVCVCCV	100	0	0	13	0	0
CVCCVCVCVCVCV	55	45	0	11	9	0
CVCCVCVCVCVV	50	0	50	1	0	1
CVCCVCVCVCVVCV	100	0	0	24	0	0
CVCCVCVCVVCV	62.5	37.5	0	5	3	0
CVCCVCVVCCVCV	0	100	0	0	24	0
CVCCVCVVCVCCV	100	0	0	26	0	0
CVCCVCVVCVCV	19.04761905	80.95238095	0	4	17	0
CVCCVCVVCVV	100	0	0	3	0	0
CVCCVCVVCVVCV	100	0	0	1	0	0
CVCCVVCVCCVCV	0	100	0	0	1	0
CVCCVVCVCV	100	0	0	1	0	0
CVCVCCCVCVCCVCV	0	100	0	0	1	0
CVCVCCVCCVCCVCV	0	100	0	0	5	0
CVCVCCVCCVCVCCV	100	0	0	1	0	0
CVCVCCVCCVCVCV	0	100	0	0	1	0
CVCVCCVCCVCVV	100	0	0	1	0	0
CVCVCCVCVCCVCCV	2.564102564	97.43589744	0	1	38	0
CVCVCCVCVCCVCV	20.51282051	79.48717949	0	8	31	0
CVCVCCVCVCVCV	0	100	0	0	3	0
CVCVCCVVCVCCVCV	0	100	0	0	4	0
CVCVCVCCVCCVCV	0	100	0	0	1	0
CVCVCVCCVCVCCV	100	0	0	7	0	0
CVCVCVCCVCVCV	22.22222222	77.77777778	0	2	7	0
CVCVCVCCVCVV	100	0	0	3	0	0
CVCVCVCCVCVVCV	100	0	0	9	0	0
CVCVCVCCVVCCVCV	0	100	0	0	1	0
CVCVCVCVCCVCCV	0	100	0	0	1	0
CVCVCVCVCCVCV	10.52631579	89.47368421	0	2	17	0
CVCVCVCVCVCCV	100	0	0	20	0	0
CVCVCVCVCVCV	0	100	0	0	3	0
CVCVCVCVCVV	100	0	0	1	0	0
CVCVCVCVCVVCV	100	0	0	24	0	0
CVCVCVVCCVCV	0	100	0	0	1	0
CVCVVCVCVCV	0	100	0	0	16	0
CVVCCVCCVCCVCV	0	100	0	0	1	0
CVVCCVCCVCVCCV	100	0	0	1	0	0
CVVCCVCVCCVCV	0	100	0	0	1	0
CVVCCVCVCVCVCV	0	100	0	0	1	0
CVVCVCCVCCVCV	0	100	0	0	1	0
