CV-structure	S7_%PULT_Tk	S7_%APULT_Tk	S7_nPULT_Tk	S7_nAPULT_Tk
CVCCVCVCVVCVCV	0	100	0	1
CVCVCCVCVCCVCVCV	0	100	0	1
CVCVCVCVCCVCVCCV	0	100	0	1
CVCVCVCVCCVCVCV	0	100	0	6
CVCVCVCVCVCCVCV	0	100	0	5
CVCVCVCVCVCVCCV	100	0	6	0
VCCVCCVCVCVCCVCV	0	100	0	1
VCCVCCVVCVCCVCV	0	100	0	1
VCCVCVCCVCCVCCVCV	0	100	0	1
VCCVCVCCVCVCCVCV	0	100	0	1
VCCVCVCCVCVCVCV	0	100	0	6
VCCVCVCVVCVCV	0	100	0	1
VCVCCCVCVCVCCVCV	0	100	0	7
VCVCCVCCVCCVCVCCV	100	0	5	0
VCVCVCVCVCCVCV	0	100	0	1
VCVCVVCVCCVCCVCV	0	100	0	1
VVCVCVCVCVCCVCCV	0	100	0	1
VVCVCVCVCVCCVCV	0	100	0	8
