CV-structure	S3_%ULT_Ty	S3_%PULT_Ty	S3_%APULT_Ty	S3_nULT_Ty	S3_nPULT_Ty	S3_nAPULT_Ty
CCCVCCCVCCV	0	100	0	0	1	0
CCCVCCCVCV	0	100	0	0	2	0
CCCVCCVCCV	0	88.23529412	11.76470588	0	15	2
CCCVCCVCV	0	69.76744186	30.23255814	0	30	13
CCCVCCVV	0	100	0	0	1	0
CCCVCCVVCCV	0	100	0	0	2	0
CCCVCCVVCV	0	90	10	0	9	1
CCCVCVCCV	0	77.77777778	22.22222222	0	14	4
CCCVCVCCVVCV	0	100	0	0	1	0
CCCVCVCV	0	68.57142857	31.42857143	0	24	11
CCCVCVVCV	0	100	0	0	5	0
CCCVVCCVCV	0	100	0	0	1	0
CCCVVCCVVCCV	0	100	0	0	1	0
CCCVVCCVVCV	0	85.71428571	14.28571429	0	6	1
CCCVVCV	0	100	0	0	5	0
CCCVVCVCCV	0	100	0	0	3	0
CCCVVCVCV	0	50	50	0	3	3
CCCVVVCCV	0	100	0	0	1	0
CCCVVVCV	0	80	20	0	4	1
CCCVVVV	0	100	0	0	1	0
CCVCC	0	100	0	0	1	0
CCVCCCV	0	100	0	0	1	0
CCVCCCVCCV	0	100	0	0	1	0
CCVCCCVCV	0	66.66666667	33.33333333	0	2	1
CCVCCCVVCCV	0	100	0	0	4	0
CCVCCCVVCV	0	100	0	0	4	0
CCVCCCVVCVCV	0	100	0	0	1	0
CCVCCV	0	100	0	0	2	0
CCVCCVCCCV	0	50	50	0	1	1
CCVCCVCCV	0	88.11188811	11.88811189	0	126	17
CCVCCVCCVCCV	0	100	0	0	2	0
CCVCCVCCVV	0	100	0	0	1	0
CCVCCVCV	0	63.60424028	36.39575972	0	180	103
CCVCCVCVCCV	0	100	0	0	1	0
CCVCCVCVCCVV	0	100	0	0	1	0
CCVCCVCVV	0	100	0	0	2	0
CCVCCVV	0	100	0	0	5	0
CCVCCVVCCV	0	96.15384615	3.846153846	0	25	1
CCVCCVVCV	0	93.02325581	6.976744186	0	80	6
CCVCCVVV	0	100	0	0	2	0
CCVCV	0	100	0	0	3	0
CCVCVCCCV	0	100	0	0	1	0
CCVCVCCV	0	94.55445545	5.445544554	0	191	11
CCVCVCCVCCV	0	100	0	0	2	0
CCVCVCCVCV	0	100	0	0	3	0
CCVCVCCVV	0	100	0	0	7	0
CCVCVCV	0	73.26388889	26.73611111	0	211	77
CCVCVCVCCV	0	100	0	0	2	0
CCVCVCVCV	0	100	0	0	1	0
CCVCVCVV	0	66.66666667	33.33333333	0	4	2
CCVCVV	0	88.88888889	11.11111111	0	8	1
CCVCVVCCV	0	100	0	0	13	0
CCVCVVCV	0	93.10344828	6.896551724	0	54	4
CCVVCCCV	0	100	0	0	1	0
CCVVCCCVCCV	0	100	0	0	2	0
CCVVCCCVVCV	0	0	100	0	0	2
CCVVCCV	0	100	0	0	8	0
CCVVCCVCCV	0	100	0	0	1	0
CCVVCCVCV	0	75	25	0	3	1
CCVVCCVV	0	100	0	0	1	0
CCVVCCVVCCV	0	25	75	0	1	3
CCVVCCVVCV	0	72.72727273	27.27272727	0	8	3
CCVVCCVVV	0	100	0	0	1	0
CCVVCCVVVV	0	100	0	0	1	0
CCVVCV	0	71.42857143	28.57142857	0	10	4
CCVVCVCCCV	0	50	50	0	1	1
CCVVCVCCV	0	64.70588235	35.29411765	0	22	12
CCVVCVCV	0	65.51724138	34.48275862	0	38	20
CCVVCVV	0	100	0	0	2	0
CCVVCVVCV	0	100	0	0	2	0
CCVVVCCV	0	100	0	0	1	0
CVCC	0	100	0	0	1	0
CVCCCV	0	100	0	0	2	0
CVCCCVCCCV	0	100	0	0	2	0
CVCCCVCCV	0	97.95918367	2.040816327	0	96	2
CVCCCVCCVCCV	0	100	0	0	3	0
CVCCCVCCVCV	0	100	0	0	1	0
CVCCCVCCVV	0	100	0	0	4	0
CVCCCVCV	0	74	26	0	74	26
CVCCCVCVCCV	0	100	0	0	3	0
CVCCCVCVCVCV	0	100	0	0	1	0
CVCCCVCVV	0	100	0	0	5	0
CVCCCVCVVCCV	0	100	0	0	1	0
CVCCCVV	0	100	0	0	3	0
CVCCCVVCCV	0	100	0	0	12	0
CVCCCVVCV	0	82.35294118	17.64705882	0	42	9
CVCCCVVCVCCV	0	100	0	0	1	0
CVCCCVVV	0	100	0	0	2	0
CVCCCVVVV	0	100	0	0	2	0
CVCCV	0	100	0	0	7	0
CVCCVCCCV	0	90.90909091	9.090909091	0	20	2
CVCCVCCCVV	0	100	0	0	4	0
CVCCVCCCVVCV	0	100	0	0	1	0
CVCCVCCV	0	92.18362283	7.816377171	0	743	63
CVCCVCCVCCV	0	100	0	0	12	0
CVCCVCCVCV	0	100	0	0	6	0
CVCCVCCVV	0	100	0	0	55	0
CVCCVCCVVCCV	0	100	0	0	1	0
CVCCVCCVVCV	0	100	0	0	1	0
CVCCVCV	0	69.01528014	30.98471986	0	813	365
CVCCVCVCCCV	0	100	0	0	1	0
CVCCVCVCCV	0	100	0	0	22	0
CVCCVCVCCVV	0	100	0	0	1	0
CVCCVCVCV	0	100	0	0	8	0
CVCCVCVCVCV	0	100	0	0	1	0
CVCCVCVV	0	100	0	0	17	0
CVCCVV	2.040816327	93.87755102	4.081632653	1	46	2
CVCCVVCCCV	0	100	0	0	2	0
CVCCVVCCV	0	91.17647059	8.823529412	0	93	9
CVCCVVCCVCCV	0	100	0	0	1	0
CVCCVVCCVCV	0	100	0	0	2	0
CVCCVVCCVV	0	100	0	0	3	0
CVCCVVCV	0	86.69201521	13.30798479	0	228	35
CVCCVVCVCCV	0	100	0	0	4	0
CVCCVVCVCCVV	0	100	0	0	1	0
CVCCVVCVCV	0	100	0	0	5	0
CVCCVVV	0	100	0	0	11	0
CVCCVVVCV	0	100	0	0	1	0
CVCCVVVV	0	100	0	0	2	0
CVCV	0	100	0	0	3	0
CVCVCCCV	0	100	0	0	39	0
CVCVCCCVCV	0	100	0	0	1	0
CVCVCCCVV	0	100	0	0	7	0
CVCVCCCVVCCV	0	100	0	0	1	0
CVCVCCCVVCV	0	100	0	0	1	0
CVCVCCV	0	96.09984399	3.900156006	0	616	25
CVCVCCVCCV	0	100	0	0	7	0
CVCVCCVCV	0	100	0	0	6	0
CVCVCCVCVCV	0	100	0	0	1	0
CVCVCCVV	0	100	0	0	33	0
CVCVCCVVCCV	0	100	0	0	2	0
CVCVCCVVVCV	0	100	0	0	1	0
CVCVCV	0	72.70029674	27.29970326	0	735	276
CVCVCVCC	0	100	0	0	1	0
CVCVCVCCV	0	100	0	0	17	0
CVCVCVCCVV	0	100	0	0	3	0
CVCVCVCV	0	100	0	0	12	0
CVCVCVCVCCV	0	100	0	0	3	0
CVCVCVCVCCVV	0	100	0	0	1	0
CVCVCVCVCV	0	100	0	0	1	0
CVCVCVV	0	100	0	0	34	0
CVCVCVVVCCV	0	100	0	0	1	0
CVCVV	0	81.08108108	18.91891892	0	30	7
CVCVVCCV	0	100	0	0	31	0
CVCVVCV	0	90.51724138	9.482758621	0	105	11
CVCVVCVCCV	0	100	0	0	1	0
CVCVVCVCV	0	100	0	0	1	0
CVCVVCVV	0	100	0	0	3	0
CVCVVV	0	100	0	0	5	0
CVCVVVCV	0	100	0	0	1	0
CVV	0	100	0	0	1	0
CVVCC	0	100	0	0	1	0
CVVCCCV	0	100	0	0	6	0
CVVCCCVCCVVCCV	0	100	0	0	1	0
CVVCCCVCV	0	100	0	0	2	0
CVVCCV	0	100	0	0	12	0
CVVCCVCCCV	0	100	0	0	1	0
CVVCCVCCV	0	100	0	0	34	0
CVVCCVCCVCCVCCV	0	100	0	0	1	0
CVVCCVCCVV	0	100	0	0	1	0
CVVCCVCV	0	74.28571429	25.71428571	0	52	18
CVVCCVCVCCV	0	100	0	0	1	0
CVVCCVCVCCVCV	0	100	0	0	1	0
CVVCCVCVV	0	100	0	0	1	0
CVVCCVV	0	100	0	0	5	0
CVVCCVVCCV	0	100	0	0	1	0
CVVCCVVCV	0	86.66666667	13.33333333	0	13	2
CVVCV	0	89.28571429	10.71428571	0	25	3
CVVCVCCV	0	84.12698413	15.87301587	0	53	10
CVVCVCCVCV	0	100	0	0	1	0
CVVCVCCVV	0	100	0	0	1	0
CVVCVCV	0	65.57377049	34.42622951	0	80	42
CVVCVCVCCV	0	100	0	0	1	0
CVVCVCVV	0	100	0	0	1	0
CVVCVV	0	100	0	0	2	0
CVVCVVCV	0	100	0	0	8	0
CVVCVVV	0	100	0	0	2	0
CVVV	0	100	0	0	1	0
CVVVCCV	0	100	0	0	1	0
