CV-structure	S5_%ULT_Ty	S5_%PULT_Ty	S5_%APULT_Ty	S5_%PAPULT_Ty	S5_nULT_Ty	S5_nPULT_Ty	S5_nAPULT_Ty	S5_nPAPULT_Ty
CCCVCCVCCVCV	0	0	100	0	0	0	2	0
CCCVCCVCCVCVCV	0	0	100	0	0	0	1	0
CCCVCCVVCVCV	0	0	100	0	0	0	2	0
CCCVCVCCCVVCV	0	0	100	0	0	0	1	0
CCCVCVCCVCV	0	0	100	0	0	0	3	0
CCCVCVCCVCVCV	0	0	100	0	0	0	2	0
CCCVCVCCVV	0	100	0	0	0	1	0	0
CCCVCVCVCCVCV	0	0	100	0	0	0	1	0
CCCVCVCVCV	0	0	100	0	0	0	1	0
CCCVVCCVCVCV	0	100	0	0	0	1	0	0
CCCVVCCVCVCVV	0	100	0	0	0	3	0	0
CCCVVCCVVCCVCV	0	0	100	0	0	0	1	0
CCCVVCVCCVCCVCV	0	0	100	0	0	0	1	0
CCV	0	100	0	0	0	1	0	0
CCVCCCVCVV	100	0	0	0	1	0	0	0
CCVCCV	0	100	0	0	0	2	0	0
CCVCCVCCV	0	100	0	0	0	2	0	0
CCVCCVCCVCCVCV	0	0	100	0	0	0	5	0
CCVCCVCCVCV	0	0	100	0	0	0	4	0
CCVCCVCCVCVCCV	0	100	0	0	0	3	0	0
CCVCCVCCVCVCV	0	0	100	0	0	0	6	0
CCVCCVCCVCVVCV	0	100	0	0	0	2	0	0
CCVCCVCCVVCVCV	0	0	100	0	0	0	2	0
CCVCCVCV	0	100	0	0	0	2	0	0
CCVCCVCVCCV	0	66.66666667	33.33333333	0	0	2	1	0
CCVCCVCVCCVCCV	0	100	0	0	0	1	0	0
CCVCCVCVCCVCV	0	14.28571429	85.71428571	0	0	1	6	0
CCVCCVCVCCVVCV	0	100	0	0	0	1	0	0
CCVCCVCVCV	0	0	80	20	0	0	4	1
CCVCCVCVCVCCV	0	100	0	0	0	4	0	0
CCVCCVCVCVCV	0	53.84615385	46.15384615	0	0	7	6	0
CCVCCVCVV	100	0	0	0	1	0	0	0
CCVCCVCVVCVCV	0	0	100	0	0	0	1	0
CCVCCVVCCV	0	100	0	0	0	1	0	0
CCVCCVVCCVCV	0	0	100	0	0	0	2	0
CCVCCVVCCVCVCCV	0	100	0	0	0	1	0	0
CCVCCVVCVCCVCV	0	0	100	0	0	0	1	0
CCVCCVVCVCV	0	0	100	0	0	0	3	0
CCVCCVVCVCVCV	0	0	100	0	0	0	1	0
