1lett	S2_%ULT_Tk	S2_%PULT_Tk	S3_%ULT_Tk	S3_%PULT_Tk	S3_%APULT_Tk	S4_%ULT_Tk	S4_%PULT_Tk	S4_%APULT_Tk	S4_%PAPULT_Tk	S5_%ULT_Tk	S5_%PULT_Tk	S5_%APULT_Tk	S5_%PAPULT_Tk	S6_%ULT_Tk	S6_%PULT_Tk	S6_%APULT_Tk	S6_%PAPULT_Tk	S7_%PULT_Tk	S7_%APULT_Tk	S8_%PULT_Tk	S2_nULT_Tk	S2_nPULT_Tk	S3_nULT_Tk	S3_nPULT_Tk	S3_nAPULT_Tk	S4_nULT_Tk	S4_nPULT_Tk	S4_nAPULT_Tk	S4_nPAPULT_Tk	S5_nULT_Tk	S5_nPULT_Tk	S5_nAPULT_Tk	S5_nPAPULT_Tk	S6_nULT_Tk	S6_nPULT_Tk	S6_nAPULT_Tk	S6_nPAPULT_Tk	S7_nPULT_Tk	S7_nAPULT_Tk	S8_nPULT_Tk
a	7.183271833	92.81672817	2.204494768	88.69445874	9.101046492	4.529881995	75.4853445	19.66121051	0.323563	1.09114249	70.86007702	26.37997433	1.668806162	0	59.41176471	40	0.588235294	0	100	NA	584	7546	257	10340	1061	238	3966	1033	17	17	1104	411	26	0	101	68	1	0	10	NA
b	2.053036784	97.94696322	1.535580524	92.13483146	6.329588015	2.551020408	55.78231293	40.47619048	1.19047619	0	81.57894737	15.78947368	2.631578947	NA	NA	NA	NA	NA	NA	NA	96	4580	41	2460	169	15	328	238	7	0	31	6	1	NA	NA	NA	NA	NA	NA	NA
c	15.36956825	84.63043175	3.578011493	83.83389353	12.58809498	4.196642686	75.22781775	20.19184652	0.383693046	0.788436268	72.14191853	24.04730618	3.022339028	0	43.75	56.25	0	0	100	100	2200	12114	330	7732	1161	175	3137	842	16	6	549	183	23	0	84	108	0	0	8	16
d	2.749410841	97.25058916	2.75497172	86.07918263	11.16584565	3.487318841	62.99818841	33.19746377	0.317028986	1.19760479	77.44510978	17.76447106	3.592814371	0	25	71.42857143	3.571428571	100	0	NA	175	6190	151	4718	612	77	1391	733	7	6	388	89	18	0	7	20	1	6	0	NA
e	6.163396519	93.83660348	2.207041513	49.81607987	47.97687861	2.102312544	74.42186405	23.33566924	0.14015417	2.433628319	74.77876106	21.01769912	1.769911504	0	90.12345679	9.87654321	0	0	100	NA	556	8465	84	1896	1826	30	1062	333	2	11	338	95	8	0	73	8	0	0	8	NA
f	3.951553707	96.04844629	0.869360902	84.98590226	14.14473684	2.625298329	69.61018298	27.52585521	0.238663484	0.485436893	51.45631068	47.08737864	0.970873786	0	64	36	0	0	100	NA	323	7851	37	3617	602	33	875	346	3	1	106	97	2	0	16	9	0	0	1	NA
F	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	35	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g	3.390925238	96.60907476	1.810344828	80.21551724	17.97413793	0.099601594	78.98406375	20.61752988	0.298804781	4.511278195	57.14285714	37.59398496	0.751879699	0	0	100	0	NA	NA	NA	210	5983	42	1861	417	1	793	207	3	6	76	50	1	0	0	2	0	NA	NA	NA
h	55.55555556	44.44444444	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
i	0.618556701	99.3814433	3.060011884	90.25549614	6.684491979	2.861685215	80.08744038	16.77265501	0.278219396	0.091911765	69.66911765	29.6875	0.551470588	0	55.59701493	44.02985075	0.373134328	35.71428571	64.28571429	NA	9	1446	103	3038	225	72	2015	422	7	1	758	323	6	0	149	118	1	5	9	NA
j	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
l	3.824175824	96.17582418	3.021015762	69.04553415	27.93345009	2.702702703	75.22522523	20.12012012	1.951951952	0	69.56521739	30.43478261	0	0	0	100	0	NA	NA	NA	174	4376	69	1577	638	18	501	134	13	0	80	35	0	0	0	2	0	NA	NA	NA
m	2.443609023	97.55639098	2.169197397	74.01301518	23.81778742	1.081424936	71.81933842	26.46310433	0.636132316	0.790513834	69.16996047	28.06324111	1.976284585	0	92.85714286	7.142857143	0	NA	NA	NA	234	9342	100	3412	1098	17	1129	416	10	2	175	71	5	0	13	1	0	NA	NA	NA
n	2.133027523	97.86697248	1.342975207	74.84504132	23.81198347	3.430531732	83.01886792	13.55060034	0	0	87.93103448	12.06896552	0	0	0	100	0	NA	NA	NA	93	4267	26	1449	461	20	484	79	0	0	153	21	0	0	0	5	0	NA	NA	NA
o	0.474683544	99.52531646	2.628635347	75.44742729	21.92393736	1.899335233	73.69420703	23.83665717	0.56980057	2.506963788	81.33704735	16.15598886	0	0	87.5	12.5	0	0	100	NA	15	3145	47	1349	392	20	776	251	6	9	292	58	0	0	14	2	0	0	2	NA
p	20.43785311	79.56214689	2.227607419	71.77742567	25.99496691	2.306132793	70.52711607	26.73593512	0.430816016	7.175925926	70.13888889	20.94907407	1.736111111	0	44	54.66666667	1.333333333	0	100	NA	2894	11266	239	7701	2789	91	2783	1055	17	62	606	181	15	0	33	41	1	0	4	NA
q	0.446043165	99.55395683	12.3255814	84.76744186	2.906976744	0	75.16778523	24.83221477	0	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	31	6919	106	729	25	0	224	74	0	0	1	0	0	NA	NA	NA	NA	NA	NA	NA
r	5.901951452	94.09804855	5.404878049	87.68780488	6.907317073	3.515195899	70.52361772	25.74148663	0.219699744	1.291989664	62.14470284	36.04651163	0.516795866	11.49425287	60.91954023	27.5862069	0	NA	NA	NA	124	1977	277	4494	354	96	1926	703	6	10	481	279	4	10	53	24	0	NA	NA	NA
s	2.622516556	97.37748344	2.175333769	78.50807581	19.31659042	1.343101343	70.45177045	27.99145299	0.213675214	0.627943485	64.05023548	33.43799058	1.883830455	0	31.31313131	68.68686869	0	0	100	NA	396	14704	233	8409	2069	44	2308	917	7	4	408	213	12	0	31	68	0	0	1	NA
t	2.669136071	97.33086393	2.647336905	77.56066814	19.79199496	0.966850829	70.44198895	28.24585635	0.345303867	0	92.2425952	7.475317348	0.282087447	0	66.66666667	33.33333333	0	NA	NA	NA	245	8934	84	2461	628	14	1020	409	5	0	654	53	2	0	2	1	0	NA	NA	NA
u	24.53547297	75.46452703	3.338992643	53.02773062	43.63327674	11.07491857	58.95765472	29.96742671	0	7.936507937	80.95238095	11.11111111	0	0	0	100	0	NA	NA	NA	581	1787	59	937	771	34	181	92	0	10	102	14	0	0	0	1	0	NA	NA	NA
v	2.194710186	97.80528981	2.817229336	79.02211874	18.16065192	9.212283044	57.67690254	33.11081442	0	0.617283951	85.80246914	12.34567901	1.234567901	0	92	6	2	NA	NA	100	156	6952	121	3394	780	69	432	248	0	1	139	20	2	0	46	3	1	NA	NA	3
V	0	100	NA	NA	NA	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	441	NA	NA	NA	0	0	2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
z	0	100	2.352941176	35.29411765	62.35294118	0	100	0	0	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	0	986	2	30	53	0	15	0	0	0	0	7	0	NA	NA	NA	NA	NA	NA	NA
