3lett	%ULT_Ty	%PULT_Ty	%APULT_Ty	%PAPULT_Ty	nULT_Ty	nPULT_Ty	nAPULT_Ty	nPAPULT_Ty
aah	NA	100	NA	NA	NA	1	NA	NA
abb	8.108108108	68.91891892	22.97297297	NA	6	51	17	NA
abe	NA	100	NA	NA	NA	2	NA	NA
abi	5.263157895	63.15789474	26.31578947	5.263157895	2	24	10	2
abo	25	50	25	NA	1	2	1	NA
aca	NA	100	NA	NA	NA	2	NA	NA
acc	7.984790875	68.44106464	22.05323194	1.520912548	21	180	58	4
ace	NA	100	NA	NA	NA	1	NA	NA
aci	NA	NA	100	NA	NA	NA	3	NA
acq	6.25	71.875	21.875	NA	2	23	7	NA
acr	NA	100	NA	NA	NA	2	NA	NA
acu	NA	100	NA	NA	NA	4	NA	NA
ada	8	72	20	NA	2	18	5	NA
add	5.405405405	89.18918919	5.405405405	NA	2	33	2	NA
ade	NA	100	NA	NA	NA	4	NA	NA
adi	NA	100	NA	NA	NA	3	NA	NA
ado	6.896551724	65.51724138	24.13793103	3.448275862	2	19	7	1
adr	NA	NA	100	NA	NA	NA	1	NA
adu	NA	100	NA	NA	NA	4	NA	NA
aer	NA	50	50	NA	NA	4	4	NA
afa	NA	100	NA	NA	NA	1	NA	NA
aff	7.638888889	77.08333333	14.58333333	0.694444444	11	111	21	1
afr	NA	100	NA	NA	NA	3	NA	NA
age	NA	100	NA	NA	NA	4	NA	NA
agg	12.24489796	67.34693878	20.40816327	NA	6	33	10	NA
agi	3.571428571	71.42857143	21.42857143	3.571428571	1	20	6	1
agl	NA	100	NA	NA	NA	1	NA	NA
agn	NA	100	NA	NA	NA	2	NA	NA
ago	NA	100	NA	NA	NA	5	NA	NA
agr	NA	57.14285714	42.85714286	NA	NA	4	3	NA
agu	NA	100	NA	NA	NA	2	NA	NA
ahh	NA	100	NA	NA	NA	1	NA	NA
ahi	33.33333333	66.66666667	NA	NA	1	2	NA	NA
aia	NA	100	NA	NA	NA	1	NA	NA
aiu	6.25	66.66666667	27.08333333	NA	3	32	13	NA
ala	NA	100	NA	NA	NA	7	NA	NA
alb	NA	75	25	NA	NA	6	2	NA
alc	16.66666667	83.33333333	NA	NA	1	5	NA	NA
alf	NA	100	NA	NA	NA	1	NA	NA
alg	NA	100	NA	NA	NA	2	NA	NA
ali	9.090909091	72.72727273	18.18181818	NA	1	8	2	NA
all	6.18556701	80.41237113	13.40206186	NA	6	78	13	NA
alm	NA	100	NA	NA	NA	1	NA	NA
alp	NA	100	NA	NA	NA	4	NA	NA
alq	NA	100	NA	NA	NA	2	NA	NA
alt	NA	86.20689655	13.79310345	NA	NA	25	4	NA
alu	NA	100	NA	NA	NA	4	NA	NA
alv	NA	100	NA	NA	NA	2	NA	NA
alz	7.407407407	62.96296296	29.62962963	NA	2	17	8	NA
ama	3.703703704	81.48148148	14.81481481	NA	1	22	4	NA
amb	NA	100	NA	NA	NA	12	NA	NA
ame	NA	100	NA	NA	NA	4	NA	NA
ami	NA	85.71428571	14.28571429	NA	NA	12	2	NA
amm	6.153846154	67.69230769	26.15384615	NA	4	44	17	NA
amo	20	80	NA	NA	1	4	NA	NA
amp	NA	100	NA	NA	NA	4	NA	NA
ana	NA	44.44444444	55.55555556	NA	NA	4	5	NA
anc	16.66666667	66.66666667	16.66666667	NA	1	4	1	NA
and	7.01754386	61.40350877	26.31578947	5.263157895	4	35	15	3
ane	NA	50	50	NA	NA	2	2	NA
anf	NA	50	50	NA	NA	2	2	NA
ang	NA	54.54545455	45.45454545	NA	NA	6	5	NA
ani	6.25	62.5	31.25	NA	1	10	5	NA
ann	13.95348837	69.76744186	16.27906977	NA	6	30	7	NA
ans	NA	100	NA	NA	NA	6	NA	NA
ant	3.846153846	61.53846154	34.61538462	NA	1	16	9	NA
anz	16.66666667	83.33333333	NA	NA	1	5	NA	NA
aoo	NA	100	NA	NA	NA	1	NA	NA
ape	NA	100	NA	NA	NA	8	NA	NA
apo	NA	NA	100	NA	NA	NA	2	NA
app	6.626506024	71.08433735	22.28915663	NA	11	118	37	NA
apr	12.12121212	66.66666667	21.21212121	NA	4	22	7	NA
aqu	NA	50	50	NA	NA	2	2	NA
ara	NA	66.66666667	33.33333333	NA	NA	6	3	NA
arb	NA	50	50	NA	NA	2	2	NA
