4lett	S2_%ULT_Ty	S2_%PULT_Ty	S3_%ULT_Ty	S3_%PULT_Ty	S3_%APULT_Ty	S4_%ULT_Ty	S4_%PULT_Ty	S4_%APULT_Ty	S4_%PAPULT_Ty	S5_%ULT_Ty	S5_%PULT_Ty	S5_%APULT_Ty	S5_%PAPULT_Ty	S6_%ULT_Ty	S6_%PULT_Ty	S6_%APULT_Ty	S6_%PAPULT_Ty	S7_%PULT_Ty	S7_%APULT_Ty	S8_%PULT_Ty	S2_nULT_Ty	S2_nPULT_Ty	S3_nULT_Ty	S3_nPULT_Ty	S3_nAPULT_Ty	S4_nULT_Ty	S4_nPULT_Ty	S4_nAPULT_Ty	S4_nPAPULT_Ty	S5_nULT_Ty	S5_nPULT_Ty	S5_nAPULT_Ty	S5_nPAPULT_Ty	S6_nULT_Ty	S6_nPULT_Ty	S6_nAPULT_Ty	S6_nPAPULT_Ty	S7_nPULT_Ty	S7_nAPULT_Ty	S8_nPULT_Ty
abba	NA	NA	28.57142857	71.42857143	NA	4.347826087	73.91304348	21.73913043	NA	5.263157895	68.42105263	26.31578947	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	2	5	NA	1	17	5	NA	1	13	5	NA	NA	NA	4	NA	NA	NA	NA
abbe	NA	NA	100	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
abbi	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
abbo	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
abbr	NA	NA	25	75	NA	NA	80	20	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	3	NA	NA	4	1	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA
abet	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
abil	NA	NA	NA	NA	100	100	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	1	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA
abis	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
abit	NA	NA	16.66666667	33.33333333	50	NA	83.33333333	NA	16.66666667	NA	72.72727273	27.27272727	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	1	2	3	NA	10	NA	2	NA	8	3	NA	NA	2	NA	NA	NA	NA	NA
abol	NA	NA	100	NA	NA	NA	100	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	2	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA
acac	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
acca	NA	100	20	80	NA	6.25	81.25	12.5	NA	NA	62.5	37.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	4	NA	1	13	2	NA	NA	5	3	NA	NA	NA	NA	NA	NA	NA	NA
acce	NA	NA	16.66666667	83.33333333	NA	6.896551724	62.06896552	31.03448276	NA	NA	70	30	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	15	NA	2	18	9	NA	NA	7	3	NA	NA	NA	NA	NA	NA	NA	NA
acch	NA	100	NA	100	NA	12.5	75	12.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	2	NA	1	6	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
acci	NA	100	16.66666667	83.33333333	NA	NA	75	25	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	5	NA	NA	6	2	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA
acco	NA	100	4.545454545	95.45454545	NA	11.11111111	57.77777778	31.11111111	NA	9.302325581	62.79069767	18.60465116	9.302325581	NA	66.66666667	33.33333333	NA	NA	NA	NA	NA	1	1	21	NA	5	26	14	NA	4	27	8	4	NA	8	4	NA	NA	NA	NA
accr	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA
accu	NA	NA	50	50	NA	NA	88.88888889	11.11111111	NA	NA	60	40	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	2	2	NA	NA	8	1	NA	NA	3	2	NA	NA	NA	3	NA	NA	NA	NA
acet	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
acid	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
acqu	NA	100	14.28571429	71.42857143	14.28571429	4.761904762	76.19047619	19.04761905	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	1	5	1	1	16	4	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA
acro	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
acut	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
adag	NA	NA	33.33333333	66.66666667	NA	NA	100	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2	NA	NA	3	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA
adat	NA	NA	NA	100	NA	10	70	20	NA	NA	50	50	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	1	7	2	NA	NA	2	2	NA	NA	NA	NA	NA	NA	NA	NA
adde	NA	NA	16.66666667	83.33333333	NA	NA	83.33333333	16.66666667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	5	NA	NA	5	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
addi	NA	NA	NA	100	NA	NA	100	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	2	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
addo	NA	NA	NA	100	NA	16.66666667	83.33333333	NA	NA	NA	100	NA	NA	NA	66.66666667	33.33333333	NA	NA	NA	NA	NA	NA	NA	1	NA	1	5	NA	NA	NA	11	NA	NA	NA	2	1	NA	NA	NA	NA
adeg	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ades	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
adir	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
adop	NA	NA	NA	NA	NA	25	25	50	NA	NA	80	NA	20	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	2	NA	NA	4	NA	1	NA	NA	1	NA	NA	NA	NA
ador	NA	NA	NA	100	NA	NA	90	10	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	9	1	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA
adot	NA	NA	100	NA	NA	NA	100	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	3	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA
adri	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
adul	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
aere	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
aero	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA
