ending	%PULT_Tk	%APULT_Tk	%PAPULT_Tk	nPULT_Tk	nAPULT_Tk	nPAPULT_Tk
bba	100	0	0	8	0	0
bbe	100	0	0	635	0	0
bbi	100	0	0	25	0	0
bbo	100	0	0	126	0	0
ble	100	0	0	13	0	0
bra	99.32659933	0.673400673	0	295	2	0
bre	80	20	0	124	31	0
bri	91.11111111	8.888888889	0	82	8	0
bro	100	0	0	97	0	0
cca	100	0	0	361	0	0
cce	100	0	0	176	0	0
cci	100	0	0	77	0	0
cco	100	0	0	899	0	0
che	89.38981733	10.61018267	0	2300	273	0
chi	97.91288566	2.087114338	0	1079	23	0
cli	100	0	0	1	0	0
clo	100	0	0	5	0	0
cra	100	0	0	2	0	0
cre	100	0	0	14	0	0
cri	100	0	0	5	0	0
cro	100	0	0	21	0	0
dda	100	0	0	25	0	0
dde	100	0	0	62	0	0
ddi	100	0	0	6	0	0
ddo	100	0	0	109	0	0
dra	88.88888889	11.11111111	0	56	7	0
dre	100	0	0	322	0	0
dri	100	0	0	51	0	0
dro	100	0	0	105	0	0
ffa	100	0	0	78	0	0
ffe	100	0	0	9	0	0
ffi	100	0	0	36	0	0
ffo	100	0	0	38	0	0
fra	100	0	0	15	0	0
fre	100	0	0	39	0	0
fri	100	0	0	1	0	0
fro	100	0	0	8	0	0
gga	100	0	0	8	0	0
gge	100	0	0	121	0	0
ggi	100	0	0	556	0	0
ggo	100	0	0	6	0	0
ghe	100	0	0	160	0	0
ghi	96.27906977	3.720930233	0	207	8	0
gla	100	0	0	32	0	0
gle	100	0	0	2	0	0
gli	90.16666667	9.666666667	0.166666667	541	58	1
gma	100	0	0	11	0	0
gmi	100	0	0	18	0	0
gna	100	0	0	539	0	0
gne	100	0	0	108	0	0
gni	100	0	0	852	0	0
gno	100	0	0	737	0	0
gra	100	0	0	36	0	0
gre	100	0	0	62	0	0
gri	100	0	0	28	0	0
gro	100	0	0	52	0	0
lba	100	0	0	48	0	0
lca	100	0	0	2	0	0
lce	100	0	0	85	0	0
lci	100	0	0	48	0	0
lco	100	0	0	10	0	0
lda	100	0	0	37	0	0
lde	100	0	0	15	0	0
ldi	100	0	0	95	0	0
ldo	100	0	0	91	0	0
lfi	100	0	0	1	0	0
lfo	100	0	0	12	0	0
lga	100	0	0	7	0	0
lge	100	0	0	30	0	0
lgi	100	0	0	1	0	0
lgo	100	0	0	9	0	0
lla	100	0	0	1202	0	0
lle	100	0	0	707	0	0
lli	100	0	0	768	0	0
llo	100	0	0	1855	0	0
lma	100	0	0	62	0	0
lme	100	0	0	17	0	0
lmi	100	0	0	13	0	0
lmo	100	0	0	37	0	0
lpa	100	0	0	52	0	0
lpe	100	0	0	56	0	0
lpi	100	0	0	30	0	0
lpo	100	0	0	90	0	0
lsa	100	0	0	14	0	0
lse	100	0	0	54	0	0
lsi	100	0	0	13	0	0
lso	100	0	0	25	0	0
LSO	100	0	0	18	0	0
lta	100	0	0	827	0	0
lte	100	0	0	380	0	0
lti	100	0	0	304	0	0
lto	100	0	0	1134	0	0
lva	100	0	0	18	0	0
lve	100	0	0	56	0	0
lvi	100	0	0	22	0	0
lvo	100	0	0	35	0	0
lza	100	0	0	41	0	0
lze	100	0	0	25	0	0
lzi	100	0	0	9	0	0
lzo	100	0	0	12	0	0
mba	100	0	0	167	0	0
mbe	100	0	0	111	0	0
mbi	100	0	0	57	0	0
mbo	100	0	0	76	0	0
mma	100	0	0	628	0	0
mme	100	0	0	54	0	0
mmi	100	0	0	99	0	0
mmo	100	0	0	207	0	0
mpa	100	0	0	34	0	0
mpe	100	0	0	42	0	0
mpi	100	0	0	198	0	0
mpo	100	0	0	691	0	0
nca	100	0	0	190	0	0
nce	100	0	0	59	0	0
nci	100	0	0	17	0	0
nco	100	0	0	296	0	0
nda	100	0	0	477	0	0
nde	100	0	0	1156	0	0
ndi	100	0	0	668	0	0
ndo	100	0	0	4766	0	0
nfa	100	0	0	9	0	0
nfe	100	0	0	2	0	0
nfi	100	0	0	11	0	0
nfo	100	0	0	23	0	0
nga	100	0	0	165	0	0
nge	100	0	0	103	0	0
ngi	100	0	0	35	0	0
ngo	100	0	0	412	0	0
nna	100	0	0	452	0	0
nne	100	0	0	334	0	0
nni	100	0	0	614	0	0
nno	100	0	0	1949	0	0
nsa	100	0	0	109	0	0
nse	100	0	0	135	0	0
nsi	100	0	0	62	0	0
nso	100	0	0	171	0	0
nta	100	0	0	746	0	0
nte	100	0	0	4493	0	0
nti	100	0	0	2544	0	0
nto	100	0	0	3542	0	0
nza	100	0	0	1378	0	0
nze	100	0	0	282	0	0
nzi	100	0	0	123	0	0
nzo	100	0	0	59	0	0
pla	100	0	0	5	0	0
pli	100	0	0	7	0	0
ppa	100	0	0	148	0	0
ppe	100	0	0	69	0	0
ppi	100	0	0	92	0	0
ppo	100	0	0	439	0	0
pra	100	0	0	184	0	0
pre	100	0	0	729	0	0
pri	100	0	0	59	0	0
pro	100	0	0	18	0	0
rba	100	0	0	176	0	0
rbe	100	0	0	33	0	0
rbi	100	0	0	47	0	0
rbo	100	0	0	64	0	0
rca	100	0	0	318	0	0
rce	100	0	0	31	0	0
rci	78.76344086	21.23655914	0	293	79	0
rco	100	0	0	177	0	0
rda	100	0	0	334	0	0
rde	100	0	0	204	0	0
rdi	100	0	0	335	0	0
rdo	100	0	0	369	0	0
rga	100	0	0	41	0	0
rge	100	0	0	34	0	0
rgi	100	0	0	5	0	0
rgo	100	0	0	78	0	0
rla	87.9093199	12.0906801	0	349	48	0
rle	81.75675676	18.24324324	0	121	27	0
rli	75.95628415	24.04371585	0	139	44	0
rlo	85.66610455	14.33389545	0	508	85	0
rma	100	0	0	245	0	0
rme	100	0	0	197	0	0
rmi	89.0625	10.9375	0	456	56	0
rmo	100	0	0	81	0	0
rna	100	0	0	179	0	0
rne	94.41624365	5.583756345	0	186	11	0
rni	100	0	0	285	0	0
rno	100	0	0	1265	0	0
rpa	100	0	0	13	0	0
rpe	100	0	0	47	0	0
rpi	100	0	0	32	0	0
rpo	100	0	0	135	0	0
rra	100	0	0	647	0	0
rre	100	0	0	301	0	0
rri	100	0	0	79	0	0
rro	100	0	0	184	0	0
rsa	100	0	0	242	0	0
rse	100	0	0	617	0	0
rsi	81.65680473	18.34319527	0	828	186	0
rso	100	0	0	819	0	0
rta	100	0	0	756	0	0
rte	100	0	0	947	0	0
rti	91.90672154	8.093278464	0	670	59	0
rto	100	0	0	904	0	0
rva	100	0	0	126	0	0
rve	100	0	0	142	0	0
rvi	84.14634146	15.85365854	0	207	39	0
rvo	100	0	0	46	0	0
rza	100	0	0	243	0	0
rze	100	0	0	29	0	0
rzi	100	0	0	43	0	0
rzo	100	0	0	152	0	0
sca	100	0	0	234	0	0
sce	100	0	0	483	0	0
sci	100	0	0	276	0	0
sco	100	0	0	459	0	0
sfa	100	0	0	2	0	0
sma	100	0	0	21	0	0
smi	100	0	0	64	0	0
smo	100	0	0	45	0	0
spa	100	0	0	9	0	0
spe	100	0	0	3	0	0
spi	100	0	0	4	0	0
spo	100	0	0	18	0	0
ssa	100	0	0	689	0	0
sse	100	0	0	1431	0	0
ssi	99.80582524	0.194174757	0	514	1	0
sso	100	0	0	2031	0	0
sta	100	0	0	1519	0	0
ste	100	0	0	489	0	0
sti	100	0	0	467	0	0
sto	100	0	0	3907	0	0
tmi	100	0	0	3	0	0
tmo	100	0	0	11	0	0
tra	97.21539722	2.784602785	0	1187	34	0
tre	99.22371207	0.776287932	0	1406	11	0
tri	85.51912568	14.48087432	0	939	159	0
tro	96.75491033	3.245089667	0	2266	76	0
tta	100	0	0	1689	0	0
tte	100	0	0	1449	0	0
tti	100	0	0	2446	0	0
tto	100	0	0	4692	0	0
vra	100	0	0	6	0	0
vre	100	0	0	3	0	0
vve	100	0	0	7	0	0
vvi	100	0	0	3	0	0
zza	100	0	0	567	0	0
zze	100	0	0	149	0	0
zzi	100	0	0	502	0	0
zzo	100	0	0	594	0	0
