ending	B_%PULT_Tk	C_%PULT_Tk	G_%PULT_Tk	G_%APULT_Tk	I_%PULT_Tk	N_%PULT_Tk	P_%PULT_Tk	S_%PULT_Tk	S_%APULT_Tk	V_%PULT_Tk	V_%APULT_Tk	V_%PAPULT_Tk	B_nPULT_Tk	C_nPULT_Tk	G_nPULT_Tk	G_nAPULT_Tk	I_nPULT_Tk	N_nPULT_Tk	P_nPULT_Tk	S_nPULT_Tk	S_nAPULT_Tk	V_nPULT_Tk	V_nAPULT_Tk	V_nPAPULT_Tk
bba	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	0	0
bbe	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	635	0	0
bbi	NA	NA	NA	NA	NA	NA	NA	100	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	14	0	11	0	0
bbo	NA	NA	100	0	NA	NA	NA	100	0	100	0	0	NA	NA	1	0	NA	NA	NA	120	0	5	0	0
ble	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13	NA	NA	NA	NA	NA	NA	NA
bra	NA	NA	NA	NA	NA	NA	NA	98.71794872	1.282051282	99.543379	0.456621005	0	NA	NA	NA	NA	NA	NA	NA	77	1	218	1	0
bre	NA	NA	0	100	NA	NA	NA	87.32394366	12.67605634	NA	NA	NA	NA	NA	0	13	NA	NA	NA	124	18	NA	NA	NA
bri	NA	NA	0	100	NA	NA	NA	100	0	100	0	0	NA	NA	0	8	NA	NA	NA	70	0	12	0	0
bro	NA	NA	NA	NA	NA	NA	NA	100	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	95	0	2	0	0
cca	NA	NA	100	0	NA	NA	NA	100	0	100	0	0	NA	NA	38	0	NA	NA	NA	250	0	73	0	0
cce	NA	NA	100	0	NA	NA	NA	100	0	100	0	0	NA	NA	1	0	NA	NA	NA	174	0	1	0	0
cci	NA	NA	100	0	NA	NA	NA	100	0	100	0	0	NA	NA	3	0	NA	NA	NA	67	0	7	0	0
