ending	%PULT_Tk	%APULT_Tk	%PAPULT_Tk	nPULT_Tk	nAPULT_Tk	nPAPULT_Tk
aba	70.5882352941177	29.4117647058824	0	12	5	0
abe	85.7142857142857	14.2857142857143	0	12	2	0
abi	0	100	0	0	10	0
abo	0	100	0	0	9	0
aca	29.6296296296296	70.3703703703704	0	8	19	0
ace	100	0	0	347	0	0
aci	65.0602409638554	33.7349397590361	1.20481927710843	54	28	1
aco	8.64197530864197	91.358024691358	0	7	74	0
ada	94.9404761904762	5.05952380952381	0	319	17	0
ade	87.9746835443038	12.0253164556962	0	139	19	0
adi	70.1492537313433	29.8507462686567	0	47	20	0
ado	100	0	0	181	0	0
afa	54.5454545454545	45.4545454545455	0	6	5	0
afi	42.8571428571429	57.1428571428571	0	3	4	0
afo	28.5714285714286	71.4285714285714	0	4	10	0
aga	100	0	0	29	0	0
age	100	0	0	16	0	0
agi	100	0	0	10	0	0
ago	96.8944099378882	3.1055900621118	0	156	5	0
ahi	100	0	0	54	0	0
ala	85	13.8888888888889	1.11111111111111	153	25	2
ale	99.3680884676145	0.631911532385466	0	2516	16	0
ali	97.1452560873216	2.77078085642317	0.0839630562552477	1157	33	1
alo	62.5	35.9375	1.5625	80	46	2
ama	100	0	0	213	0	0
ame	100	0	0	186	0	0
ami	54.1666666666667	45.8333333333333	0	104	88	0
amo	99.5728155339806	0.427184466019418	0	2564	11	0
ana	99.8054474708171	0.194552529182879	0	513	1	0
ane	82.1070234113712	17.8929765886288	0	491	107	0
ani	89.746835443038	10.253164556962	0	709	81	0
ano	22.8758169934641	73.9948504654387	3.12933254109725	1155	3736	158
apa	100	0	0	41	0	0
ape	100	0	0	29	0	0
api	100	0	0	51	0	0
apo	100	0	0	179	0	0
ara	99.6138996138996	0.386100386100386	0	258	1	0
are	99.323230837134	0.67676916286597	0	6751	46	0
ari	84.4827586206897	15.5172413793103	0	539	99	0
aro	76.8156424581006	23.1843575418994	0	275	83	0
asa	100	0	0	702	0	0
ase	100	0	0	351	0	0
asi	84.4859813084112	15.5140186915888	0	452	83	0
aso	100	0	0	248	0	0
ata	100	0	0	1868	0	0
ate	100	0	0	1636	0	0
ati	99.739921976593	0.260078023407022	0	1534	4	0
ato	98.8711395101171	1.12886048988285	0	4642	53	0
ava	100	0	0	1627	0	0
ave	100	0	0	175	0	0
avi	99.4413407821229	0.558659217877095	0	178	1	0
avo	100	0	0	299	0	0
axi	100	0	0	10	0	0
azi	100	0	0	7	0	0
eca	100	0	0	29	0	0
ece	100	0	0	507	0	0
eci	89.6907216494845	10.3092783505155	0	174	20	0
eco	100	0	0	55	0	0
eda	100	0	0	61	0	0
ede	99.1434689507495	0.856531049250535	0	463	4	0
edi	100	0	0	395	0	0
edo	100	0	0	244	0	0
ega	100	0	0	144	0	0
ege	100	0	0	5	0	0
egi	100	0	0	2	0	0
ego	100	0	0	79	0	0
ehi	100	0	0	277	0	0
ela	56.3451776649746	36.0406091370558	7.61421319796954	111	71	15
ele	92.6829268292683	4.8780487804878	2.4390243902439	114	6	3
eli	51	46	3	51	46	3
elo	73.9130434782609	21.9461697722567	4.1407867494824	357	106	20
ema	91.0569105691057	8.94308943089431	0	224	22	0
eme	100	0	0	262	0	0
emi	57.1428571428571	42.8571428571429	0	172	129	0
emo	100	0	0	590	0	0
ena	100	0	0	582	0	0
ene	89.8170246618934	7.87589498806683	2.30708035003978	1129	99	29
eni	91.4141414141414	8.58585858585858	0	181	17	0
eno	93.4861278648975	6.51387213510253	0	775	54	0
epe	100	0	0	35	0	0
epi	100	0	0	11	0	0
era	88.4987113402062	11.5012886597938	0	2747	357	0
ere	32.9941203075531	67.0058796924469	0	1459	2963	0
eri	47.0657276995305	52.9342723004695	0	401	451	0
ero	31.1854605534903	68.8145394465097	0	755	1666	0
esa	100	0	0	387	0	0
ese	100	0	0	747	0	0
esi	86.3636363636364	13.6363636363636	0	304	48	0
eso	100	0	0	377	0	0
eta	99.6282527881041	0.371747211895911	0	268	1	0
ete	100	0	0	1261	0	0
eti	100	0	0	123	0	0
eto	99.4318181818182	0.568181818181818	0	175	1	0
eva	100	0	0	1924	0	0
eve	100	0	0	401	0	0
evi	68.2098765432099	31.7901234567901	0	221	103	0
evo	100	0	0	588	0	0
iba	100	0	0	1	0	0
ibi	100	0	0	31	0	0
ibo	100	0	0	74	0	0
ica	18.65864144454	81.34135855546	0	217	946	0
ice	77.4960380348653	22.5039619651347	0	489	142	0
ici	51.2765957446809	48.7234042553191	0	482	458	0
ico	31.1776061776062	68.8223938223938	0	323	713	0
ida	43.2203389830509	56.7796610169492	0	102	134	0
ide	73.5408560311284	26.4591439688716	0	189	68	0
idi	45.945945945946	54.0540540540541	0	51	60	0
ido	32.9896907216495	67.0103092783505	0	96	195	0
ifa	100	0	0	2	0	0
ifo	100	0	0	14	0	0
iga	82.1428571428571	17.8571428571429	0	23	5	0
ige	100	0	0	15	0	0
igi	100	0	0	12	0	0
igo	69.5652173913043	30.4347826086957	0	16	7	0
ila	74.6341463414634	25.3658536585366	0	153	52	0
ile	22.072451558551	77.927548441449	0	262	925	0
ili	24.3055555555556	75.6944444444444	0	105	327	0
ilo	67	33	0	67	33	0
ima	67.5650557620818	32.4349442379182	0	727	349	0
ime	37.6068376068376	62.3931623931624	0	88	146	0
imi	28.2392026578073	71.7607973421927	0	85	216	0
imo	26.4327485380117	73.5672514619883	0	226	629	0
ina	82.2177146720757	17.7822853279243	0	1216	263	0
ine	62.298195631529	37.701804368471	0	656	397	0
ini	71.2878787878788	28.7121212121212	0	941	379	0
ino	94.9736379613357	4.67486818980668	0.351493848857645	2702	133	10
ipa	84.6153846153846	15.3846153846154	0	22	4	0
ipe	4.05405405405405	95.9459459459459	0	6	142	0
ipi	71.4285714285714	28.5714285714286	0	35	14	0
ipo	90.6976744186046	9.30232558139535	0	117	12	0
ira	100	0	0	118	0	0
ire	100	0	0	1679	0	0
iri	100	0	0	28	0	0
iro	100	0	0	212	0	0
isa	100	0	0	85	0	0
ise	100	0	0	221	0	0
isi	77.8947368421053	22.1052631578947	0	74	21	0
iso	100	0	0	285	0	0
ita	79.2592592592593	20.7407407407407	0	856	224	0
ite	84.841628959276	15.158371040724	0	375	67	0
iti	67.378640776699	32.621359223301	0	347	168	0
ito	59.6989966555184	40.3010033444816	0	1071	723	0
iva	100	0	0	706	0	0
ive	100	0	0	193	0	0
ivi	99.3127147766323	0.687285223367698	0	289	2	0
ivo	100	0	0	394	0	0
izi	100	0	0	61	0	0
oba	100	0	0	30	0	0
obe	100	0	0	5	0	0
oca	69.5364238410596	30.4635761589404	0	105	46	0
oce	100	0	0	287	0	0
oci	44.7257383966245	55.2742616033755	0	106	131	0
oco	98.0053191489362	1.99468085106383	0	737	15	0
oda	95.4248366013072	4.57516339869281	0	146	7	0
ode	91.6666666666667	8.33333333333333	0	55	5	0
odi	71.9298245614035	28.0701754385965	0	82	32	0
odo	74.7619047619048	25.2380952380952	0	314	106	0
ofe	0	100	0	0	7	0
ofi	0	100	0	0	4	0
ofo	0	100	0	0	4	0
oga	83.3333333333333	16.6666666666667	0	5	1	0
ogi	76.4705882352941	23.5294117647059	0	13	4	0
ogo	85.0467289719626	14.9532710280374	0	91	16	0
ohi	100	0	0	33	0	0
ola	49.906425452277	50.093574547723	0	800	803	0
ole	64.5335389360062	35.4664610639938	0	837	460	0
oli	9.21820303383897	90.781796966161	0	79	778	0
olo	41.8571428571429	58.1428571428571	0	879	1221	0
oma	64.2857142857143	35.7142857142857	0	9	5	0
ome	99.9239832763208	0.0760167236792094	0	2629	2	0
omi	60.2941176470588	39.7058823529412	0	123	81	0
omo	96.9635627530364	3.03643724696356	0	479	15	0
ona	99.1666666666667	0.833333333333333	0	476	4	0
one	98.5425342058299	1.45746579417014	0	3313	49	0
oni	99.3557623478883	0.644237652111668	0	1388	9	0
ono	53.5545023696682	46.3908129784907	0.0546846518410499	2938	2545	3
opa	100	0	0	3	0	0
ope	100	0	0	2	0	0
opi	96.7213114754098	3.27868852459016	0	59	2	0
opo	99.2273730684327	0.772626931567329	0	899	7	0
ora	97.3850315599639	2.61496844003607	0	2160	58	0
ore	98.9174560216509	1.08254397834912	0	2193	24	0
ori	99.5059985885674	0.494001411432604	0	1410	7	0
oro	98.2689747003995	1.73102529960053	0	1476	26	0
osa	100	0	0	1833	0	0
ose	100	0	0	608	0	0
osi	54.8387096774194	45.1612903225806	0	238	196	0
oso	100	0	0	484	0	0
ota	100	0	0	137	0	0
ote	100	0	0	121	0	0
oti	81.25	18.75	0	104	24	0
oto	100	0	0	192	0	0
ova	100	0	0	421	0	0
ove	100	0	0	936	0	0
ovi	90.5109489051095	9.48905109489051	0	124	13	0
ovo	98.7603305785124	1.2396694214876	0	239	3	0
ozi	100	0	0	29	0	0
uba	100	0	0	15	0	0
ube	100	0	0	5	0	0
ubi	93.3333333333333	6.66666666666667	0	42	3	0
ubo	66.6666666666667	33.3333333333333	0	30	15	0
uca	100	0	0	27	0	0
uce	100	0	0	207	0	0
uci	100	0	0	32	0	0
uco	100	0	0	48	0	0
uda	100	0	0	11	0	0
ude	100	0	0	49	0	0
udi	100	0	0	80	0	0
udo	100	0	0	27	0	0
ufa	100	0	0	12	0	0
ufe	100	0	0	3	0	0
ufi	100	0	0	4	0	0
ufo	100	0	0	26	0	0
uga	83.0188679245283	16.9811320754717	0	44	9	0
ugi	100	0	0	2	0	0
ugo	100	0	0	4	0	0
ula	54	46	0	27	23	0
ule	46.5753424657534	53.4246575342466	0	34	39	0
uli	13.0434782608696	86.9565217391304	0	3	20	0
ulo	60	40	0	9	6	0
uma	100	0	0	32	0	0
ume	100	0	0	192	0	0
umi	100	0	0	90	0	0
umo	100	0	0	90	0	0
una	100	0	0	416	0	0
une	100	0	0	209	0	0
uni	100	0	0	236	0	0
uno	100	0	0	1428	0	0
upa	56.8181818181818	43.1818181818182	0	25	19	0
upi	69.2307692307692	30.7692307692308	0	18	8	0
upo	97.037037037037	2.96296296296296	0	131	4	0
ura	99.8972250770812	0.102774922918808	0	972	1	0
ure	100	0	0	550	0	0
uri	100	0	0	134	0	0
uro	98.0891719745223	1.91082802547771	0	308	6	0
usa	100	0	0	229	0	0
use	100	0	0	62	0	0
usi	100	0	0	80	0	0
uso	100	0	0	154	0	0
uta	99.6563573883162	0.343642611683849	0	290	1	0
ute	100	0	0	117	0	0
uti	100	0	0	299	0	0
uto	100	0	0	1222	0	0
uva	100	0	0	31	0	0
uvi	100	0	0	2	0	0
