ending	X_%PULT_Tk	B_%PULT_Tk	B_%APULT_Tk	C_%PULT_Tk	G_%PULT_Tk	G_%APULT_Tk	I_%PULT_Tk	I_%APULT_Tk	N_%PULT_Tk	P_%PULT_Tk	R_%PULT_Tk	S_%PULT_Tk	S_%APULT_Tk	V_%PULT_Tk	V_%APULT_Tk	V_%PAPULT_Tk	X_nPULT_Tk	B_nPULT_Tk	B_nAPULT_Tk	C_nPULT_Tk	G_nPULT_Tk	G_nAPULT_Tk	I_nPULT_Tk	I_nAPULT_Tk	N_nPULT_Tk	P_nPULT_Tk	R_nPULT_Tk	S_nPULT_Tk	S_nAPULT_Tk	V_nPULT_Tk	B_nAPULT_Tk.1	V_nPAPULT_Tk
aba	NA	NA	NA	NA	0	100	NA	NA	NA	NA	NA	75	25	NA	NA	NA	NA	NA	NA	NA	0	1	NA	NA	NA	NA	NA	12	4	NA	NA	NA
abe	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	85.7142857142857	14.2857142857143	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12	2	NA	NA	NA
abi	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	10	NA	NA	NA
abo	NA	NA	NA	NA	0	100	NA	NA	NA	NA	NA	0	100	NA	NA	NA	NA	NA	NA	NA	0	6	NA	NA	NA	NA	NA	0	3	NA	NA	NA
aca	NA	NA	NA	NA	100	0	NA	NA	NA	NA	NA	24	76	NA	NA	NA	NA	NA	NA	NA	2	0	NA	NA	NA	NA	NA	6	19	NA	NA	NA
ace	NA	NA	NA	NA	100	0	NA	NA	NA	NA	NA	100	0	100	0	0	NA	NA	NA	NA	61	0	NA	NA	NA	NA	NA	109	0	177	0	0
aci	NA	NA	NA	NA	100	0	NA	NA	NA	NA	NA	100	0	30.952380952381	66.6666666666667	2.38095238095238	NA	NA	NA	NA	35	0	NA	NA	NA	NA	NA	6	0	13	28	1
aco	NA	NA	NA	NA	100	0	NA	NA	NA	NA	NA	1.33333333333333	98.6666666666667	NA	NA	NA	NA	NA	NA	NA	6	0	NA	NA	NA	NA	NA	1	74	NA	NA	NA
ada	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	94.2176870748299	5.78231292517007	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	277	17	42	0	0
ade	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	82.5688073394495	17.4311926605505	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	90	19	49	0	0
adi	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	69.2307692307692	30.7692307692308	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	45	20	2	0	0
ado	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	68	0	113	0	0
afa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	0	0	5	0
afi	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	60	40	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	2	0	2	0
afo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	28.5714285714286	71.4285714285714	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	10	NA	NA	NA
aga	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17	0	12	0	0
age	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16	0	NA	NA	NA
agi	NA	NA	NA	NA	100	0	NA	NA	NA	NA	NA	100	0	NA	NA	NA	NA	NA	NA	NA	8	0	NA	NA	NA	NA	NA	2	0	NA	NA	NA
ago	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	96.8152866242038	3.18471337579618	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	152	5	4	0	0
ahi	NA	NA	NA	NA	NA	NA	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	54	0	NA	NA	NA	NA	NA	NA	NA	NA
ala	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	99.2424242424242	0.757575757575758	45.8333333333333	50	4.16666666666667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	131	1	22	24	2
ale	NA	100	0	NA	100	0	NA	NA	100	NA	NA	100	0	83.8383838383838	16.1616161616162	0	NA	138	0	NA	1116	0	NA	NA	381	NA	NA	798	0	83	16	0
ali	NA	100	0	NA	100	0	NA	NA	100	NA	NA	97.8134110787172	2.1865889212828	53.6585365853659	43.9024390243902	2.4390243902439	NA	1	0	NA	460	0	NA	NA	3	NA	NA	671	15	22	18	1
alo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	96	4	15.0943396226415	81.1320754716981	3.77358490566038	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	72	3	8	43	2
ama	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	51	0	162	0	0
ame	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	186	0	NA	NA	NA
ami	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	0	17.7570093457944	82.2429906542056	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	85	0	19	88	0
amo	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	89.3333333333333	10.6666666666667	99.8798076923077	0.120192307692308	0	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	67	8	2493	3	0
ana	NA	100	0	NA	99.3788819875776	0.62111801242236	NA	NA	NA	NA	NA	100	0	100	0	0	NA	1	0	NA	160	1	NA	NA	NA	NA	NA	345	0	7	0	0
