ending	G_%PULT_Tk	G_%APULT_Tk	I_%PULT_Tk	N_%PULT_Tk	S_%PULT_Tk	V_%PULT_Tk	G_nPULT_Tk	G_nAPULT_Tk	I_nPULT_Tk	N_nPULT_Tk	S_nPULT_Tk	V_nPULT_Tk
aia	100	0	NA	NA	100	100	5	0	NA	NA	135	17
aie	100	0	NA	NA	100	NA	1	0	NA	NA	7	NA
aio	100	0	NA	NA	100	100	5	0	NA	NA	240	1
aoo	NA	NA	100	NA	NA	NA	NA	NA	13	NA	NA	NA
iai	NA	NA	NA	NA	100	100	NA	NA	NA	NA	20	19
iao	NA	NA	100	NA	100	NA	NA	NA	138	NA	2	NA
iei	100	0	NA	NA	NA	NA	237	0	NA	NA	NA	NA
iii	NA	NA	100	NA	NA	NA	NA	NA	57	NA	NA	NA
oia	NA	NA	NA	NA	100	100	NA	NA	NA	NA	71	6
oie	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	11	NA
oio	100	0	NA	NA	100	100	1	0	NA	NA	38	3
ooo	NA	NA	100	NA	NA	NA	NA	NA	17	NA	NA	NA
uai	NA	NA	100	NA	100	100	NA	NA	11	NA	55	1
uao	NA	NA	100	NA	NA	NA	NA	NA	31	NA	NA	NA
uau	NA	NA	100	NA	NA	NA	NA	NA	16	NA	NA	NA
uea	0	100	NA	NA	NA	NA	0	3	NA	NA	NA	NA
uei	99.4505494505495	0.549450549450549	NA	NA	NA	NA	181	1	NA	NA	NA	NA
ueo	0	100	NA	NA	NA	NA	0	14	NA	NA	NA	NA
uia	100	0	NA	NA	NA	NA	7	0	NA	NA	NA	NA
uie	100	0	NA	NA	NA	NA	4	0	NA	NA	NA	NA
uii	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	3
uio	100	0	NA	NA	100	NA	13	0	NA	NA	47	NA
uoi	100	0	NA	100	100	100	501	0	NA	3	4	398
uuu	NA	NA	100	NA	NA	NA	NA	NA	18	NA	NA	NA
