ending	S2_%PULT_Ty	S3_%PULT_Ty	S3_%APULT_Ty	S4_%PULT_Ty	S4_%APULT_Ty	S4_%PAPULT_Ty	S5_%PULT_Ty	S5_%APULT_Ty	S6_%PULT_Ty	S6_%APULT_Ty	S7_%PULT_Ty	S7_%APULT_Ty	S8_%PULT_Ty	S2_nPULT_Ty	S3_nPULT_Ty	S3_nAPULT_Ty	S4_nPULT_Ty	S4_nAPULT_Ty	S4_nPAPULT_Ty	S5_nPULT_Ty	S5_nAPULT_Ty	S6_nPULT_Ty	S6_nAPULT_Ty	S7_nPULT_Ty	S7_nAPULT_Ty	S8_nPULT_Ty
bba	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
bbe	100	100	NA	100	NA	NA	100	NA	100	NA	NA	NA	NA	2	16	NA	31	NA	NA	16	NA	3	NA	NA	NA	NA
bbi	100	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
bbo	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ble	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
bra	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
bre	100	57.1428571428571	42.8571428571429	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	4	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
bri	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
bro	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cca	100	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	19	4	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
cce	100	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	12	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA
cci	100	100	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	11	13	NA	5	NA	NA	1	NA	NA	NA	NA	NA	NA
cco	100	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
che	100	43.5897435897436	56.4102564102564	11.4285714285714	88.5714285714286	NA	8.33333333333333	91.6666666666667	NA	100	NA	100	NA	28	17	22	4	31	NA	1	11	NA	3	NA	2	NA
chi	100	79.1666666666667	20.8333333333333	60	40	NA	NA	NA	NA	NA	NA	NA	NA	61	19	5	3	2	NA	NA	NA	NA	NA	NA	NA	NA
cli	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
clo	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cra	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cre	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cri	100	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cro	100	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
dda	100	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
dde	100	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ddi	100	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ddo	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
dra	100	NA	100	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	3	NA	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA
dre	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
dri	100	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
dro	100	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ffa	100	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ffe	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ffi	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ffo	100	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
fra	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
fre	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
fri	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
fro	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gga	100	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gge	100	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ggi	100	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	21	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA
ggo	100	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ghe	100	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	14	2	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
ghi	100	77.7777777777778	22.2222222222222	NA	100	NA	NA	100	NA	NA	NA	NA	NA	16	7	2	NA	1	NA	NA	1	NA	NA	NA	NA	NA
gla	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gle	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gli	100	72.2222222222222	27.7777777777778	52.2727272727273	45.4545454545455	2.27272727272727	NA	100	NA	100	NA	NA	NA	23	39	15	23	20	1	NA	8	NA	1	NA	NA	NA
gma	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gmi	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gna	100	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	16	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
gne	100	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gni	100	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	11	12	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
gno	100	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	11	13	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
gra	100	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gre	100	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gri	100	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gro	100	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lba	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lca	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lce	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lci	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lco	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lda	100	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lde	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
