ending	X_%PULT_Ty	B_%PULT_Ty	B_%APULT_Ty	C_%PULT_Ty	G_%PULT_Ty	G_%APULT_Ty	I_%PULT_Ty	I_%APULT_Ty	N_%PULT_Ty	P_%PULT_Ty	R_%PULT_Ty	S_%PULT_Ty	S_%APULT_Ty	V_%PULT_Ty	V_%APULT_Ty	V_%PAPULT_Ty	X_nPULT_Ty	B_nPULT_Ty	B_nAPULT_Ty	C_nPULT_Ty	G_nPULT_Ty	G_nAPULT_Ty	I_nPULT_Ty	I_nAPULT_Ty	N_nPULT_Ty	P_nPULT_Ty	R_nPULT_Ty	S_nPULT_Ty	S_nAPULT_Ty	V_nPULT_Ty	B_nAPULT_Ty.1	V_nPAPULT_Ty
ano	NA	100	NA	NA	95.45454545	4.545454545	NA	NA	NA	NA	NA	87.87878788	12.12121212	NA	93.2967033	6.703296703	NA	3	NA	NA	21	1	NA	NA	NA	NA	NA	29	4	NA	849	61	968
ato	100	NA	NA	NA	100	NA	100	NA	NA	NA	NA	95.45454545	4.545454545	100	NA	NA	1	NA	NA	NA	103	NA	1	NA	NA	NA	NA	42	2	569	NA	NA	718
are	100	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	89.47368421	10.52631579	99.54268293	0.457317073	NA	1	NA	NA	NA	25	NA	NA	NA	NA	NA	NA	17	2	653	3	NA	701
ono	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	75	25	0.380228137	99.42965779	0.190114068	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	9	3	2	523	1	539
ata	100	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	100	NA	100	NA	NA	3	NA	NA	NA	95	NA	NA	NA	NA	NA	NA	49	NA	359	NA	NA	506
ate	100	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	100	NA	100	NA	NA	3	NA	NA	NA	70	NA	NA	NA	NA	NA	NA	33	NA	340	NA	NA	446
ati	100	NA	NA	NA	100	NA	100	NA	NA	NA	NA	97.2972973	2.702702703	99.67213115	0.327868852	NA	4	NA	NA	NA	84	NA	1	NA	NA	NA	NA	36	1	304	1	NA	431
ava	100	NA	NA	NA	100	NA	100	NA	NA	NA	NA	100	NA	100	NA	NA	6	NA	NA	NA	3	NA	1	NA	NA	NA	NA	5	NA	399	NA	NA	414
amo	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	80	20	99.34210526	0.657894737	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	1	302	2	NA	312
one	NA	100	NA	NA	100	NA	NA	100	NA	NA	NA	99.25925926	0.740740741	24	76	NA	NA	1	NA	NA	14	NA	NA	1	NA	NA	NA	268	2	6	19	NA	311
ino	NA	100	NA	NA	100	NA	NA	NA	NA	100	NA	98.24561404	1.754385965	6.153846154	78.46153846	15.38461538	NA	6	NA	NA	20	NA	NA	NA	NA	2	NA	168	3	4	51	10	264
ere	NA	NA	NA	NA	66.66666667	33.33333333	NA	NA	NA	NA	NA	72.4137931	27.5862069	17.61658031	82.38341969	NA	NA	NA	NA	NA	8	4	NA	NA	NA	NA	NA	42	16	34	159	NA	263
ero	NA	100	NA	NA	66.66666667	33.33333333	NA	NA	NA	NA	NA	48.57142857	51.42857143	0.980392157	99.01960784	NA	NA	1	NA	NA	10	5	NA	NA	NA	NA	NA	17	18	2	202	NA	255
oni	100	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	98.5	1.5	90.90909091	9.090909091	NA	1	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	197	3	10	1	NA	216
osi	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	100	NA	3.787878788	96.21212121	NA	NA	NA	NA	NA	54	NA	NA	NA	NA	NA	NA	9	NA	5	127	NA	195
emo	100	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	100	NA	100	NA	NA	5	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	3	NA	159	NA	NA	169
ini	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	88.11188811	11.88811189	37.5	62.5	NA	NA	1	NA	NA	17	NA	NA	NA	NA	NA	NA	126	17	3	5	NA	169
ina	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	96.52173913	3.47826087	47.61904762	52.38095238	NA	NA	3	NA	NA	29	NA	NA	NA	NA	NA	NA	111	4	10	11	NA	168
ete	100	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	100	NA	100	NA	NA	7	NA	NA	NA	6	NA	NA	NA	NA	NA	NA	12	NA	138	NA	NA	163
eva	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	100	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	158	NA	NA	160
ale	NA	100	NA	NA	100	NA	NA	NA	100	NA	NA	100	NA	23.52941176	76.47058824	NA	NA	2	NA	NA	82	NA	NA	NA	2	NA	NA	54	NA	4	13	NA	157
ito	NA	NA	100	NA	84.21052632	15.78947368	NA	NA	NA	NA	NA	48.14814815	51.85185185	97.27272727	2.727272727	NA	NA	NA	1	NA	16	3	NA	NA	NA	NA	NA	13	14	107	3	NA	157
ali	NA	100	NA	NA	100	NA	NA	NA	100	NA	NA	95.91836735	4.081632653	15	80	5	NA	1	NA	NA	75	NA	NA	NA	1	NA	NA	47	2	3	16	1	146
olo	NA	100	NA	100	22.22222222	77.77777778	NA	100	NA	NA	NA	23.80952381	76.19047619	2.898550725	97.10144928	NA	NA	1	NA	1	2	7	NA	1	NA	NA	NA	15	48	2	67	NA	144
imo	NA	NA	100	NA	0.917431193	99.08256881	NA	NA	NA	NA	NA	7.692307692	92.30769231	10.52631579	89.47368421	NA	NA	NA	2	NA	1	108	NA	NA	NA	NA	NA	1	12	2	17	NA	143
ica	NA	NA	NA	NA	3.947368421	96.05263158	NA	NA	NA	NA	NA	16.12903226	83.87096774	12	88	NA	NA	NA	NA	NA	3	73	NA	NA	NA	NA	NA	5	26	3	22	NA	132
iti	NA	NA	NA	NA	78.94736842	21.05263158	NA	NA	NA	NA	NA	44	56	75.6097561	24.3902439	NA	NA	NA	NA	NA	15	4	NA	NA	NA	NA	NA	11	14	62	20	NA	126
ire	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	121	NA	NA	125
ico	NA	NA	NA	NA	3.703703704	96.2962963	NA	NA	NA	NA	NA	12.90322581	87.09677419	9.090909091	90.90909091	NA	NA	NA	NA	NA	3	78	NA	NA	NA	NA	NA	4	27	1	10	NA	123
ine	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	83.65384615	16.34615385	NA	100	NA	NA	2	NA	NA	11	NA	NA	NA	NA	NA	NA	87	17	NA	6	NA	123
ori	NA	100	NA	NA	93.33333333	6.666666667	100	NA	NA	100	NA	98.96907216	1.030927835	80	20	NA	NA	2	NA	NA	14	1	1	NA	NA	1	NA	96	1	4	1	NA	121
oli	NA	100	NA	NA	15.78947368	84.21052632	NA	100	NA	NA	NA	23.72881356	76.27118644	2.5	97.5	NA	NA	1	NA	NA	3	16	NA	1	NA	NA	NA	14	45	1	39	NA	120
ore	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	96.07843137	3.921568627	100	NA	NA	NA	NA	NA	NA	17	NA	NA	NA	NA	NA	NA	98	4	1	NA	NA	120
ola	NA	100	NA	NA	42.85714286	57.14285714	NA	100	NA	NA	NA	30.6122449	69.3877551	3.278688525	96.72131148	NA	NA	1	NA	NA	3	4	NA	1	NA	NA	NA	15	34	2	59	NA	119
ici	NA	NA	NA	NA	6.060606061	93.93939394	NA	NA	NA	NA	NA	37.77777778	62.22222222	20	80	NA	NA	NA	NA	NA	4	62	NA	NA	NA	NA	NA	17	28	1	4	NA	116
ita	NA	NA	NA	NA	77.77777778	22.22222222	NA	NA	NA	NA	NA	55.55555556	44.44444444	83.75	16.25	NA	NA	NA	NA	NA	14	4	NA	NA	NA	NA	NA	10	8	67	13	NA	116
iva	100	NA	NA	NA	100	NA	100	NA	NA	NA	NA	100	NA	100	NA	NA	1	NA	NA	NA	18	NA	2	NA	NA	NA	NA	9	NA	74	NA	NA	104
ite	NA	NA	NA	NA	80	20	NA	NA	NA	NA	NA	50	50	100	NA	NA	NA	NA	NA	NA	12	3	NA	NA	NA	NA	NA	9	9	64	NA	NA	97
ene	NA	100	NA	100	100	NA	100	NA	NA	NA	NA	100	NA	20.54794521	61.64383562	17.80821918	NA	1	NA	2	3	NA	1	NA	NA	NA	NA	11	NA	15	45	13	91
ole	NA	100	NA	NA	10.52631579	89.47368421	NA	100	NA	NA	NA	29.54545455	70.45454545	8	92	NA	NA	1	NA	NA	2	17	NA	1	NA	NA	NA	13	31	2	23	NA	90
uto	100	NA	NA	NA	100	NA	100	NA	NA	NA	NA	100	NA	100	NA	NA	1	NA	NA	NA	13	NA	1	NA	NA	NA	NA	18	NA	56	NA	NA	89
ima	NA	100	NA	100	1.388888889	98.61111111	NA	NA	NA	NA	NA	36.36363636	63.63636364	NA	100	NA	NA	2	NA	1	1	71	NA	NA	NA	NA	NA	4	7	NA	2	NA	88
elo	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	87.5	12.5	NA	80.51948052	19.48051948	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	7	1	NA	62	15	86
ari	NA	100	NA	100	97.22222222	2.777777778	100	NA	NA	NA	NA	92.68292683	7.317073171	100	NA	NA	NA	2	NA	1	35	1	1	NA	NA	NA	NA	38	3	4	NA	NA	85
eri	NA	100	NA	NA	64.70588235	35.29411765	NA	NA	NA	NA	NA	65.51724138	34.48275862	42.85714286	57.14285714	NA	NA	2	NA	NA	11	6	NA	NA	NA	NA	NA	38	20	3	4	NA	84
imi	NA	NA	NA	NA	1.754385965	98.24561404	NA	NA	NA	NA	NA	30	70	6.25	93.75	NA	NA	NA	NA	NA	1	56	NA	NA	NA	NA	NA	3	7	1	15	NA	83
ile	NA	NA	NA	NA	13.63636364	86.36363636	NA	NA	NA	NA	NA	51.72413793	48.27586207	NA	100	NA	NA	NA	NA	NA	6	38	NA	NA	NA	NA	NA	15	14	NA	7	NA	80
oso	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	NA	NA	68	NA	NA	NA	NA	NA	NA	8	NA	3	NA	NA	79
avo	100	NA	NA	NA	100	NA	100	NA	NA	NA	NA	100	NA	100	NA	NA	1	NA	NA	NA	4	NA	1	NA	NA	NA	NA	6	NA	66	NA	NA	78
era	NA	100	NA	NA	66.66666667	33.33333333	NA	100	NA	NA	NA	72.09302326	27.90697674	17.64705882	82.35294118	NA	NA	1	NA	NA	10	5	NA	1	NA	NA	NA	31	12	3	14	NA	77
osa	NA	NA	NA	NA	100	NA	NA	NA	100	NA	NA	100	NA	100	NA	NA	NA	NA	NA	NA	59	NA	NA	NA	2	NA	NA	6	NA	4	NA	NA	71
ili	NA	NA	NA	NA	15	85	NA	NA	NA	NA	NA	50	50	25	75	NA	NA	NA	NA	NA	6	34	NA	NA	NA	NA	NA	11	11	2	6	NA	70
evi	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	100	NA	31.25	68.75	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	3	NA	20	44	NA	69
ani	NA	100	NA	NA	95	5	NA	NA	NA	NA	NA	82.5	17.5	100	NA	NA	NA	3	NA	NA	19	1	NA	NA	NA	NA	NA	33	7	2	NA	NA	65
ela	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	83.33333333	16.66666667	3.389830508	76.27118644	20.33898305	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	1	2	45	12	65
oci	NA	NA	NA	NA	100	NA	NA	100	NA	NA	NA	80	20	3.50877193	96.49122807	NA	NA	NA	NA	NA	2	NA	NA	1	NA	NA	NA	4	1	2	55	NA	65
ura	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	100	NA	91.66666667	8.333333333	NA	NA	1	NA	NA	7	NA	NA	NA	NA	NA	NA	43	NA	11	1	NA	63
ose	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	NA	NA	44	NA	NA	NA	NA	NA	NA	5	NA	10	NA	NA	59
uta	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	100	NA	97.36842105	2.631578947	NA	NA	NA	NA	NA	15	NA	NA	NA	NA	NA	NA	6	NA	37	1	NA	59
uti	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	NA	NA	14	NA	NA	NA	NA	NA	NA	10	NA	32	NA	NA	56
ese	100	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	100	NA	100	NA	NA	1	NA	NA	NA	11	NA	NA	NA	NA	NA	NA	22	NA	21	NA	NA	55
ime	NA	100	NA	NA	2.43902439	97.56097561	NA	NA	NA	NA	NA	55.55555556	44.44444444	100	NA	NA	NA	1	NA	NA	1	40	NA	NA	NA	NA	NA	5	4	2	NA	NA	53
emi	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	100	NA	4.761904762	95.23809524	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	9	NA	2	40	NA	52
esi	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	81.25	18.75	69.56521739	30.43478261	NA	NA	NA	NA	NA	13	NA	NA	NA	NA	NA	NA	13	3	16	7	NA	52
ivo	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	NA	NA	19	NA	NA	NA	NA	NA	NA	12	NA	19	NA	NA	50
evo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	42	NA	NA	47
ute	100	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	100	NA	100	NA	NA	1	NA	NA	NA	12	NA	NA	NA	NA	NA	NA	5	NA	27	NA	NA	45
ane	NA	100	NA	NA	93.75	6.25	NA	NA	NA	NA	NA	92.85714286	7.142857143	10	90	NA	NA	2	NA	NA	15	1	NA	NA	NA	NA	NA	13	1	1	9	NA	42
alo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	80	20	8.823529412	88.23529412	2.941176471	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	1	3	30	1	39
ivi	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	100	NA	90	10	NA	NA	NA	NA	NA	17	NA	NA	NA	NA	NA	NA	12	NA	9	1	NA	39
ure	NA	100	NA	100	100	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	1	NA	3	5	NA	NA	NA	NA	NA	NA	30	NA	NA	NA	NA	39
ana	NA	100	NA	NA	94.44444444	5.555555556	NA	NA	NA	NA	NA	100	NA	100	NA	NA	NA	1	NA	NA	17	1	NA	NA	NA	NA	NA	16	NA	3	NA	NA	38
eli	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	87.5	12.5	3.571428571	85.71428571	10.71428571	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	7	1	1	24	3	38
idi	100	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	45.45454545	54.54545455	100	NA	NA	2	NA	NA	NA	NA	17	NA	NA	NA	NA	NA	5	6	8	NA	NA	38
ami	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	11.11111111	88.88888889	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	NA	3	24	NA	36
esa	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	NA	NA	9	NA	NA	NA	NA	NA	NA	13	NA	14	NA	NA	36
ice	100	NA	NA	NA	66.66666667	33.33333333	NA	NA	NA	NA	NA	66.66666667	33.33333333	100	NA	NA	2	NA	NA	NA	6	3	NA	NA	NA	NA	NA	16	8	1	NA	NA	36
ide	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	60	40	100	NA	NA	NA	NA	NA	NA	NA	20	NA	NA	NA	NA	NA	3	2	11	NA	NA	36
