ending	S2_%PULT_Ty	S3_%PULT_Ty	S3_%APULT_Ty	S4_%PULT_Ty	S4_%APULT_Ty	S4_%PAPULT_Ty	S5_%PULT_Ty	S5_%APULT_Ty	S5_%PAPULT_Ty	S6_%PULT_Ty	S6_%APULT_Ty	S6_%PAPULT_Ty	S7_%APULT_Ty	S8_%PULT_Ty	S2_nPULT_Ty	S3_nPULT_Ty	S3_nAPULT_Ty	S4_nPULT_Ty	S4_nAPULT_Ty	S4_nPAPULT_Ty	S5_nPULT_Ty	S5_nAPULT_Ty	S5_nPAPULT_Ty	S6_nPULT_Ty	S6_nAPULT_Ty	S6_nPAPULT_Ty	S7_nAPULT_Ty	S8_nPULT_Ty
aba	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
abe	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
abi	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
abo	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
aca	NA	66.6666666666667	33.3333333333333	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ace	100	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	4	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
aci	100	16.6666666666667	83.3333333333333	33.3333333333333	50	16.6666666666667	NA	NA	NA	NA	NA	NA	NA	NA	3	2	10	2	3	1	NA	NA	NA	NA	NA	NA	NA	NA
aco	100	33.3333333333333	66.6666666666667	50	50	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	2	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
ada	100	75	25	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	3	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ade	100	80	20	100	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	4	4	1	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA
