ending	G_%PULT_Ty	G_%APULT_Ty	I_%PULT_Ty	N_%PULT_Ty	S_%PULT_Ty	V_%PULT_Ty	G_nPULT_Ty	G_nAPULT_Ty	I_nPULT_Ty	N_nPULT_Ty	S_nPULT_Ty	V_nPULT_Ty
aia	100	NA	NA	NA	100	100	2	NA	NA	NA	12	3
aie	100	NA	NA	NA	100	NA	1	NA	NA	NA	4	NA
aio	100	NA	NA	NA	100	100	1	NA	NA	NA	25	1
aoo	NA	NA	100	NA	NA	NA	NA	NA	1	NA	NA	NA
iai	NA	NA	NA	NA	100	100	NA	NA	NA	NA	2	11
iao	NA	NA	100	NA	100	NA	NA	NA	2	NA	1	NA
iei	100	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
iii	NA	NA	100	NA	NA	NA	NA	NA	1	NA	NA	NA
oia	NA	NA	NA	NA	100	100	NA	NA	NA	NA	3	2
oie	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	2	NA
oio	100	NA	NA	NA	100	100	1	NA	NA	NA	5	1
ooo	NA	NA	100	NA	NA	NA	NA	NA	1	NA	NA	NA
uai	NA	NA	100	NA	100	100	NA	NA	1	NA	1	1
uao	NA	NA	100	NA	NA	NA	NA	NA	1	NA	NA	NA
uau	NA	NA	100	NA	NA	NA	NA	NA	1	NA	NA	NA
uea	NA	100	NA	NA	NA	NA	NA	1	NA	NA	NA	NA
uei	50	50	NA	NA	NA	NA	1	1	NA	NA	NA	NA
ueo	NA	100	NA	NA	NA	NA	NA	2	NA	NA	NA	NA
uia	100	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
uie	100	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
uii	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	2
uio	100	NA	NA	NA	100	NA	1	NA	NA	NA	1	NA
uoi	100	NA	NA	100	100	100	2	NA	NA	1	1	2
uuu	NA	NA	100	NA	NA	NA	NA	NA	1	NA	NA	NA
