word,model_position,model_label,confidence,phon_position,phon_label,agreement
ciao,0,ultima sillaba,0.5388816338487179,,non disponibile,
sono,0,ultima sillaba,0.3933904535201054,,non disponibile,
felice,1,penultima sillaba,0.4744965192324372,,non disponibile,
cane,1,penultima sillaba,0.48701608360679893,,non disponibile,
gatto,0,ultima sillaba,0.4938902184719261,,non disponibile,
perchè,0,ultima sillaba,0.6043405618301154,,non disponibile,
si,0,ultima sillaba,0.6939833241958996,,non disponibile,
ok,0,ultima sillaba,0.9317644084392144,,non disponibile,
va,0,ultima sillaba,0.7579730531829157,,non disponibile,
bene,1,penultima sillaba,0.5078719730672338,,non disponibile,
bottiglia,1,penultima sillaba,0.6473741809418505,,non disponibile,
musica,2,antepenultima sillaba,0.5353570765999551,,non disponibile,
accento,0,ultima sillaba,0.5871902670664388,,non disponibile,
