CV-structure	S2_%ULT_Tk	S2_%PULT_Tk	S2_nULT_Tk	S2_nPULT_Tk
CCCCV	0	100	0	1
CCCVCCCV	0	100	0	34
CCCVCCV	0	100	0	2536
CCCVCCVV	0	100	0	120
CCCVCV	0	100	0	2753
CCCVCVV	0	100	0	75
CCCVV	0	100	0	20
CCCVVCCCV	0	100	0	4
CCCVVCCV	0	100	0	69
CCCVVCCVV	0	100	0	5
CCCVVCV	0	100	0	318
CCCVVV	0	100	0	24
CCVCC	0	100	0	2
CCVCCCV	0	100	0	881
CCVCCCVCC	0	100	0	2
CCVCCCVV	0	100	0	157
CCVCCV	0	100	0	35952
CCVCCVCC	0	100	0	117
CCVCCVV	0	100	0	6171
CCVCV	0.006026032	99.99397397	3	49781
CCVCVV	0	100	0	6444
CCVV	0	100	0	550
CCVVCCCV	0	100	0	37
CCVVCCV	0	100	0	3206
CCVVCCVV	0	100	0	300
CCVVCV	0	100	0	6174
CCVVCVV	0	100	0	298
CCVVV	0	100	0	40
CCVVVV	0	100	0	19
CVCC	0	100	0	191
CVCCCV	0.004459707	99.99554029	1	22422
CVCCCVV	0	100	0	2469
CVCCCVVCV	100	0	25	0
CVCCV	0.006320337	99.99367966	17	268956
CVCCVCC	5.382436261	94.61756374	19	334
CVCCVCCV	100	0	5	0
CVCCVCV	100	0	10	0
CVCCVV	0.005619556	99.99438044	1	17794
CVCV	0.014223607	99.98577639	23	161680
CVCVCC	0	100	0	115
CVCVCCV	100	0	3	0
CVCVCV	100	0	38	0
CVCVCVV	100	0	2	0
CVCVV	0.923244026	99.07675597	51	5473
CVCVVCC	77.14285714	22.85714286	54	16
CVV	0	100	0	82059
CVVCC	0	100	0	8
CVVCCCV	0	100	0	4479
CVVCCV	0	100	0	51309
CVVCCVV	0	100	0	1426
CVVCV	0	100	0	36336
CVVCVCC	0	100	0	5
CVVCVCCV	100	0	1	0
CVVCVV	0	100	0	392
CVVV	0	100	0	5308
CVVVCCV	0	100	0	2
CVVVCV	0	100	0	71
CVVVV	0	100	0	397
CSCVV	0	100	0	5
CACVCCV	0	100	0	1
CAVCCCV	0	100	0	73
CAVCCCVV	0	100	0	2
CAVCCV	0	100	0	32
CAVCCVV	100	0	5	0
CAVCV	0	100	0	795
CAVCVV	0	100	0	12
VCC	0	100	0	1
VCCCV	0	100	0	27341
VCCCVV	0	100	0	441
VCCV	0	100	0	48063
VCCVCC	0	100	0	48
VCCVCCV	100	0	6	0
VCCVCV	100	0	1	0
VCCVV	0	100	0	3153
VCV	0	100	0	56956
VCVCC	0	100	0	95
VCVV	0	100	0	1415
VVCCCVV	0	100	0	59
VVCCV	0	100	0	32
VVCV	0	100	0	5605
VVCVV	0	100	0	19
VVV	0	100	0	15
SCCV	0	100	0	2
