CV-structure	S4_%ULT_Tk	S4_%PULT_Tk	S4_%APULT_Tk	S4_%PAPULT_Tk	S4_nULT_Tk	S4_nPULT_Tk	S4_nAPULT_Tk	S4_nPAPULT_Tk
CCCVCCCVCCVCV	0	0	100	0	0	0	1	0
CCCVCCCVCVCCV	0	100	0	0	0	1	0	0
CCCVCCCVVCVCCV	0	100	0	0	0	1	0	0
CCCVCCCVVCVCV	0	62.5	0	37.5	0	5	0	3
CCCVCCCVVCVV	0	100	0	0	0	7	0	0
CCCVCCVCCCVVCV	0	0	100	0	0	0	2	0
CCCVCCVCCV	0	100	0	0	0	1	0	0
CCCVCCVCCVCCV	0	66.66666667	33.33333333	0	0	2	1	0
CCCVCCVCCVCV	0	25	75	0	0	11	33	0
CCCVCCVCCVVCV	0	100	0	0	0	1	0	0
CCCVCCVCVCCCV	0	100	0	0	0	2	0	0
CCCVCCVCVCCCVV	0	100	0	0	0	3	0	0
CCCVCCVCVCCV	0	100	0	0	0	95	0	0
CCCVCCVCVCCVV	0	100	0	0	0	7	0	0
CCCVCCVCVCV	0	84.52380952	14.88095238	0.595238095	0	142	25	1
CCCVCCVCVCVV	0	100	0	0	0	1	0	0
CCCVCCVCVV	0	100	0	0	0	3	0	0
CCCVCCVCVVCV	0	100	0	0	0	1	0	0
CCCVCCVVCCVCV	0	0	100	0	0	0	4	0
CCCVCCVVCVCCV	0	100	0	0	0	1	0	0
CCCVCCVVCVCV	0	36.36363636	63.63636364	0	0	4	7	0
CCCVCVCCCVVCCV	0	100	0	0	0	2	0	0
CCCVCVCCCVVCV	0	75	0	25	0	3	0	1
CCCVCVCCVCCCV	0	0	100	0	0	0	1	0
CCCVCVCCVCCV	0	88.23529412	11.76470588	0	0	15	2	0
CCCVCVCCVCV	0	80.15873016	19.84126984	0	0	101	25	0
CCCVCVCCVVCV	0	92.85714286	7.142857143	0	0	13	1	0
CCCVCVCVCCCV	0	100	0	0	0	2	0	0
CCCVCVCVCCV	0	88.35616438	11.64383562	0	0	129	17	0
CCCVCVCVCCVV	0	100	0	0	0	4	0	0
CCCVCVCVCV	0	60.85409253	39.14590747	0	0	171	110	0
CCCVCVCVV	0	100	0	0	0	297	0	0
CCCVCVCVVCCV	0	100	0	0	0	17	0	0
CCCVCVCVVCV	0	66.66666667	33.33333333	0	0	2	1	0
CCCVCVCVVVCV	0	100	0	0	0	1	0	0
CCCVCVVCCVCCV	0	100	0	0	0	1	0	0
CCCVCVVCV	0	100	0	0	0	2	0	0
CCCVCVVCVCCV	0	100	0	0	0	8	0	0
CCCVCVVCVCV	0	87.5	12.5	0	0	28	4	0
CCCVCVVCVCVV	0	100	0	0	0	1	0	0
CCCVVCCVCCVCV	0	50	50	0	0	1	1	0
CCCVVCCVCCVVCCV	0	100	0	0	0	1	0	0
CCCVVCCVCCVVCV	0	100	0	0	0	4	0	0
CCCVVCCVCVCCV	0	100	0	0	0	5	0	0
CCCVVCCVCVCV	0	0	100	0	0	0	1	0
CCCVVCCVVCCVCV	0	0	100	0	0	0	3	0
CCCVVCCVVCVCCV	0	100	0	0	0	4	0	0
CCCVVCCVVCVCV	0	75	25	0	0	6	2	0
CCCVVCVCCCVCV	0	0	0	100	0	0	0	1
CCCVVCVCCVCCV	0	100	0	0	0	1	0	0
CCCVVCVCCVCV	0	50	50	0	0	2	2	0
CCCVVCVCV	0	100	0	0	0	12	0	0
CCCVVCVCVCCV	0	100	0	0	0	84	0	0
CCCVVCVCVCV	0	37.5	62.5	0	0	3	5	0
CCCVVVCVCV	0	0	100	0	0	0	2	0
CCVCCCVCCVCV	0	89.18918919	10.81081081	0	0	33	4	0
CCVCCCVCCVV	0	100	0	0	0	10	0	0
CCVCCCVCCVVCV	0	100	0	0	0	29	0	0
CCVCCCVCVCCV	0	81.81818182	18.18181818	0	0	18	4	0
CCVCCCVCVCV	0	61.42857143	38.57142857	0	0	43	27	0
CCVCCCVCVCVV	0	100	0	0	0	1	0	0
CCVCCCVCVV	0	100	0	0	0	1	0	0
CCVCCCVCVVCV	0	100	0	0	0	88	0	0
CCVCCCVVCVCCV	0	100	0	0	0	1	0	0
CCVCCCVVCVCV	0	33.33333333	66.66666667	0	0	1	2	0
CCVCCVCCCVCCV	0	100	0	0	0	2	0	0
CCVCCVCCCVCV	0	100	0	0	0	11	0	0
CCVCCVCCCVVCV	0	60	40	0	0	3	2	0
CCVCCVCCVCCCV	0	100	0	0	0	1	0	0
CCVCCVCCVCCV	0	93.27102804	6.728971963	0	0	499	36	0
CCVCCVCCVCV	0	72.56259989	24.98668087	2.450719233	0	1362	469	46
CCVCCVCCVCVV	0	100	0	0	0	15	0	0
CCVCCVCCVV	0	100	0	0	0	5	0	0
CCVCCVCCVVCCV	0	100	0	0	0	13	0	0
CCVCCVCCVVCV	0	98.14814815	1.851851852	0	0	530	10	0
CCVCCVCCVVV	0	100	0	0	0	3	0	0
CCVCCVCVCCCV	0	100	0	0	0	7	0	0
CCVCCVCVCCV	0	95.99456891	4.005431093	0	0	1414	59	0
CCVCCVCVCCVV	0	100	0	0	0	33	0	0
CCVCCVCVCV	0	64.19117647	35.29411765	0.514705882	0	2619	1440	21
CCVCCVCVCVV	0	100	0	0	0	80	0	0
