3lett	%ULT_Tk	%PULT_Tk	%APULT_Tk	%PAPULT_Tk	nULT_Tk	nPULT_Tk	nAPULT_Tk	nPAPULT_Tk
a's	0	0	100	0	0	0	1	0
aba	14.28571429	74.28571429	11.42857143	0	5	26	4	0
abb	3.235172128	91.20696806	5.516383243	0.041476566	78	2199	133	1
abd	52.94117647	29.41176471	17.64705882	0	9	5	3	0
abe	11.5942029	88.4057971	0	0	8	61	0	0
abi	4.951560818	53.49838536	38.80516685	2.744886975	92	994	721	51
abl	0	100	0	0	0	4	0	0
abn	0	100	0	0	0	15	0	0
abo	0.793650794	92.06349206	7.142857143	0	2	232	18	0
abr	7.594936709	91.13924051	1.265822785	0	6	72	1	0
abs	0	42.85714286	57.14285714	0	0	3	4	0
abu	0	98.93048128	1.069518717	0	0	185	2	0
aca	0	94.44444444	5.555555556	0	0	17	1	0
acc	1.979585524	90.05052067	7.650273224	0.319620579	192	8734	742	31
ace	0	76.82926829	23.17073171	0	0	63	19	0
ach	0.99009901	99.00990099	0	0	1	100	0	0
aci	6.299212598	29.92125984	63.77952756	0	8	38	81	0
acl	0	100	0	0	0	1	0	0
acm	0	100	0	0	0	3	0	0
acn	0	100	0	0	0	5	0	0
aco	27.27272727	63.63636364	9.090909091	0	3	7	1	0
acq	0.910746812	96.12932605	2.95992714	0	20	2111	65	0
acr	0	42.66666667	57.33333333	0	0	32	43	0
act	0	100	0	0	0	2	0	0
acu	0	74.02597403	25.97402597	0	0	114	40	0
ada	1.808318264	92.22423146	5.967450271	0	10	510	33	0
add	1.004016064	96.18473896	2.744310576	0.066934404	15	1437	41	1
ade	0.205444273	97.79147406	2.003081664	0	4	1904	39	0
adi	2.150537634	64.51612903	33.33333333	0	2	60	31	0
ado	1.84729064	90.51724138	7.019704433	0.615763547	15	735	57	5
adr	0	67.30769231	32.69230769	0	0	105	51	0
adu	0	92.30769231	7.692307692	0	0	204	17	0
aer	0.401606426	35.34136546	64.25702811	0	2	176	320	0
afa	0	96.15384615	3.846153846	0	0	25	1	0
aff	4.915543746	89.06813437	6.016321883	0	259	4693	317	0
afg	0	0	100	0	0	0	7	0
afo	0	83.33333333	16.66666667	0	0	15	3	0
afr	2.493074792	42.10526316	55.40166205	0	9	152	200	0
aft	0	100	0	0	0	14	0	0
aga	5.633802817	66.1971831	28.16901408	0	4	47	20	0
age	0.403225806	95.43010753	4.166666667	0	3	710	31	0
agg	3.649635036	85.23925385	11.07055961	0.0405515	90	2102	273	1
agh	0	100	0	0	0	13	0	0
agi	5.342237062	75.29215359	17.19532554	2.170283806	32	451	103	13
agl	0	100	0	0	0	53	0	0
agm	100	0	0	0	1	0	0	0
agn	2.013422819	93.95973154	4.026845638	0	3	140	6	0
ago	0.568990043	93.74110953	5.689900427	0	4	659	40	0
agr	0	64.30678466	35.69321534	0	0	218	121	0
agu	6.153846154	93.84615385	0	0	4	61	0	0
ahi	90	10	0	0	27	3	0	0
aho	50	50	0	0	2	2	0	0
aia	0	100	0	0	0	18	0	0
aid	60	40	0	0	21	14	0	0
aie	0	100	0	0	0	5	0	0
aik	0	0	100	0	0	0	1	0
aim	33.33333333	66.66666667	0	0	2	4	0	0
air	52.38095238	47.61904762	0	0	22	20	0	0
ais	0	100	0	0	0	1	0	0
ait	0	100	0	0	0	11	0	0
aiu	2.833333333	92.25	4.916666667	0	34	1107	59	0
aiz	0	66.66666667	33.33333333	0	0	2	1	0
aja	0	100	0	0	0	12	0	0
aje	0	100	0	0	0	2	0	0
aka	0	100	0	0	0	2	0	0
aki	0	100	0	0	0	2	0	0
akk	0	0	100	0	0	0	2	0
akr	0	0	100	0	0	0	2	0
akt	0	100	0	0	0	1	0	0
ala	16.05633803	78.02816901	5.915492958	0	57	277	21	0
