3lett	%ULT_Ty	%PULT_Ty	%APULT_Ty	%PAPULT_Ty	nULT_Ty	nPULT_Ty	nAPULT_Ty	nPAPULT_Ty
a's	NA	NA	100	NA	NA	NA	1	NA
aba	30	60	10	NA	3	6	1	NA
abb	5.300353357	78.09187279	16.25441696	0.35335689	15	221	46	1
abd	33.33333333	33.33333333	33.33333333	NA	2	2	2	NA
abe	16.66666667	83.33333333	NA	NA	2	10	NA	NA
abi	6.315789474	72.63157895	17.89473684	3.157894737	6	69	17	3
abl	NA	100	NA	NA	NA	2	NA	NA
abn	NA	100	NA	NA	NA	3	NA	NA
abo	2.564102564	71.79487179	25.64102564	NA	1	28	10	NA
abr	9.090909091	86.36363636	4.545454545	NA	2	19	1	NA
abs	NA	60	40	NA	NA	3	2	NA
abu	NA	94.11764706	5.882352941	NA	NA	16	1	NA
aca	NA	87.5	12.5	NA	NA	7	1	NA
acc	5.594405594	74.24242424	19.11421911	1.048951049	48	637	164	9
ace	NA	76.47058824	23.52941176	NA	NA	13	4	NA
ach	14.28571429	85.71428571	NA	NA	1	6	NA	NA
aci	9.523809524	42.85714286	47.61904762	NA	2	9	10	NA
acl	NA	100	NA	NA	NA	1	NA	NA
acm	NA	100	NA	NA	NA	1	NA	NA
acn	NA	100	NA	NA	NA	1	NA	NA
aco	33.33333333	66.66666667	NA	NA	1	2	NA	NA
acq	5.714285714	76.19047619	18.0952381	NA	6	80	19	NA
acr	NA	39.13043478	60.86956522	NA	NA	9	14	NA
act	NA	100	NA	NA	NA	2	NA	NA
acu	NA	72	28	NA	NA	18	7	NA
ada	5.714285714	72.85714286	21.42857143	NA	4	51	15	NA
add	2.614379085	81.04575163	15.68627451	0.653594771	4	124	24	1
ade	5.128205128	82.05128205	12.82051282	NA	4	64	10	NA
adi	8.695652174	73.91304348	17.39130435	NA	2	17	4	NA
ado	7.291666667	73.95833333	17.70833333	1.041666667	7	71	17	1
adr	NA	66.66666667	33.33333333	NA	NA	8	4	NA
adu	NA	81.25	18.75	NA	NA	26	6	NA
aer	2.631578947	52.63157895	44.73684211	NA	1	20	17	NA
afa	NA	66.66666667	33.33333333	NA	NA	2	1	NA
aff	6.693711968	73.42799189	19.87829615	NA	33	362	98	NA
afg	NA	NA	100	NA	NA	NA	2	NA
afo	NA	62.5	37.5	NA	NA	5	3	NA
afr	5.555555556	55.55555556	38.88888889	NA	1	10	7	NA
aft	NA	100	NA	NA	NA	2	NA	NA
aga	15.38461538	38.46153846	46.15384615	NA	2	5	6	NA
age	7.142857143	75	17.85714286	NA	2	21	5	NA
agg	5.2	75.2	19.2	0.4	13	188	48	1
agh	NA	100	NA	NA	NA	3	NA	NA
agi	7.547169811	67.9245283	22.64150943	1.886792453	4	36	12	1
agl	NA	100	NA	NA	NA	4	NA	NA
agm	100	NA	NA	NA	1	NA	NA	NA
agn	14.28571429	71.42857143	14.28571429	NA	2	10	2	NA
ago	9.090909091	75.75757576	15.15151515	NA	3	25	5	NA
agr	NA	77.5	22.5	NA	NA	31	9	NA
agu	18.18181818	81.81818182	NA	NA	2	9	NA	NA
ahi	25	75	NA	NA	1	3	NA	NA
aho	50	50	NA	NA	1	1	NA	NA
aia	NA	100	NA	NA	NA	3	NA	NA
aid	33.33333333	66.66666667	NA	NA	1	2	NA	NA
aie	NA	100	NA	NA	NA	2	NA	NA
aik	NA	NA	100	NA	NA	NA	1	NA
aim	33.33333333	66.66666667	NA	NA	1	2	NA	NA
air	16.66666667	83.33333333	NA	NA	1	5	NA	NA
ais	NA	100	NA	NA	NA	1	NA	NA
ait	NA	100	NA	NA	NA	1	NA	NA
aiu	6.382978723	59.57446809	34.04255319	NA	3	28	16	NA
aiz	NA	66.66666667	33.33333333	NA	NA	2	1	NA
aja	NA	100	NA	NA	NA	1	NA	NA
aje	NA	100	NA	NA	NA	1	NA	NA
aka	NA	100	NA	NA	NA	2	NA	NA
aki	NA	100	NA	NA	NA	1	NA	NA
akk	NA	NA	100	NA	NA	NA	2	NA
akr	NA	NA	100	NA	NA	NA	1	NA
akt	NA	100	NA	NA	NA	1	NA	NA
ala	13.88888889	77.77777778	8.333333333	NA	5	28	3	NA
alb	6.024096386	77.10843373	16.86746988	NA	5	64	14	NA
alc	8.695652174	63.04347826	28.26086957	NA	4	29	13	NA
ald	35.71428571	57.14285714	7.142857143	NA	5	8	1	NA
ale	9.433962264	84.90566038	5.660377358	NA	5	45	3	NA
alf	NA	84.61538462	15.38461538	NA	NA	22	4	NA
alg	9.523809524	57.14285714	33.33333333	NA	2	12	7	NA
alh	NA	100	NA	NA	NA	1	NA	NA
ali	2.739726027	76.71232877	20.54794521	NA	2	56	15	NA
all	4.511278195	78.19548872	16.79197995	0.501253133	18	312	67	2
alm	NA	85.71428571	14.28571429	NA	NA	12	2	NA
alo	NA	46.15384615	53.84615385	NA	NA	6	7	NA
alp	NA	84.21052632	15.78947368	NA	NA	16	3	NA
alq	NA	100	NA	NA	NA	2	NA	NA
als	NA	66.66666667	33.33333333	NA	NA	2	1	NA
alt	7.518796992	83.45864662	8.270676692	0.751879699	10	111	11	1
alu	NA	100	NA	NA	NA	3	NA	NA
alv	20	60	20	NA	2	6	2	NA
alz	6.976744186	69.76744186	23.25581395	NA	3	30	10	NA
ama	8.695652174	72.17391304	18.26086957	0.869565217	10	83	21	1
amb	3.488372093	88.37209302	8.139534884	NA	3	76	7	NA
ame	6.25	71.875	21.875	NA	2	23	7	NA
amf	NA	100	NA	NA	NA	1	NA	NA
ami	6.060606061	60.60606061	33.33333333	NA	2	20	11	NA
aml	NA	33.33333333	66.66666667	NA	NA	1	2	NA
amm	4.545454545	77.97202797	17.48251748	NA	13	223	50	NA
amn	NA	62.5	37.5	NA	NA	5	3	NA
amo	3.125	87.5	9.375	NA	1	28	3	NA
amp	2.173913043	78.26086957	17.39130435	2.173913043	1	36	8	1
amr	NA	NA	100	NA	NA	NA	1	NA
ams	NA	NA	100	NA	NA	NA	1	NA
amu	NA	100	NA	NA	NA	3	NA	NA
ana	0.952380952	54.28571429	44.76190476	NA	1	57	47	NA
anb	100	NA	NA	NA	1	NA	NA	NA
anc	8.571428571	77.14285714	11.42857143	2.857142857	3	27	4	1
and	5.426356589	71.31782946	20.15503876	3.100775194	7	92	26	4
ane	NA	54.83870968	45.16129032	NA	NA	17	14	NA
anf	NA	80	20	NA	NA	12	3	NA
ang	3.157894737	75.78947368	21.05263158	NA	3	72	20	NA
ani	6.12244898	77.55102041	14.28571429	2.040816327	3	38	7	1
anj	NA	100	NA	NA	NA	2	NA	NA
ank	NA	100	NA	NA	NA	1	NA	NA
ann	6.172839506	79.83539095	13.16872428	0.823045267	15	194	32	2
ano	8.695652174	34.7826087	56.52173913	NA	2	8	13	NA
ans	3.03030303	78.78787879	18.18181818	NA	1	26	6	NA
ant	3.571428571	70.08928571	26.11607143	0.223214286	16	314	117	1
anu	NA	100	NA	NA	NA	1	NA	NA
anv	NA	100	NA	NA	NA	1	NA	NA
any	NA	100	NA	NA	NA	1	NA	NA
anz	20	80	NA	NA	3	12	NA	NA
aor	NA	50	50	NA	NA	1	1	NA
aos	NA	100	NA	NA	NA	1	NA	NA
apa	NA	50	50	NA	NA	1	1	NA
