seq	S2_%ULT_Tk	S2_%PULT_Tk	S3_%ULT_Tk	S3_%PULT_Tk	S3_%APULT_Tk	S4_%ULT_Tk	S4_%PULT_Tk	S4_%APULT_Tk	S5_%ULT_Tk	S5_%PULT_Tk	S5_%APULT_Tk	S5_%PAPULT_Tk	S2_nULT_Tk	S2_nPULT_Tk	S3_nULT_Tk	S3_nPULT_Tk	S3_nAPULT_Tk	S4_nULT_Tk	S4_nPULT_Tk	S4_nAPULT_Tk	S5_nAPULT_Tk	S5_nPAPULT_Tk
a's	NA	NA	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	0	NA	NA	NA	NA	NA
act	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	23	NA	NA	NA	NA	NA	NA	NA	NA
ady	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	2	NA	NA	NA	NA	NA	NA	NA	NA
aff	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	4	NA	NA	NA	NA	NA	NA	NA	NA
ald	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	21	0	NA	NA	NA	NA	NA
aly	NA	NA	0	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1	NA	NA	NA	NA	NA
and	NA	NA	0	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	26	NA	NA	NA	NA	NA
ang	NA	NA	5.26315789473684	0	94.7368421052632	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	18	NA	NA	NA	NA	NA
ant	0	100	NA	NA	NA	0	100	0	NA	NA	NA	NA	0	7	NA	NA	NA	0	2	0	NA	NA
any	0	100	0	0	100	NA	NA	NA	NA	NA	NA	NA	0	1	0	0	14	NA	NA	NA	NA	NA
ard	0	100	0	0	100	NA	NA	NA	NA	NA	NA	NA	0	176	0	0	3	NA	NA	NA	NA	NA
art	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	42	NA	NA	NA	NA	NA	NA	NA	NA
ary	0	100	0	0	100	0	0	100	0	0	100	0	0	33	0	0	7	0	0	1	1	0
ash	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	3	0	NA	NA	NA	NA	NA
ats	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	2	NA	NA	NA	NA	NA	NA	NA	NA
att	NA	NA	0	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	2	NA	NA	NA	NA	NA
ech	NA	NA	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	0	0	NA	NA	NA	NA	NA
edy	NA	NA	0	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	69	NA	NA	NA	NA	NA
eng	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	0	NA	NA	NA	NA	NA	NA	NA	NA
ens	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	26	NA	NA	NA	NA	NA	NA	NA	NA
ent	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	19	NA	NA	NA	NA	NA	NA	NA	NA
enz	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	3	NA	NA	NA	NA	NA	NA	NA	NA
ers	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	3	NA	NA	NA	NA	NA	NA	NA	NA
ert	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	2	NA	NA	NA	NA	NA	NA	NA	NA
ery	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	2	NA	NA	NA	NA	NA	NA	NA	NA
esh	NA	NA	0	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	16	NA	NA	NA	NA	NA
ess	0	100	100	0	0	NA	NA	NA	NA	NA	NA	NA	0	20	10	0	0	NA	NA	NA	NA	NA
est	3.57142857142857	96.4285714285714	0	5.58375634517767	94.4162436548223	100	0	0	NA	NA	NA	NA	3	81	0	11	186	1	0	0	NA	NA
iby	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	4	NA	NA	NA	NA	NA	NA	NA	NA
ick	0	100	0	0	100	NA	NA	NA	NA	NA	NA	NA	0	87	0	0	2	NA	NA	NA	NA	NA
ics	0	100	NA	NA	NA	0	100	0	NA	NA	NA	NA	0	2	NA	NA	NA	0	4	0	NA	NA
idy	NA	NA	0	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	2	NA	NA	NA	NA	NA
igy	NA	NA	0	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1	NA	NA	NA	NA	NA
ill	NA	NA	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	0	0	NA	NA	NA	NA	NA
ilm	NA	NA	29.1666666666667	70.8333333333333	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	17	0	NA	NA	NA	NA	NA
ing	0	100	0	100	0	0	100	0	NA	NA	NA	NA	0	103	0	1	0	0	2	0	NA	NA
ins	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	2	NA	NA	NA	NA	NA	NA	NA	NA
iny	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	0	NA	NA	NA	NA	NA
isc	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	2	0	NA	NA	NA	NA	NA
ish	0	100	NA	NA	NA	0	100	0	NA	NA	NA	NA	0	15	NA	NA	NA	0	1	0	NA	NA
ith	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	18	NA	NA	NA	NA	NA	NA	NA	NA
ity	NA	NA	NA	NA	NA	0	25	75	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	3	NA	NA
oby	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	4	NA	NA	NA	NA	NA	NA	NA	NA
ock	NA	NA	100	0	0	100	0	0	NA	NA	NA	NA	NA	NA	2	0	0	6	0	0	NA	NA
oft	NA	NA	NA	NA	NA	0	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	18	NA	NA
olf	NA	NA	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	0	NA	NA	NA	NA	NA
oms	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	NA	NA	NA	NA	NA	NA	NA	NA
omy	NA	NA	NA	NA	NA	0	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	2	NA	NA
ont	NA	NA	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	0	0	NA	NA	NA	NA	NA
ony	0	100	0	0	100	NA	NA	NA	NA	NA	NA	NA	0	29	0	0	21	NA	NA	NA	NA	NA
oph	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	NA	NA	NA	NA	NA	NA	NA	NA
ord	0	100	100	0	0	NA	NA	NA	NA	NA	NA	NA	0	31	5	0	0	NA	NA	NA	NA	NA
org	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	NA	NA	NA	NA	NA	NA	NA	NA
ort	0	100	100	0	0	NA	NA	NA	NA	NA	NA	NA	0	31	20	0	0	NA	NA	NA	NA	NA
ory	NA	NA	NA	NA	NA	0	0	100	0	0	100	0	NA	NA	NA	NA	NA	0	0	1	2	0
osc	NA	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	8	0	NA	NA
osh	NA	NA	0	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	5	NA	NA	NA	NA	NA
oss	NA	NA	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	0	0	NA	NA	NA	NA	NA
osy	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	14	NA	NA	NA	NA	NA	NA	NA	NA
ucy	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	100	NA	NA	NA	NA	NA	NA	NA	NA
ult	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	54	0	NA	NA	NA	NA	NA	NA	NA	NA
urt	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	36	NA	NA	NA	NA	NA	NA	NA	NA
ust	NA	NA	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	16	0	0	NA	NA	NA	NA	NA
usy	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	7	NA	NA	NA	NA	NA	NA	NA	NA
uty	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	2	NA	NA	NA	NA	NA	NA	NA	NA
utz	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13	0	NA	NA	NA	NA	NA	NA	NA	NA
