ending	B_%PULT_Tk	B_%APULT_Tk	C_%PULT_Tk	C_%APULT_Tk	E_%ULT_Tk	E_%PULT_Tk	E_%APULT_Tk	G_%ULT_Tk	G_%PULT_Tk	G_%APULT_Tk	I_%PULT_Tk	I_%APULT_Tk	N_%PULT_Tk	N_%APULT_Tk	NU_%PULT_Tk	NU_%APULT_Tk	P_%PULT_Tk	P_%APULT_Tk	R_%PULT_Tk	S_%ULT_Tk	S_%PULT_Tk	S_%APULT_Tk	S_%PAPULT_Tk	V_%ULT_Tk	V_%PULT_Tk	V_%APULT_Tk	V_%PAPULT_Tk	X_%PULT_Tk	X_%APULT_Tk	B_nPULT_Tk	B_nAPULT_Tk	C_nPULT_Tk	C_nAPULT_Tk	E_nULT_Tk	E_nPULT_Tk	E_nAPULT_Tk	G_nULT_Tk	G_nPULT_Tk	G_nAPULT_Tk	I_nPULT_Tk	I_nAPULT_Tk	N_nPULT_Tk	N_nAPULT_Tk	NU_nPULT_Tk	NU_nAPULT_Tk	P_nPULT_Tk	P_nAPULT_Tk	R_nPULT_Tk	S_nULT_Tk	S_nPULT_Tk	S_nAPULT_Tk	S_nPAPULT_Tk	V_nULT_Tk	V_nPULT_Tk	V_nAPULT_Tk	V_nPAPULT_Tk	X_nPULT_Tk	X_nAPULT_Tk
aba	NA	NA	NA	NA	0	75	25	0	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	85	15	0	0	0	100	0	NA	NA	NA	NA	NA	NA	0	15	5	0	0	34	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	34	6	0	0	0	1	0	NA	NA
abe	NA	NA	NA	NA	0	100	0	0	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	82.7586206896552	17.2413793103448	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	9	0	0	0	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	24	5	0	NA	NA	NA	NA	NA	NA
abi	NA	NA	NA	NA	0	100	0	0	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1.66666666666667	98.3333333333333	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	3	0	0	0	35	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	59	0	NA	NA	NA	NA	NA	NA
abo	NA	NA	NA	NA	0	0	100	0	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	20.6896551724138	79.3103448275862	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1	0	0	22	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	6	23	0	NA	NA	NA	NA	NA	NA
aca	NA	NA	NA	NA	0	60	40	0	16.6666666666667	83.3333333333333	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	11.6161616161616	88.3838383838384	0	0	100	0	0	100	0	NA	NA	NA	NA	0	9	6	0	12	60	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	23	175	0	0	6	0	0	2	0
ace	NA	NA	NA	NA	0	94.6428571428571	5.35714285714286	0	99.8266897746967	0.173310225303293	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	100	0	0	0	100	0	0	NA	NA	NA	NA	NA	NA	0	106	6	0	576	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	529	0	0	0	511	0	0	NA	NA
aci	NA	NA	NA	NA	0	97.4683544303797	2.53164556962025	0	87.7076411960133	12.2923588039867	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	35.1851851851852	64.8148148148148	0	0	25.8064516129032	74.1935483870968	0	NA	NA	NA	NA	NA	NA	0	77	2	0	264	37	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	133	245	0	0	8	23	0	NA	NA
aco	NA	NA	NA	NA	0	6.9364161849711	93.0635838150289	0	37.719298245614	62.280701754386	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1.65198237885463	98.3480176211454	0	0	50	50	0	NA	NA	NA	NA	NA	NA	0	12	161	0	43	71	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	15	893	0	0	1	1	0	NA	NA
ada	100	0	NA	NA	0	67.741935483871	32.258064516129	0	80	20	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	95.9438377535101	4.05616224648986	0	0	100	0	0	100	0	2	0	NA	NA	0	147	70	0	4	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1230	52	0	0	205	0	0	5	0
ade	NA	NA	NA	NA	0	25.8064516129032	74.1935483870968	0	25	75	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.396825396825397	83.1349206349206	16.468253968254	0	0	100	0	0	NA	NA	NA	NA	NA	NA	0	8	23	0	2	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	419	83	0	0	303	0	0	NA	NA
adi	NA	NA	NA	NA	0	38.8888888888889	61.1111111111111	0	43.75	56.25	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	71.2837837837838	28.7162162162162	0	0	100	0	0	NA	NA	NA	NA	NA	NA	0	7	11	0	7	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	211	85	0	0	12	0	0	NA	NA
ado	NA	NA	100	0	0	100	0	0	98.4848484848485	1.51515151515152	NA	NA	NA	NA	NA	NA	100	0	NA	0	99.647266313933	0.352733686067019	0	0	100	0	0	NA	NA	NA	NA	21	0	0	200	0	0	65	1	NA	NA	NA	NA	NA	NA	99	0	NA	0	1130	4	0	0	168	0	0	NA	NA
adu	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
afa	NA	NA	NA	NA	40	60	0	0	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	46.3414634146341	53.6585365853659	0	0	0	100	0	NA	NA	NA	NA	NA	NA	2	3	0	0	0	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	19	22	0	0	0	12	0	NA	NA
afe	NA	NA	NA	NA	0	100	0	0	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	71	0	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	37	0	NA	NA	NA	NA	NA	NA
afi	NA	NA	NA	NA	0	100	0	0	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	12.3711340206186	87.6288659793814	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	22	0	0	0	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	12	85	0	NA	NA	NA	NA	NA	NA
afo	NA	NA	NA	NA	NA	NA	NA	0	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	10.0529100529101	89.9470899470899	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	19	170	0	NA	NA	NA	NA	NA	NA
aga	NA	NA	NA	NA	0	90.5660377358491	9.43396226415094	0	95.2380952380952	4.76190476190476	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	100	0	0	0	98.7261146496815	1.27388535031847	0	100	0	NA	NA	NA	NA	0	48	5	0	20	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	77	0	0	0	155	2	0	10	0
age	NA	NA	NA	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.65289256198347	98.3471074380165	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	119	0	0	NA	NA	NA	NA	NA	NA
agi	NA	NA	NA	NA	0	100	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	87.8787878787879	12.1212121212121	0	NA	NA	NA	NA	100	0	NA	NA	NA	NA	0	28	0	0	14	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	116	16	0	NA	NA	NA	NA	2	0
ago	NA	NA	NA	NA	0	100	0	0	89.1304347826087	10.8695652173913	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	91.1547911547912	8.84520884520884	0	0	100	0	0	NA	NA	NA	NA	NA	NA	0	122	0	0	41	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	371	36	0	0	13	0	0	NA	NA
aha	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	11	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	2	0	0	NA	NA	NA	NA	NA	NA
aho	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	6	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
aja	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	18	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	2	0	0	NA	NA	NA	NA	NA	NA
aje	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	100	0	0	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	0	0	0	1	0	0	NA	NA
ajo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	0	0	NA	NA	NA	NA	NA	NA
aka	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	8	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ake	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	4	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
aki	NA	NA	NA	NA	0	100	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	2	0	0	2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	3	0	0	NA	NA	NA	NA	NA	NA
ako	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ala	NA	NA	NA	NA	0	100	0	0	43.9024390243902	56.0975609756098	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	99.3779160186625	0.622083981337481	0	0	88.4615384615385	11.5384615384615	0	100	0	NA	NA	NA	NA	0	187	0	0	18	23	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	639	4	0	0	115	15	0	2	0
ale	100	0	NA	NA	0	97.5	2.5	0	99.9456718580225	0.0543281419775444	NA	NA	100	0	NA	NA	NA	NA	NA	0	99.8821102269378	0.117889773062187	0	0	98.6062717770035	1.39372822299652	0	NA	NA	406	0	NA	NA	0	507	13	0	16557	9	NA	NA	3317	0	NA	NA	NA	NA	NA	0	6778	8	0	0	566	8	0	NA	NA
