ending	S2_%PULT_Tk	S3_%PULT_Tk	S3_%APULT_Tk	S4_%PULT_Tk	S4_%APULT_Tk	S5_%PULT_Tk	S6_%PULT_Tk	S2_nPULT_Tk	S3_nPULT_Tk	S3_nAPULT_Tk	S4_nPULT_Tk	S4_nAPULT_Tk	S5_nPULT_Tk	S6_nPULT_Tk
aai	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	1	NA
aea	NA	NA	NA	100	0	NA	NA	NA	NA	NA	2	0	NA	NA
aia	100	100	0	100	0	100	NA	76	386	0	278	0	2	NA
aie	100	100	0	100	0	100	NA	9	32	0	18	0	1	NA
aio	100	100	0	100	0	100	NA	445	1023	0	301	0	18	NA
eai	NA	NA	NA	100	0	NA	NA	NA	NA	NA	2	0	NA	NA
eia	NA	NA	NA	100	0	NA	NA	NA	NA	NA	2	0	NA	NA
eio	100	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA
iai	NA	100	0	100	0	100	NA	NA	184	0	65	0	9	NA
iao	100	NA	NA	NA	NA	100	NA	65	NA	NA	NA	NA	2	NA
iei	100	100	0	NA	NA	NA	NA	680	1	0	NA	NA	NA	NA
oia	100	100	0	100	0	NA	NA	388	133	0	23	0	NA	NA
oie	100	100	0	100	0	NA	NA	53	8	0	22	0	NA	NA
oii	NA	100	0	NA	NA	NA	NA	NA	1	0	NA	NA	NA	NA
oio	100	100	0	100	0	100	100	72	49	0	161	0	12	4
uai	100	NA	NA	NA	NA	100	NA	190	NA	NA	NA	NA	13	NA
uea	NA	NA	NA	0	100	NA	NA	NA	NA	NA	0	5	NA	NA
uee	NA	NA	NA	0	100	NA	NA	NA	NA	NA	0	3	NA	NA
uei	100	NA	NA	0	100	NA	NA	684	NA	NA	0	1	NA	NA
ueo	NA	0	100	0	100	NA	NA	NA	0	3	0	2	NA	NA
uia	100	100	0	100	0	NA	NA	25	16	0	2	0	NA	NA
uie	100	100	0	NA	NA	NA	NA	5	13	0	NA	NA	NA	NA
uii	NA	100	0	100	0	100	NA	NA	5	0	12	0	1	NA
uio	100	100	0	100	0	NA	NA	167	132	0	6	0	NA	NA
uoi	100	NA	NA	NA	NA	NA	NA	2943	NA	NA	NA	NA	NA	NA
