ending	%ULT_Ty	%PULT_Ty	%APULT_Ty	nULT_Ty	nPULT_Ty	nAPULT_Ty
'ci	NA	100	NA	NA	1	NA
'ma	NA	100	NA	NA	1	NA
'pi	NA	100	NA	NA	1	NA
're	NA	100	NA	NA	1	NA
bba	NA	100	NA	NA	10	NA
bbe	NA	100	NA	NA	378	NA
bbi	NA	100	NA	NA	15	NA
bbo	NA	100	NA	NA	7	NA
bka	NA	100	NA	NA	1	NA
bla	NA	100	NA	NA	1	NA
ble	NA	100	NA	NA	1	NA
bli	NA	100	NA	NA	1	NA
blo	NA	100	NA	NA	2	NA
blu	100	NA	NA	2	NA	NA
bra	NA	77.7777777777778	22.2222222222222	NA	28	8
bre	NA	60.8695652173913	39.1304347826087	NA	14	9
bri	NA	80.6451612903226	19.3548387096774	NA	25	6
bro	NA	87.5	12.5	NA	21	3
cca	NA	100	NA	NA	103	NA
cce	NA	100	NA	NA	54	NA
cci	NA	100	NA	NA	160	NA
cco	NA	100	NA	NA	104	NA
ccu	NA	100	NA	NA	1	NA
cha	NA	100	NA	NA	1	NA
che	NA	21.8670076726343	78.1329923273657	NA	171	611
chi	NA	90.3581267217631	9.64187327823691	NA	328	35
cho	NA	100	NA	NA	5	NA
cke	NA	NA	100	NA	NA	1
cla	NA	100	NA	NA	2	NA
cle	NA	NA	100	NA	NA	5
cli	NA	100	NA	NA	4	NA
clo	NA	87.5	12.5	NA	7	1
cme	NA	100	NA	NA	1	NA
cne	NA	100	NA	NA	1	NA
cno	NA	100	NA	NA	1	NA
cra	NA	100	NA	NA	6	NA
cre	NA	100	NA	NA	4	NA
cri	NA	90.9090909090909	9.09090909090909	NA	10	1
cro	NA	92.8571428571429	7.14285714285714	NA	13	1
cru	NA	100	NA	NA	1	NA
csa	NA	100	NA	NA	1	NA
cta	NA	100	NA	NA	6	NA
cto	NA	100	NA	NA	1	NA
ctu	NA	100	NA	NA	1	NA
dda	NA	100	NA	NA	15	NA
dde	NA	100	NA	NA	5	NA
ddi	NA	100	NA	NA	7	NA
ddo	NA	100	NA	NA	4	NA
ddu	NA	100	NA	NA	5	NA
dge	NA	100	NA	NA	1	NA
dha	NA	100	NA	NA	2	NA
dhi	NA	100	NA	NA	1	NA
dja	NA	100	NA	NA	2	NA
dka	NA	100	NA	NA	1	NA
dmo	NA	100	NA	NA	1	NA
dra	NA	92.5925925925926	7.40740740740741	NA	25	2
dre	NA	90.9090909090909	9.09090909090909	NA	10	1
dri	NA	100	NA	NA	22	NA
dro	NA	100	NA	NA	34	NA
eso	NA	NA	100	NA	NA	1
ffa	NA	100	NA	NA	26	NA
ffe	NA	100	NA	NA	14	NA
ffi	NA	100	NA	NA	25	NA
ffo	NA	100	NA	NA	23	NA
fle	NA	100	NA	NA	1	NA
flo	NA	100	NA	NA	1	NA
fne	NA	100	NA	NA	1	NA
fra	NA	100	NA	NA	4	NA
fre	NA	100	NA	NA	3	NA
fri	NA	100	NA	NA	4	NA
fro	NA	100	NA	NA	3	NA
fta	NA	100	NA	NA	1	NA
fte	NA	100	NA	NA	1	NA
gda	NA	100	NA	NA	1	NA
gga	NA	100	NA	NA	11	NA
gge	NA	100	NA	NA	30	NA
ggi	NA	100	NA	NA	131	NA
ggo	NA	100	NA	NA	9	NA
gha	NA	100	NA	NA	1	NA
ghe	NA	83.8709677419355	16.1290322580645	NA	52	10
ghi	NA	82.4074074074074	17.5925925925926	NA	89	19
gla	NA	100	NA	NA	2	NA
gle	NA	100	NA	NA	4	NA
gli	NA	58.0568720379147	41.9431279620853	NA	245	177
glo	NA	100	NA	NA	2	NA
gma	NA	100	NA	NA	5	NA
gmi	NA	100	NA	NA	3	NA
gna	NA	100	NA	NA	96	NA
gne	NA	100	NA	NA	35	NA
gni	NA	100	NA	NA	75	NA
gno	NA	100	NA	NA	85	NA
gra	NA	85.7142857142857	14.2857142857143	NA	18	3
gre	NA	90	10	NA	9	1
gri	NA	77.7777777777778	22.2222222222222	NA	7	2
gro	NA	88.2352941176471	11.7647058823529	NA	15	2
jka	NA	NA	100	NA	NA	1
jno	NA	100	NA	NA	1	NA
kko	NA	100	NA	NA	1	NA
ktu	100	NA	NA	1	NA	NA
kyo	NA	100	NA	NA	1	NA
lba	NA	100	NA	NA	10	NA
lbe	NA	100	NA	NA	2	NA
lbi	NA	100	NA	NA	4	NA
lbo	NA	100	NA	NA	9	NA
lca	NA	100	NA	NA	8	NA
lce	NA	100	NA	NA	9	NA
lci	NA	100	NA	NA	12	NA
lco	NA	100	NA	NA	19	NA
lda	NA	100	NA	NA	23	NA
lde	NA	100	NA	NA	15	NA
ldi	NA	100	NA	NA	53	NA
ldo	NA	100	NA	NA	45	NA
lfa	NA	100	NA	NA	7	NA
lfi	NA	100	NA	NA	9	NA
lfo	NA	100	NA	NA	11	NA
lga	NA	100	NA	NA	24	NA
lge	NA	100	NA	NA	14	NA
lgi	NA	100	NA	NA	4	NA
lgo	NA	100	NA	NA	12	NA
lhi	NA	100	NA	NA	1	NA
lje	NA	100	NA	NA	1	NA
lka	NA	100	NA	NA	2	NA
lke	NA	100	NA	NA	1	NA
lla	NA	100	NA	NA	386	NA
lle	1.0989010989011	98.9010989010989	NA	2	180	NA
lli	NA	100	NA	NA	500	NA
llo	NA	100	NA	NA	409	NA
llu	NA	100	NA	NA	1	NA
lma	NA	100	NA	NA	14	NA
lme	NA	100	NA	NA	6	NA
lmi	NA	100	NA	NA	11	NA
lmo	NA	100	NA	NA	15	NA
lpa	NA	100	NA	NA	9	NA
lpe	NA	100	NA	NA	8	NA
lpi	NA	100	NA	NA	9	NA
lpo	NA	100	NA	NA	5	NA
lsa	NA	100	NA	NA	13	NA
lse	NA	100	NA	NA	29	NA
lsi	NA	100	NA	NA	19	NA
lso	NA	100	NA	NA	15	NA
LSO	NA	100	NA	NA	1	NA
lta	NA	100	NA	NA	59	NA
lte	NA	100	NA	NA	39	NA
lti	NA	100	NA	NA	54	NA
lto	NA	100	NA	NA	65	NA
ltu	NA	100	NA	NA	1	NA
lva	NA	100	NA	NA	12	NA
lve	NA	100	NA	NA	12	NA
lvi	NA	100	NA	NA	7	NA
lvo	NA	100	NA	NA	8	NA
lya	NA	100	NA	NA	1	NA
lza	NA	100	NA	NA	12	NA
lze	NA	100	NA	NA	5	NA
lzi	NA	100	NA	NA	12	NA
lzo	NA	100	NA	NA	11	NA
mba	NA	100	NA	NA	22	NA
mbe	NA	100	NA	NA	14	NA
mbi	NA	100	NA	NA	22	NA
mbo	NA	100	NA	NA	20	NA
mbu	NA	100	NA	NA	1	NA
mma	NA	100	NA	NA	42	NA
mme	NA	100	NA	NA	15	NA
mmi	NA	100	NA	NA	30	NA
mmo	NA	100	NA	NA	219	NA
mno	NA	100	NA	NA	2	NA
mpa	NA	100	NA	NA	14	NA
mpe	NA	100	NA	NA	13	NA
mpi	NA	100	NA	NA	22	NA
mpo	NA	100	NA	NA	26	NA
nca	NA	100	NA	NA	39	NA
nce	NA	100	NA	NA	24	NA
nci	NA	100	NA	NA	31	NA
nco	NA	100	NA	NA	40	NA
nda	NA	100	NA	NA	152	NA
nde	NA	100	NA	NA	111	NA
ndi	NA	100	NA	NA	104	NA
ndo	NA	100	NA	NA	1722	NA
nfa	NA	100	NA	NA	5	NA
nfe	NA	100	NA	NA	1	NA
nfi	NA	100	NA	NA	8	NA
nfo	NA	100	NA	NA	3	NA
nga	NA	100	NA	NA	70	NA
nge	NA	100	NA	NA	35	NA
ngi	NA	100	NA	NA	18	NA
ngo	NA	100	NA	NA	75	NA
ngu	NA	100	NA	NA	1	NA
nha	NA	100	NA	NA	1	NA
nho	NA	100	NA	NA	1	NA
nja	NA	100	NA	NA	3	NA
njo	NA	100	NA	NA	1	NA
nju	NA	100	NA	NA	1	NA
nka	NA	100	NA	NA	10	NA
nke	NA	100	NA	NA	1	NA
nki	NA	NA	100	NA	NA	1
nko	NA	100	NA	NA	2	NA
nna	NA	100	NA	NA	80	NA
nne	0.813008130081301	99.1869918699187	NA	1	122	NA
nni	NA	100	NA	NA	86	NA
nno	NA	100	NA	NA	582	NA
nri	100	NA	NA	1	NA	NA
nsa	NA	100	NA	NA	21	NA
nse	NA	100	NA	NA	53	NA
nsi	NA	100	NA	NA	39	NA
nso	NA	100	NA	NA	29	NA
nsu	NA	100	NA	NA	1	NA
nta	NA	100	NA	NA	185	NA
nte	NA	100	NA	NA	2244	NA
nti	NA	100	NA	NA	1331	NA
nto	NA	99.492385786802	0.50761421319797	NA	784	4
ntu	NA	100	NA	NA	4	NA
nya	NA	100	NA	NA	2	NA
nza	NA	100	NA	NA	415	NA
nze	NA	100	NA	NA	209	NA
nzi	NA	100	NA	NA	32	NA
nzo	NA	100	NA	NA	37	NA
pha	NA	100	NA	NA	1	NA
phi	NA	100	NA	NA	1	NA
pla	NA	50	50	NA	2	2
ple	NA	50	50	NA	1	1
pli	NA	75	25	NA	3	1
plo	NA	57.1428571428571	42.8571428571429	NA	4	3
ppa	NA	100	NA	NA	43	NA
ppe	NA	100	NA	NA	33	NA
ppi	NA	100	NA	NA	43	NA
