ending	%ULT_Ty	%PULT_Ty	%APULT_Ty	nULT_Ty	nPULT_Ty	nAPULT_Ty
a's	100	NA	NA	1	NA	NA	1
act	NA	100	NA	NA	1	NA	1
ady	NA	100	NA	NA	1	NA	1
aff	NA	100	NA	NA	1	NA	1
ald	NA	100	NA	NA	3	NA	3
aly	NA	NA	100	NA	NA	1	1
and	NA	NA	100	NA	NA	2	2
ang	50	NA	50	1	NA	1	2
ant	NA	100	NA	NA	2	NA	2
any	NA	33.33333333	66.66666667	NA	1	2	3
ard	NA	60	40	NA	3	2	5
art	NA	100	NA	NA	1	NA	1
ary	NA	20	80	NA	1	4	5
ash	NA	100	NA	NA	1	NA	1
ats	NA	100	NA	NA	1	NA	1
att	NA	NA	100	NA	NA	2	2
ech	100	NA	NA	1	NA	NA	1
edy	NA	NA	100	NA	NA	1	1
eng	100	NA	NA	1	NA	NA	1
ens	NA	100	NA	NA	3	NA	3
ent	NA	100	NA	NA	1	NA	1
enz	NA	100	NA	NA	1	NA	1
ers	NA	100	NA	NA	1	NA	1
ert	NA	100	NA	NA	1	NA	1
ery	NA	100	NA	NA	1	NA	1
esh	NA	NA	100	NA	NA	1	1
ess	33.33333333	66.66666667	NA	1	2	NA	3
est	22.22222222	33.33333333	44.44444444	2	3	4	9
iby	NA	100	NA	NA	1	NA	1
ick	NA	50	50	NA	1	1	2
ics	NA	100	NA	NA	2	NA	2
idy	NA	NA	100	NA	NA	1	1
igy	NA	NA	100	NA	NA	1	1
ill	100	NA	NA	1	NA	NA	1
ilm	50	50	NA	1	1	NA	2
ing	NA	100	NA	NA	11	NA	11
ins	NA	100	NA	NA	1	NA	1
iny	NA	100	NA	NA	1	NA	1
isc	NA	100	NA	NA	1	NA	1
ish	NA	100	NA	NA	2	NA	2
ith	NA	100	NA	NA	2	NA	2
ity	NA	50	50	NA	1	1	2
oby	NA	100	NA	NA	1	NA	1
ock	100	NA	NA	2	NA	NA	2
oft	NA	NA	100	NA	NA	1	1
olf	100	NA	NA	1	NA	NA	1
oms	NA	100	NA	NA	1	NA	1
omy	NA	NA	100	NA	NA	1	1
ont	100	NA	NA	1	NA	NA	1
ony	NA	50	50	NA	2	2	4
oph	NA	100	NA	NA	1	NA	1
ord	66.66666667	33.33333333	NA	2	1	NA	3
org	NA	100	NA	NA	1	NA	1
ort	66.66666667	33.33333333	NA	4	2	NA	6
ory	NA	NA	100	NA	NA	2	2
osc	NA	100	NA	NA	1	NA	1
osh	NA	NA	100	NA	NA	1	1
oss	100	NA	NA	2	NA	NA	2
osy	NA	100	NA	NA	1	NA	1
ucy	NA	100	NA	NA	1	NA	1
ult	100	NA	NA	1	NA	NA	1
urt	NA	100	NA	NA	1	NA	1
ust	100	NA	NA	1	NA	NA	1
usy	NA	100	NA	NA	2	NA	2
uty	NA	100	NA	NA	1	NA	1
utz	100	NA	NA	1	NA	NA	1
				24	69	31	124
