ending	E_%ULT_Ty	E_%PULT_Ty	E_%APULT_Ty	G_%ULT_Ty	G_%PULT_Ty	G_%APULT_Ty	S_%ULT_Ty	S_%PULT_Ty	S_%APULT_Ty	V_%PULT_Ty	E_nULT_Ty	E_nPULT_Ty	E_nAPULT_Ty	G_nULT_Ty	G_nPULT_Ty	G_nAPULT_Ty	S_nULT_Ty	S_nPULT_Ty	S_nAPULT_Ty	V_nPULT_Ty
a's	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
act	NA	100	NA	NA	100	NA	NA	100	NA	NA	NA	1	NA	NA	1	NA	NA	1	NA	NA
ady	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA
aff	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA
ald	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA
aly	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA
and	NA	NA	100	NA	NA	NA	NA	NA	100	NA	NA	NA	2	NA	NA	NA	NA	NA	1	NA
ang	NA	NA	100	NA	NA	NA	50	NA	50	NA	NA	NA	1	NA	NA	NA	1	NA	1	NA
ant	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA
any	NA	NA	100	NA	100	NA	NA	NA	NA	NA	NA	NA	2	NA	1	NA	NA	NA	NA	NA
ard	NA	60	40	NA	100	NA	NA	100	NA	NA	NA	3	2	NA	1	NA	NA	1	NA	NA
art	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA
ary	NA	50	50	NA	NA	100	NA	NA	100	NA	NA	1	1	NA	NA	2	NA	NA	1	NA
ash	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA
ats	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA
att	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA
ech	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
edy	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA
eng	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA
ens	NA	100	NA	NA	100	NA	NA	100	NA	100	NA	1	NA	NA	2	NA	NA	1	NA	1
ent	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA
enz	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA
ers	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA
ert	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA
ery	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA
esh	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA
ess	NA	100	NA	100	NA	NA	NA	100	NA	NA	NA	1	NA	1	NA	NA	NA	2	NA	NA
est	20	NA	80	NA	75	25	25	75	NA	NA	1	NA	4	NA	3	1	1	3	NA	NA
iby	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA
ick	NA	50	50	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	NA	NA	NA	NA	NA	NA
ics	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA
idy	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA
igy	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA
ill	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA
ilm	NA	NA	NA	NA	NA	NA	50	50	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	NA
ing	NA	100	NA	NA	100	NA	NA	100	NA	NA	NA	4	NA	NA	2	NA	NA	7	NA	NA
ins	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA
iny	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA
isc	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA
ish	NA	100	NA	NA	NA	NA	NA	100	NA	NA	NA	1	NA	NA	NA	NA	NA	1	NA	NA
ith	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA
ity	NA	NA	100	NA	NA	NA	NA	100	NA	NA	NA	NA	1	NA	NA	NA	NA	1	NA	NA
oby	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA
ock	NA	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	1	NA	NA	1	NA	NA	NA
oft	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA
olf	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA
oms	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA
omy	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA
ont	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA
ony	NA	50	50	NA	NA	NA	NA	100	NA	NA	NA	2	2	NA	NA	NA	NA	1	NA	NA
oph	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA
ord	66.6666666666667	33.3333333333333	NA	NA	NA	NA	100	NA	NA	NA	2	1	NA	NA	NA	NA	1	NA	NA	NA
org	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA
ort	50	50	NA	100	NA	NA	50	50	NA	NA	2	2	NA	1	NA	NA	2	2	NA	NA
ory	NA	NA	NA	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	1	NA	NA	1	NA
osc	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA
osh	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA
oss	100	NA	NA	NA	NA	NA	100	NA	NA	NA	1	NA	NA	NA	NA	NA	2	NA	NA	NA
osy	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA
ucy	NA	100	NA	NA	NA	NA	NA	100	NA	NA	NA	1	NA	NA	NA	NA	NA	1	NA	NA
ult	100	NA	NA	NA	NA	NA	100	NA	NA	NA	1	NA	NA	NA	NA	NA	1	NA	NA	NA
urt	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA
ust	NA	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	1	NA	NA	1	NA	NA	NA
usy	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA
uty	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA
utz	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA
