ending	S2_%ULT_Ty	S2_%PULT_Ty	S3_%ULT_Ty	S3_%PULT_Ty	S3_%APULT_Ty	S4_%ULT_Ty	S4_%PULT_Ty	S4_%APULT_Ty	S5_%APULT_Ty	S2_nULT_Ty	S2_nPULT_Ty	S3_nULT_Ty	S3_nPULT_Ty	S3_nAPULT_Ty	S4_nULT_Ty	S4_nPULT_Ty	S4_nAPULT_Ty	S5_nAPULT_Ty
a's	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA
act	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA
ady	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA
aff	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA
ald	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA
aly	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA
and	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA
ang	NA	NA	50	NA	50	NA	NA	NA	NA	NA	NA	1	NA	1	NA	NA	NA	NA
ant	NA	100	NA	NA	NA	NA	100	NA	NA	NA	1	NA	NA	NA	NA	1	NA	NA
any	NA	100	NA	NA	100	NA	NA	NA	NA	NA	1	NA	NA	2	NA	NA	NA	NA
ard	NA	100	NA	NA	100	NA	NA	NA	NA	NA	3	NA	NA	2	NA	NA	NA	NA
art	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA
ary	NA	100	NA	NA	100	NA	NA	100	100	NA	1	NA	NA	2	NA	NA	1	1
ash	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
ats	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA
att	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA
ech	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA
edy	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA
eng	100	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA
ens	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA
ent	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA
enz	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA
ers	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA
ert	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA
ery	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA
esh	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA
ess	NA	100	100	NA	NA	NA	NA	NA	NA	NA	2	1	NA	NA	NA	NA	NA	NA
est	50	50	NA	33.3333333333333	66.6666666666667	100	NA	NA	NA	1	1	NA	2	4	1	NA	NA	NA
iby	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA
ick	NA	100	NA	NA	100	NA	NA	NA	NA	NA	1	NA	NA	1	NA	NA	NA	NA
ics	NA	100	NA	NA	NA	NA	100	NA	NA	NA	1	NA	NA	NA	NA	1	NA	NA
idy	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA
igy	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA
ill	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA
