ending	%ULT_Ty	%PULT_Ty	%APULT_Ty	%PAPULT_Ty	nULT_Ty	nPULT_Ty	nAPULT_Ty	nPAPULT_Ty
aba	NA	66.6666666666667	33.3333333333333	NA	NA	6	3	NA
abe	NA	66.6666666666667	33.3333333333333	NA	NA	4	2	NA
abi	NA	60	40	NA	NA	3	2	NA
abo	NA	16.6666666666667	83.3333333333333	NA	NA	1	5	NA
aca	NA	42.8571428571429	57.1428571428571	NA	NA	15	20	NA
ace	NA	91.4893617021277	8.51063829787234	NA	NA	43	4	NA
aci	NA	57.1428571428571	42.8571428571429	NA	NA	36	27	NA
aco	NA	22.7272727272727	77.2727272727273	NA	NA	10	34	NA
ada	NA	94.6428571428571	5.35714285714286	NA	NA	53	3	NA
ade	2.22222222222222	55.5555555555556	42.2222222222222	NA	1	25	19	NA
adi	NA	41.6666666666667	58.3333333333333	NA	NA	10	14	NA
ado	NA	94.7368421052632	5.26315789473684	NA	NA	36	2	NA
adu	NA	100	NA	NA	NA	1	NA	NA
afa	8.33333333333333	25	66.6666666666667	NA	1	3	8	NA
afe	NA	25	75	NA	NA	1	3	NA
afi	NA	23.8095238095238	76.1904761904762	NA	NA	5	16	NA
afo	NA	10.3448275862069	89.6551724137931	NA	NA	3	26	NA
aga	NA	84.6153846153846	15.3846153846154	NA	NA	22	4	NA
age	16.6666666666667	83.3333333333333	NA	NA	1	5	NA	NA
agi	NA	84.2105263157895	15.7894736842105	NA	NA	16	3	NA
ago	NA	87.5	12.5	NA	NA	42	6	NA
aha	NA	100	NA	NA	NA	1	NA	NA
aho	NA	100	NA	NA	NA	1	NA	NA
aja	NA	100	NA	NA	NA	4	NA	NA
aje	NA	100	NA	NA	NA	2	NA	NA
ajo	NA	100	NA	NA	NA	1	NA	NA
aka	NA	100	NA	NA	NA	5	NA	NA
ake	NA	100	NA	NA	NA	2	NA	NA
aki	NA	100	NA	NA	NA	4	NA	NA
ako	NA	100	NA	NA	NA	1	NA	NA
ala	NA	75	25	NA	NA	36	12	NA
ale	NA	98.2288828337875	1.77111716621253	NA	NA	721	13	NA
ali	NA	96.2134251290878	3.78657487091222	NA	NA	559	22	NA
alo	NA	29.1666666666667	70.8333333333333	NA	NA	14	34	NA
ama	NA	93.9393939393939	6.06060606060606	NA	NA	31	2	NA
ame	2.4390243902439	97.5609756097561	NA	NA	1	40	NA	NA
ami	NA	50.6172839506173	48.1481481481481	1.23456790123457	NA	41	39	1
amo	NA	97.463768115942	2.53623188405797	NA	NA	807	21	NA
amu	NA	100	NA	NA	NA	1	NA	NA
ana	NA	99.5642701525055	0.435729847494553	NA	NA	457	2	NA
ane	NA	91.1111111111111	8.88888888888889	NA	NA	164	16	NA
ani	NA	95.9401709401709	4.05982905982906	NA	NA	449	19	NA
ano	NA	19.9015687480775	73.1159643186712	6.98246693325131	NA	647	2377	227
anu	NA	100	NA	NA	NA	3	NA	NA
apa	NA	85.7142857142857	14.2857142857143	NA	NA	6	1	NA
ape	NA	75	25	NA	NA	6	2	NA
api	NA	100	NA	NA	NA	8	NA	NA
apo	NA	85.7142857142857	14.2857142857143	NA	NA	12	2	NA
ara	NA	91.869918699187	8.13008130081301	NA	NA	113	10	NA
are	NA	98.9520354695687	1.04796453043128	NA	NA	2455	26	NA
ari	NA	94.5701357466063	5.42986425339367	NA	NA	418	24	NA
aro	NA	85.7142857142857	14.2857142857143	NA	NA	132	22	NA
aru	NA	100	NA	NA	NA	1	NA	NA
asa	NA	100	NA	NA	NA	17	NA	NA
ase	NA	91.6666666666667	8.33333333333333	NA	NA	11	1	NA
asi	NA	37.3737373737374	62.6262626262626	NA	NA	37	62	NA
aso	NA	89.2857142857143	10.7142857142857	NA	NA	25	3	NA
ata	NA	99.5982142857143	0.357142857142857	0.0446428571428571	NA	2231	8	1
ate	0.0555247084952804	99.5558023320378	0.388672959466963	NA	1	1793	7	NA
ati	NA	99.1811175337187	0.81888246628131	NA	NA	2059	17	NA
ato	NA	99.8955795335886	0.104420466411417	NA	NA	2870	3	NA
atu	NA	100	NA	NA	NA	3	NA	NA
ava	NA	100	NA	NA	NA	1104	NA	NA
ave	NA	92.3076923076923	7.69230769230769	NA	NA	24	2	NA
avi	NA	97.1014492753623	2.89855072463768	NA	NA	67	2	NA
avo	NA	99.6575342465753	0.342465753424658	NA	NA	291	1	NA
awa	NA	100	NA	NA	NA	1	NA	NA
axa	NA	100	NA	NA	NA	1	NA	NA
axi	NA	100	NA	NA	NA	4	NA	NA
aya	NA	100	NA	NA	NA	3	NA	NA
ayo	NA	100	NA	NA	NA	1	NA	NA
aza	NA	100	NA	NA	NA	3	NA	NA
