ending	B_%PULT_Ty	B_%APULT_Ty	C_%PULT_Ty	C_%APULT_Ty	E_%ULT_Ty	E_%PULT_Ty	E_%APULT_Ty	G_%ULT_Ty	G_%PULT_Ty	G_%APULT_Ty	I_%PULT_Ty	I_%APULT_Ty	N_%PULT_Ty	N_%APULT_Ty	NU_%PULT_Ty	NU_%APULT_Ty	P_%PULT_Ty	P_%APULT_Ty	R_%PULT_Ty	S_%ULT_Ty	S_%PULT_Ty	S_%APULT_Ty	S_%PAPULT_Ty	V_%ULT_Ty	V_%PULT_Ty	V_%APULT_Ty	V_%PAPULT_Ty	X_%PULT_Ty	X_%APULT_Ty	B_nPULT_Ty	B_nAPULT_Ty	C_nPULT_Ty	C_nAPULT_Ty	E_nULT_Ty	E_nPULT_Ty	E_nAPULT_Ty	G_nULT_Ty	G_nPULT_Ty	G_nAPULT_Ty	I_nPULT_Ty	I_nAPULT_Ty	N_nPULT_Ty	N_nAPULT_Ty	NU_nPULT_Ty	NU_nAPULT_Ty	P_nPULT_Ty	P_nAPULT_Ty	R_nPULT_Ty	S_nULT_Ty	S_nPULT_Ty	S_nAPULT_Ty	S_nPAPULT_Ty	V_nULT_Ty	V_nPULT_Ty	V_nAPULT_Ty	V_nPAPULT_Ty	X_nPULT_Ty	X_nAPULT_Ty
ano	3251	71.42857143	28.57142857	NA	NA	NA	95.98853868	4.011461318	NA	99.62546816	0.374531835	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	89.8989899	10.1010101	NA	NA	0.038550501	91.21048574	8.750963763	NA	NA	5	2	NA	NA	NA	335	14	NA	266	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	178	20	NA	NA	1	2366	227	NA	NA
ato	2873	100	NA	NA	NA	NA	100	NA	NA	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	99.22077922	0.779220779	NA	NA	100	NA	NA	NA	NA	1	NA	NA	NA	NA	100	NA	NA	1171	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	382	3	NA	NA	2105	NA	NA	NA	NA
are	2481	100	NA	NA	NA	NA	85	15	NA	97.10144928	2.898550725	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	98.67374005	1.326259947	NA	NA	99.29359823	0.706401766	NA	NA	NA	1	NA	NA	NA	NA	17	3	NA	134	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	372	5	NA	NA	2249	16	NA	NA	NA
ata	2240	100	NA	NA	NA	NA	96	4	NA	99.71644612	0.283553875	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	98.60335196	1.396648045	NA	NA	99.93141289	NA	0.068587106	NA	NA	2	NA	NA	NA	NA	48	2	NA	1055	3	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	353	5	NA	NA	1457	NA	1	NA	NA
one	2164	50	50	NA	NA	NA	98.99665552	1.003344482	NA	88.88888889	11.11111111	100	NA	NA	NA	100	NA	NA	NA	NA	NA	99.54674221	0.45325779	NA	NA	15.96638655	84.03361345	NA	NA	NA	1	1	NA	NA	NA	296	3	NA	56	7	3	NA	NA	NA	2	NA	NA	NA	NA	NA	1757	8	NA	NA	19	100	NA	NA	NA
ati	2076	NA	NA	NA	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	97.10982659	2.89017341	NA	NA	99.47328819	0.526711813	NA	100	NA	NA	NA	NA	NA	NA	96	NA	NA	967	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	336	10	NA	NA	1322	7	NA	1	NA
ate	1801	100	NA	NA	NA	NA	93.75	6.25	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.37593985	97.7443609	1.879699248	NA	NA	100	NA	NA	NA	NA	1	NA	NA	NA	NA	45	3	NA	720	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	260	5	NA	NA	1143	NA	NA	NA	NA
oni	1311	100	NA	NA	NA	NA	99.18699187	0.81300813	NA	77.77777778	22.22222222	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	98.59022556	1.409774436	NA	NA	93.33333333	6.666666667	NA	NA	NA	12	NA	NA	NA	NA	244	2	NA	28	8	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	1049	15	NA	NA	14	1	NA	NA	NA
ono	1140	75	25	NA	NA	NA	75	25	NA	50	50	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	52.5	47.5	NA	NA	0.831024931	98.89196676	0.27700831	NA	NA	3	1	NA	NA	NA	15	5	NA	4	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21	19	NA	NA	9	1071	3	NA	NA
ino	1108	100	NA	NA	NA	NA	98.19587629	1.804123711	NA	98.38709677	1.612903226	NA	NA	NA	NA	100	NA	100	NA	NA	NA	96.51972158	3.480278422	NA	NA	3.424657534	79.10958904	17.46575342	NA	NA	6	NA	NA	NA	NA	381	7	NA	122	2	NA	NA	NA	NA	2	NA	4	NA	NA	NA	416	15	NA	NA	10	231	51	NA	NA
ava	1104	NA	NA	NA	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	16	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	NA	NA	NA	1082	NA	NA	NA	NA
ica	1025	100	NA	NA	NA	NA	28.125	71.875	NA	0.905562743	99.09443726	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	4.090909091	95.90909091	NA	NA	4.255319149	95.74468085	NA	66.66666667	33.33333333	1	NA	NA	NA	NA	27	69	NA	7	766	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	9	211	NA	NA	4	90	NA	2	1
ico	947	NA	NA	NA	NA	NA	45.33333333	54.66666667	NA	0.879396985	99.12060302	NA	100	NA	100	NA	NA	NA	NA	NA	NA	4.926108374	95.07389163	NA	NA	12	88	NA	NA	NA	NA	NA	NA	NA	NA	34	41	NA	7	789	NA	1	NA	1	NA	NA	NA	NA	NA	NA	10	193	NA	NA	3	22	NA	NA	NA
ini	909	NA	NA	NA	NA	0.185185185	96.85185185	2.962962963	NA	92.04545455	7.954545455	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	83.24175824	16.75824176	NA	NA	42.10526316	57.89473684	NA	NA	NA	NA	NA	NA	NA	1	523	16	NA	81	7	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	303	61	NA	NA	8	11	NA	NA	NA
amo	828	NA	NA	NA	NA	NA	47.61904762	52.38095238	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	42.85714286	57.14285714	NA	NA	99.49685535	0.503144654	NA	NA	NA	NA	NA	NA	NA	NA	10	11	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	8	NA	NA	791	4	NA	NA	NA
ero	815	100	NA	100	NA	NA	76.92307692	23.07692308	NA	58.82352941	41.17647059	100	NA	NA	NA	100	NA	NA	NA	NA	NA	44.34782609	55.65217391	NA	NA	0.84317032	99.15682968	NA	NA	NA	7	NA	1	NA	NA	60	18	NA	40	28	1	NA	NA	NA	1	NA	NA	NA	NA	NA	51	64	NA	NA	5	588	NA	NA	NA
ici	793	NA	NA	NA	NA	NA	25	75	NA	7.462686567	92.53731343	NA	NA	33.33333333	66.66666667	NA	100	NA	NA	NA	NA	33.7164751	65.90038314	0.383141762	NA	11.11111111	88.88888889	NA	NA	NA	NA	NA	NA	NA	NA	7	21	NA	45	558	NA	NA	1	2	NA	8	NA	NA	NA	NA	88	172	1	NA	1	8	NA	NA	NA
osi	787	100	NA	NA	NA	NA	100	NA	NA	100	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	93.15068493	6.849315068	NA	NA	2.222222222	97.77777778	NA	NA	NA	1	NA	NA	NA	NA	21	NA	NA	226	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	68	5	NA	NA	11	484	NA	NA	NA
ore	756	100	NA	NA	NA	NA	89.18918919	10.81081081	NA	96.58119658	3.418803419	100	NA	100	NA	NA	NA	NA	NA	NA	NA	97.90732436	2.092675635	NA	NA	100	NA	NA	100	NA	5	NA	NA	NA	NA	66	8	NA	113	4	2	NA	2	NA	NA	NA	NA	NA	NA	NA	655	14	NA	NA	2	NA	NA	1	NA
ale	734	100	NA	NA	NA	NA	98.73417722	1.265822785	NA	99.49324324	0.506756757	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	98.24561404	1.754385965	NA	NA	56.25	43.75	NA	NA	NA	7	NA	NA	NA	NA	78	1	NA	589	3	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	224	4	NA	NA	9	7	NA	NA	NA
ori	711	100	NA	NA	NA	NA	93.93939394	6.060606061	NA	94.82758621	5.172413793	100	NA	100	NA	NA	NA	100	NA	NA	NA	98.66444073	1.335559265	NA	NA	70	30	NA	NA	NA	4	NA	NA	NA	NA	62	4	NA	110	6	1	NA	1	NA	NA	NA	1	NA	NA	NA	591	8	NA	NA	7	3	NA	NA	NA
ere	683	NA	100	NA	NA	3.225806452	45.16129032	51.61290323	NA	60	40	100	NA	NA	NA	NA	NA	NA	NA	NA	0.27173913	56.25	43.47826087	NA	NA	12.30769231	87.69230769	NA	NA	NA	NA	1	NA	NA	1	14	16	NA	30	20	1	NA	NA	NA	NA	NA	NA	NA	NA	1	207	160	NA	NA	48	342	NA	NA	NA
ina	641	100	NA	NA	NA	NA	97.39130435	2.608695652	NA	97.4789916	2.521008403	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	94.92063492	5.079365079	NA	NA	49.15254237	50.84745763	NA	NA	NA	2	NA	NA	NA	NA	224	6	NA	116	3	NA	NA	NA	NA	9	NA	NA	NA	NA	NA	299	16	NA	NA	29	30	NA	NA	NA
ile	605	NA	100	NA	NA	NA	65.38461538	34.61538462	NA	5.794392523	94.20560748	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.81300813	28.45528455	70.73170732	NA	NA	NA	100	NA	NA	100	NA	2	NA	NA	NA	17	9	NA	31	504	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	35	87	NA	NA	NA	2	NA	NA	1
ali	581	100	NA	100	NA	NA	97.36842105	2.631578947	NA	98.51380042	1.486199575	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	93.92265193	6.077348066	NA	NA	50	50	NA	NA	NA	1	NA	1	NA	NA	37	1	NA	464	7	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	170	11	NA	NA	6	6	NA	NA	NA
oli	531	NA	100	NA	NA	NA	34.10404624	65.89595376	NA	10.52631579	89.47368421	NA	NA	50	50	NA	NA	NA	NA	NA	NA	24.75247525	75.24752475	NA	NA	1.5625	98.4375	NA	NA	NA	NA	1	NA	NA	NA	59	114	NA	8	68	NA	NA	1	1	NA	NA	NA	NA	NA	NA	50	152	NA	NA	2	126	NA	NA	NA
olo	524	33.33333333	66.66666667	NA	NA	NA	32.75862069	67.24137931	NA	38.46153846	61.53846154	NA	100	100	NA	NA	NA	NA	NA	NA	NA	29.62962963	70.37037037	NA	NA	1.063829787	98.93617021	NA	NA	100	1	2	NA	NA	NA	38	78	NA	15	24	NA	3	1	NA	NA	NA	NA	NA	NA	NA	64	152	NA	NA	2	186	NA	NA	1
ola	510	50	50	NA	NA	NA	34.7107438	65.2892562	NA	39.39393939	60.60606061	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	33.33333333	66.66666667	NA	NA	3.404255319	96.59574468	NA	NA	NA	1	1	NA	NA	NA	42	79	NA	13	20	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	53	106	NA	NA	8	227	NA	NA	NA
ili	509	NA	100	NA	NA	NA	73.33333333	26.66666667	NA	4.751131222	95.24886878	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	27.65957447	72.34042553	NA	NA	25	75	NA	NA	NA	NA	1	NA	NA	NA	11	4	NA	21	421	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	26	68	NA	NA	2	6	NA	NA	NA
ito	502	50	50	NA	NA	NA	52.63157895	47.36842105	NA	84.97652582	15.02347418	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	48.55072464	51.44927536	NA	NA	94.40559441	5.594405594	NA	NA	NA	1	1	NA	NA	NA	20	18	NA	181	32	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	67	71	NA	NA	270	16	NA	NA	NA
iva	471	NA	NA	NA	NA	NA	100	NA	NA	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	15	NA	NA	243	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	49	NA	NA	NA	196	NA	NA	NA	NA
ani	468	100	NA	NA	NA	NA	97.74774775	2.252252252	NA	96.75324675	3.246753247	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	93.29896907	6.701030928	NA	NA	100	NA	NA	NA	NA	5	NA	NA	NA	NA	217	5	NA	149	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	181	13	NA	NA	4	NA	NA	NA	NA
ana	459	100	NA	NA	NA	NA	99.39393939	0.606060606	NA	99.61832061	0.381679389	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	97.97979798	2.02020202	NA	NA	100	NA	NA	100	NA	1	NA	NA	NA	NA	164	1	NA	261	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	97	2	NA	NA	10	NA	NA	2	NA
ita	456	NA	NA	NA	NA	NA	79.06976744	20.93023256	NA	85.78947368	14.21052632	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	58.97435897	41.02564103	NA	NA	80.54474708	19.45525292	NA	NA	NA	NA	NA	NA	NA	NA	34	9	NA	163	27	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	46	32	NA	NA	207	50	NA	NA	NA
ari	442	100	NA	100	NA	NA	87.5	12.5	NA	98.60465116	1.395348837	100	NA	100	NA	NA	100	NA	NA	NA	NA	93.06930693	6.930693069	NA	NA	100	NA	NA	100	NA	1	NA	1	NA	NA	91	13	NA	212	3	1	NA	1	NA	NA	1	NA	NA	NA	NA	188	14	NA	NA	8	NA	NA	2	NA
iti	422	NA	NA	NA	NA	NA	57.69230769	42.30769231	NA	82.48587571	17.51412429	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	57.89473684	42.10526316	NA	NA	83.66336634	16.33663366	NA	NA	NA	NA	NA	NA	NA	NA	15	11	NA	146	31	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	77	56	NA	NA	169	33	NA	NA	NA
