CV-structure	S4_%ULT_Tk	S4_%PULT_Tk	S4_%APULT_Tk	S4_%PAPULT_Tk	S4_nULT_Tk	S4_nPULT_Tk	S4_nAPULT_Tk	S4_nPAPULT_Tk
CCCVCCCVVCVCV	0	66.66666667	0	33.33333333	0	2	0	1
CCCVCCCVVCVV	0	100	0	0	0	6	0	0
CCCVCCVCCCVVCV	0	0	100	0	0	0	1	0
CCCVCCVCCV	0	80	20	0	0	4	1	0
CCCVCCVCCVCCV	0	50	50	0	0	1	1	0
CCCVCCVCCVCV	0	16.66666667	83.33333333	0	0	1	5	0
CCCVCCVCCVV	0	100	0	0	0	1	0	0
CCCVCCVCV	0	33.33333333	66.66666667	0	0	1	2	0
CCCVCCVCVCCV	0	100	0	0	0	8	0	0
CCCVCCVCVCV	0	12.5	87.5	0	0	2	14	0
CCCVCCVVCVCV	0	0	100	0	0	0	8	0
CCCVCVCCV	0	100	0	0	0	10	0	0
CCCVCVCCVCCV	0	100	0	0	0	1	0	0
CCCVCVCCVCV	0	72.72727273	27.27272727	0	0	8	3	0
CCCVCVCCVV	0	100	0	0	0	1	0	0
CCCVCVCCVVCV	0	100	0	0	0	1	0	0
CCCVCVCV	0	50	50	0	0	4	4	0
CCCVCVCVCCV	0	100	0	0	0	8	0	0
CCCVCVCVCV	0	45.45454545	54.54545455	0	0	10	12	0
CCCVCVCVV	0	100	0	0	0	20	0	0
CCCVCVCVVCCV	0	100	0	0	0	7	0	0
CCCVCVCVVCV	0	100	0	0	0	1	0	0
CCCVVCCVCCV	0	100	0	0	0	2	0	0
CCCVVCCVCCVCV	0	0	100	0	0	0	1	0
CCCVVCCVCV	0	100	0	0	0	1	0	0
CCCVVCCVCVCV	0	100	0	0	0	1	0	0
CCCVVCCVVCVCV	0	0	100	0	0	0	1	0
CCCVVCVCCVCV	0	0	100	0	0	0	2	0
CCCVVCVCVCV	0	0	100	0	0	0	1	0
CCCVVVCCV	0	100	0	0	0	1	0	0
CCVCCCVCCV	0	100	0	0	0	1	0	0
CCVCCCVCCVCV	0	0	100	0	0	0	2	0
CCVCCCVCVCCV	0	100	0	0	0	1	0	0
CCVCCCVCVCV	0	66.66666667	33.33333333	0	0	2	1	0
CCVCCCVVCVCV	0	0	100	0	0	0	1	0
CCVCCV	0	100	0	0	0	1	0	0
CCVCCVCCV	0	64	36	0	0	16	9	0
CCVCCVCCVCCV	0	100	0	0	0	27	0	0
CCVCCVCCVCV	0	49.48979592	46.93877551	3.571428571	0	97	92	7
CCVCCVCCVV	0	100	0	0	0	1	0	0
CCVCCVCCVVCV	0	92	8	0	0	23	2	0
CCVCCVCV	0	60	40	0	0	6	4	0
CCVCCVCVCCV	0	99.39759036	0.602409639	0	0	165	1	0
CCVCCVCVCCVV	0	100	0	0	0	5	0	0
CCVCCVCVCV	0	53.69458128	46.30541872	0	0	218	188	0
CCVCCVCVV	0	58.82352941	41.17647059	0	0	10	7	0
CCVCCVCVVCV	0	100	0	0	0	12	0	0
CCVCCVVCCV	0	100	0	0	0	3	0	0
CCVCCVVCCVCV	0	0	100	0	0	0	2	0
CCVCCVVCV	0	25	75	0	0	1	3	0
CCVCCVVCVCCV	0	100	0	0	0	5	0	0
CCVCCVVCVCV	0	69.81132075	30.18867925	0	0	37	16	0
CCVCCVVCVCVV	0	100	0	0	0	24	0	0
CCVCCVVCVV	0	100	0	0	0	1	0	0
CCVCCVVCVVV	0	100	0	0	0	4	0	0
CCVCCVVVCV	0	0	100	0	0	0	2	0
CCVCV	0	100	0	0	0	2	0	0
CCVCVCCCVCV	0	100	0	0	0	4	0	0
CCVCVCCCVVCV	0	100	0	0	0	2	0	0
CCVCVCCV	0	100	0	0	0	4	0	0
CCVCVCCVCCV	0	81.33333333	18.66666667	0	0	61	14	0
CCVCVCCVCV	0	62.24256293	37.75743707	0	0	272	165	0
CCVCVCCVCVV	0	100	0	0	0	7	0	0
CCVCVCCVVCCV	0	100	0	0	0	6	0	0
CCVCVCCVVCV	0	99.01960784	0.980392157	0	0	101	1	0
CCVCVCVCCCV	0	100	0	0	0	2	0	0
CCVCVCVCCV	0	76.12359551	23.87640449	0	0	271	85	0
CCVCVCVCCVV	0	100	0	0	0	2	0	0
CCVCVCVCV	0	68.23687752	30.28263795	1.480484522	0	507	225	11
CCVCVCVCVCV	0	100	0	0	0	1	0	0
CCVCVCVV	0	100	0	0	0	36	0	0
CCVCVCVVCCV	0	100	0	0	0	16	0	0
CCVCVCVVCV	0	100	0	0	0	134	0	0
CCVCVCVVVCV	0	100	0	0	0	3	0	0
CCVCVVCCVCCV	0	100	0	0	0	15	0	0
CCVCVVCCVCV	0	94.73684211	5.263157895	0	0	18	1	0
CCVCVVCV	0	100	0	0	0	13	0	0
CCVCVVCVCV	0	40	60	0	0	4	6	0
CCVCVVCVV	0	100	0	0	0	1	0	0
CCVCVVCVVCV	0	100	0	0	0	38	0	0
CCVVCCCVCV	0	100	0	0	0	2	0	0
CCVVCCV	0	100	0	0	0	1	0	0
CCVVCCVCCV	0	100	0	0	0	1	0	0
CCVVCCVCV	0	0	100	0	0	0	46	0
CCVVCCVCVCCV	0	16.66666667	83.33333333	0	0	2	10	0
CCVVCCVCVCV	0	25	75	0	0	8	24	0
CCVVCCVCVV	0	100	0	0	0	6	0	0
CCVVCCVVCVCCV	0	100	0	0	0	2	0	0
CCVVCCVVCVCV	0	100	0	0	0	1	0	0
CCVVCV	0	100	0	0	0	1	0	0
CCVVCVCCCVVCV	0	0	33.33333333	66.66666667	0	0	1	2
CCVVCVCCV	0	60	40	0	0	3	2	0
CCVVCVCCVCV	0	0	85.71428571	14.28571429	0	0	6	1
CCVVCVCV	0	95.16129032	4.838709677	0	0	59	3	0
CCVVCVCVCCV	0	100	0	0	0	22	0	0
CCVVCVCVCV	0	26	74	0	0	13	37	0
CCVVCVCVV	0	100	0	0	0	2	0	0
CCVVCVCVVCV	0	100	0	0	0	24	0	0
CCVVCVVCV	0	100	0	0	0	7	0	0
CCVVCVVCVCV	0	0	100	0	0	0	1	0
CCVVVCCVCCV	0	100	0	0	0	2	0	0
CCVVVCCVCV	0	15.2173913	84.7826087	0	0	7	39	0
CCVVVCCVCVCV	0	100	0	0	0	11	0	0
CCVVVCCVCVV	0	100	0	0	0	5	0	0
CCVVVCV	0	100	0	0	0	1	0	0
CVCCCVCCCVCV	0	100	0	0	0	1	0	0
CVCCCVCCCVVCV	0	0	100	0	0	0	1	0
CVCCCVCCV	0	100	0	0	0	5	0	0
CVCCCVCCVCCV	0	93.93939394	6.060606061	0	0	31	2	0
CVCCCVCCVCV	0	55.61797753	44.38202247	0	0	99	79	0
CVCCCVCCVV	0	100	0	0	0	4	0	0
CVCCCVCCVVCCV	0	100	0	0	0	3	0	0
CVCCCVCCVVCV	0	100	0	0	0	67	0	0
CVCCCVCV	0	100	0	0	0	12	0	0
CVCCCVCVCCV	0	96.62921348	3.370786517	0	0	86	3	0
CVCCCVCVCV	0	66.33663366	31.68316832	1.98019802	0	134	64	4
CVCCCVCVCVCV	0	100	0	0	0	3	0	0
CVCCCVCVV	0	100	0	0	0	6	0	0
CVCCCVCVVCCV	0	100	0	0	0	5	0	0
CVCCCVCVVCV	0	99.08256881	0.917431193	0	0	108	1	0
CVCCCVV	0	100	0	0	0	1	0	0
CVCCCVVCCV	0	100	0	0	0	81	0	0
CVCCCVVCCVCCV	0	75	25	0	0	3	1	0
CVCCCVVCCVCV	0	83.33333333	16.66666667	0	0	5	1	0
CVCCCVVCCVV	0	100	0	0	0	2	0	0
CVCCCVVCV	0	100	0	0	0	108	0	0
CVCCCVVCVCCV	0	80	20	0	0	4	1	0
CVCCCVVCVCV	0	54.54545455	45.45454545	0	0	6	5	0
CVCCCVVVCV	0	100	0	0	0	4	0	0
CVCCV	0	100	0	0	0	20	0	0
CVCCVCCCV	0	100	0	0	0	1	0	0
CVCCVCCCVCCV	0	100	0	0	0	9	0	0
CVCCVCCCVCV	0	60	40	0	0	9	6	0
CVCCVCCCVV	0	100	0	0	0	1	0	0
CVCCVCCCVVCV	0	80	20	0	0	12	3	0
