CV-structure	S2_%ULT_Ty	S2_%PULT_Ty	S2_nULT_Ty	S2_nPULT_Ty
CCCVCCV	0	100	0	36
CCCVCCVV	0	100	0	4
CCCVCCVVCVCV	0	100	0	1
CCCVCV	0	100	0	28
CCCVV	0	100	0	1
CCCVVCCV	0	100	0	2
CCCVVCCVV	0	100	0	2
CCCVVCV	0	100	0	10
CCCVVV	0	100	0	2
CCV	0	100	0	2
CCVCC	0	100	0	3
CCVCCCV	0	100	0	24
CCVCCCVV	0	100	0	4
CCVCCV	0	100	0	317
CCVCCVCCV	0	100	0	1
CCVCCVCVCCV	0	100	0	1
CCVCCVV	0	100	0	30
CCVCV	0	100	0	198
CCVCVCCV	0	100	0	1
CCVCVV	0	100	0	21
CCVV	0	100	0	8
CCVVCCCV	0	100	0	1
CCVVCCV	0	100	0	31
CCVVCCVV	0	100	0	3
CCVVCV	0	100	0	44
CCVVVV	0	100	0	2
CVCC	0	100	0	12
CVCCCV	0	100	0	101
CVCCCVV	0	100	0	19
CVCCCVVCCV	0	100	0	1
CVCCV	0	100	0	1034
CVCCVCCCV	0	100	0	1
CVCCVCCVCV	0	100	0	1
CVCCVCCVV	0	100	0	1
CVCCVCV	0	100	0	2
CVCCVCVCCV	0	100	0	2
CVCCVCVCV	0	100	0	1
CVCCVCVCVCCVCCV	0	100	0	1
CVCCVV	0	100	0	104
CVCCVVCC	100	0	1	0
CVCCVVCCCV	0	100	0	1
CVCCVVCCV	0	100	0	1
CVCCVVCVCCV	0	100	0	1
CVCV	0	100	0	492
CVCVCCV	0	100	0	2
CVCVCCVCCV	0	100	0	2
CVCVCCVCV	0	100	0	3
CVCVCCVV	0	100	0	1
CVCVCV	0	100	0	3
CVCVCVCVCV	0	100	0	1
CVCVCVVCV	0	100	0	2
CVCVV	0	100	0	35
CVCVVCCVV	0	100	0	1
CVV	0	100	0	39
CVVCC	0	100	0	1
CVVCCCV	0	100	0	12
CVVCCV	0	100	0	93
CVVCCVV	0	100	0	13
CVVCV	0	100	0	133
CVVCVCCV	0	100	0	1
CVVCVV	0	100	0	1
CVVV	0	100	0	23
CVVVCV	0	100	0	4
CVVVV	0	100	0	6
CAVCCVCCV	0	100	0	1
VCC	0	100	0	2
VCCCV	0	100	0	24
VCCCVCCV	0	100	0	1
VCCCVCVCCVCCCV	0	100	0	1
VCCCVV	0	100	0	3
VCCCVVCCVCCV	0	100	0	1
VCCV	0	100	0	78
VCCVCCCVCVV	0	100	0	1
VCCVCCV	0	100	0	3
VCCVCCVV	0	100	0	1
VCCVCV	0	100	0	1
VCCVCVCCV	0	100	0	1
VCCVCVCCVCCVV	0	100	0	1
VCCVV	0	100	0	17
VCCVVCCV	0	100	0	1
VCCAVCCCVCCVCV	0	100	0	1
VCV	0	100	0	42
VCVCC	0	100	0	1
VCVCCCV	0	100	0	1
VCVCCV	0	100	0	1
VCVV	0	100	0	6
VCVVCV	0	100	0	1
VVCC	0	100	0	1
VVCV	0	100	0	7
VVV	0	100	0	3
VVVCVVV	0	100	0	1
VVVVCV	0	100	0	1
