"1lett"	"%ULT_Tk"	"%PULT_Tk"	"%APULT_Tk"	"%PAPULT_Tk"	"nULT_Tk"	"nPULT_Tk"	"nAPULT_Tk"	"nPAPULT_Tk"
"a"	4.09260642270351	86.0978342046303	9.64525765496639	0.164301717699776	1096	23057	2583	44
"b"	1.90667335674862	92.8123432012042	5.18063221274461	0.100351229302559	152	7399	413	8
"c"	9.45126202761121	82.3873936689444	8.02538000278901	0.135964300655418	2711	23632	2302	39
"d"	2.80348207553636	87.0518884090753	9.96641305092878	0.178216464459524	409	12700	1454	26
"e"	4.602906387293	79.9864819195674	15.3430212909767	0.0675904021628929	681	11834	2270	10
"f"	2.83066312235074	89.5538472591422	7.57956749766506	0.0359221208420145	394	12465	1055	5
"F"	0	100	0	0	0	35	0	0
"g"	2.68338168255284	90.2714463323663	7.00372979693328	0.0414421881475342	259	8713	676	4
"h"	55.5555555555556	44.4444444444444	0	0	10	8	0	0
"i"	2.12472723096359	85.1154243711956	12.5990582290111	0.160790168829677	185	7411	1097	14
"j"	0	100	0	0	0	12	0	0
"l"	3.42654588420638	85.7818038597873	10.6209793882106	0.17067086779572	261	6534	809	13
"m"	2.20280811232449	87.8065522620905	9.89703588143526	0.093603744149766	353	14071	1586	15
"n"	1.96939642958345	90.0113346557098	8.01926891470672	0	139	6353	566	0
"o"	1.42677955471935	87.4255252430229	11.0536218250235	0.0940733772342427	91	5576	705	6
"p"	11.034992276177	75.1863792061253	13.6678084491907	0.110820068506951	3286	22389	4070	33
"q"	1.68948082377605	97.0896534714515	1.22086570477248	0	137	7873	99	0
"r"	4.77907191717508	82.5568496949529	12.5716398594934	0.0924385283786282	517	8931	1360	10
"s"	2.2699839055794	86.7086909871245	10.9576180257511	0.0637070815450644	677	25860	3268	19
"t"	2.3635611907387	90.0702866593164	7.51791620727674	0.0482359426681367	343	13071	1091	7
"u"	14.9704530531845	65.8130882031079	19.2164587437076	0	684	3007	878	0
"v"	2.80585428964179	88.671464381014	8.49842322309372	0.0242581062505054	347	10966	1051	3
"V"	0	99.548532731377	0.451467268623025	0	0	441	2	0
"z"	0.182982616651418	94.327538883806	5.48947849954254	0	2	1031	60	0
