4lett	%ULT_Tk	%PULT_Tk	%APULT_Tk	%PAPULT_Tk	nULT_Tk	nPULT_Tk	nAPULT_Tk	nPAPULT_Tk
abba	6.14035087719298	83.7719298245614	10.0877192982456	0	14	191	23	0
abbe	25	75	0	0	1	3	0	0
abbi	0	100	0	0	0	4	0	0
abbo	0	100	0	0	0	24	0	0
abbr	13.7931034482759	68.9655172413793	17.2413793103448	0	4	20	5	0
abet	0	100	0	0	0	22	0	0
abil	26.9230769230769	0	73.0769230769231	0	7	0	19	0
abis	0	100	0	0	0	13	0	0
abit	0.3003003003003	54.6546546546547	41.1411411411411	3.9039039039039	1	182	137	13
abol	33.3333333333333	50	16.6666666666667	0	2	3	1	0
acac	0	100	0	0	0	7	0	0
acca	2.83400809716599	94.331983805668	2.83400809716599	0	7	233	7	0
acce	5.91397849462366	73.1182795698925	20.9677419354839	0	11	136	39	0
acch	3.2258064516129	93.5483870967742	3.2258064516129	0	1	29	1	0
acci	1.69491525423729	91.5254237288136	6.77966101694915	0	1	54	4	0
acco	7.15990453460621	77.326968973747	13.3651551312649	2.14797136038186	30	324	56	9
accr	0	0	100	0	0	0	6	0
accu	6.66666666666667	66.6666666666667	26.6666666666667	0	2	20	8	0
acet	0	100	0	0	0	4	0	0
acid	0	0	100	0	0	0	8	0
acqu	0.707213578500707	96.3224893917963	2.97029702970297	0	5	681	21	0
acro	0	100	0	0	0	5	0	0
acut	0	100	0	0	0	24	0	0
adag	6.25	87.5	6.25	0	1	14	1	0
adat	0.925925925925926	95.3703703703704	3.7037037037037	0	1	103	4	0
adde	16	80	4	0	4	20	1	0
addi	0	100	0	0	0	117	0	0
addo	10.4166666666667	88.8888888888889	0.694444444444444	0	15	128	1	0
adeg	0	100	0	0	0	5	0	0
ades	0	100	0	0	0	286	0	0
adir	0	100	0	0	0	3	0	0
adop	12.5	43.75	37.5	6.25	2	7	6	1
ador	0	88.5714285714286	11.4285714285714	0	0	31	4	0
adot	20	60	20	0	1	3	1	0
adri	0	0	100	0	0	0	9	0
adul	0	100	0	0	0	24	0	0
aere	0	0	100	0	0	0	72	0
aero	0	100	0	0	0	46	0	0
affa	1.11111111111111	95.5555555555556	3.33333333333333	0	2	172	6	0
affe	17.5	75	7.5	0	21	90	9	0
affi	31.5789473684211	61.4035087719298	5.26315789473684	1.75438596491228	18	35	3	1
affl	0	87.5	12.5	0	0	7	1	0
affo	0	85.2941176470588	14.7058823529412	0	0	29	5	0
affr	8.82352941176471	83.8235294117647	7.35294117647059	0	6	57	5	0
afri	0	100	0	0	0	14	0	0
agen	0	100	0	0	0	47	0	0
agge	0	100	0	0	0	10	0	0
aggi	5.64516129032258	77.4193548387097	16.9354838709677	0	7	96	21	0
aggr	0	90.9090909090909	9.09090909090909	0	0	10	1	0
aggu	0	100	0	0	0	10	0	0
agil	0	0	100	0	0	0	10	0
agir	0	91.6666666666667	8.33333333333333	0	0	22	2	0
agit	11.3636363636364	61.3636363636364	18.1818181818182	9.09090909090909	5	27	8	4
agli	0	100	0	0	0	7	0	0
agne	0	100	0	0	0	7	0	0
agos	0	100	0	0	0	17	0	0
agri	0	66.6666666666667	33.3333333333333	0	0	22	11	0
agru	0	100	0	0	0	2	0	0
aguz	0	100	0	0	0	9	0	0
ahim	100	0	0	0	21	0	0	0
aiuo	0	100	0	0	0	19	0	0
aiut	5.41176470588235	86.1176470588235	8.47058823529412	0	23	366	36	0
alan	0	100	0	0	0	17	0	0
alaNA	0	100	0	0	0	1	0	0
alat	0	100	0	0	0	8	0	0
albe	0	9.49554896142433	90.5044510385757	0	0	32	305	0
albu	0	100	0	0	0	13	0	0
alco	0	100	0	0	0	7	0	0
alcu	6.14973262032086	93.8502673796791	0	0	23	351	0	0
alfa	0	100	0	0	0	13	0	0
alga	0	100	0	0	0	20	0	0
alim	2.94117647058824	91.1764705882353	5.88235294117647	0	1	31	2	0
alla	7.01754385964912	87.719298245614	5.26315789473684	0	4	50	3	0
alle	0	98.314606741573	1.68539325842697	0	0	175	3	0
alli	0	100	0	0	0	12	0	0
allo	1.13636363636364	97.4025974025974	1.46103896103896	0	7	600	9	0
allu	7.89473684210526	76.3157894736842	15.7894736842105	0	3	29	6	0
alme	0	100	0	0	0	118	0	0
alpi	0	100	0	0	0	12	0	0
alqu	0	100	0	0	0	14	0	0
alta	0	100	0	0	0	21	0	0
alte	0	100	0	0	0	51	0	0
alto	0	44	56	0	0	11	14	0
altr	0	100	0	0	0	1601	0	0
altu	0	100	0	0	0	5	0	0
alun	0	100	0	0	0	30	0	0
alve	0	100	0	0	0	6	0	0
alza	2.63157894736842	68.4210526315789	28.9473684210526	0	2	52	22	0
aman	0	100	0	0	0	8	0	0
amar	1.49253731343284	71.6417910447761	26.865671641791	0	1	48	18	0
amat	0	93.75	6.25	0	0	15	1	0
ambi	0	100	0	0	0	183	0	0
ambu	0	100	0	0	0	8	0	0
amer	0	100	0	0	0	47	0	0
amic	0	99.3589743589744	0.641025641025641	0	0	620	4	0
amma	3.77358490566038	86.7924528301887	9.43396226415094	0	2	46	5	0
amme	2.94117647058824	50	47.0588235294118	0	1	17	16	0
ammi	0	93.9393939393939	6.06060606060606	0	0	31	2	0
ammo	33.3333333333333	33.3333333333333	33.3333333333333	0	2	2	2	0
ammu	4.16666666666667	79.1666666666667	16.6666666666667	0	1	19	4	0
amor	0	100	0	0	0	66	0	0
ampi	0	100	0	0	0	24	0	0
anal	0	30	70	0	0	6	14	0
anat	0	2.77777777777778	97.2222222222222	0	0	1	35	0
ance	0	100	0	0	0	9	0	0
anch	0	100	0	0	0	1407	0	0
anco	3.1390134529148	95.8146487294469	1.04633781763827	0	21	641	7	0
anda	5.93445527015058	81.2223206377325	11.6031886625332	1.2400354295837	67	917	131	14
anel	0	100	0	0	0	32	0	0
anem	0	0	100	0	0	0	5	0
anfi	0	100	0	0	0	7	0	0
anfo	0	0	100	0	0	0	4	0
ange	0	16.6666666666667	83.3333333333333	0	0	8	40	0
ango	0	6.33802816901408	93.6619718309859	0	0	9	133	0
angu	0	100	0	0	0	14	0	0
anid	0	100	0	0	0	15	0	0
anim	0.186567164179104	91.6044776119403	8.2089552238806	0	1	491	44	0
anit	0	0	100	0	0	0	14	0
anne	0	100	0	0	0	6	0	0
anno	7.14285714285714	85.7142857142857	7.14285714285714	0	1	12	1	0
annu	11.1111111111111	79.1666666666667	9.72222222222222	0	8	57	7	0
ansi	0	100	0	0	0	27	0	0
ante	0	100	0	0	0	50	0	0
anti	6.16740088105727	78.8546255506608	14.9779735682819	0	14	179	34	0
anzi	43.3333333333333	56.6666666666667	0	0	13	17	0	0
aper	0	100	0	0	0	119	0	0
apos	0	0	100	0	0	0	11	0
appa	2.95081967213115	80	17.0491803278689	0	9	244	52	0
appe	0	96.9072164948454	3.09278350515464	0	0	282	9	0
appi	0	100	0	0	0	1	0	0
appl	0	82.3529411764706	17.6470588235294	0	0	14	3	0
appo	3.6144578313253	59.0361445783133	37.3493975903614	0	3	49	31	0
appr	6.57894736842105	78.9473684210526	14.4736842105263	0	5	60	11	0
appu	0	100	0	0	0	71	0	0
apri	2.10526315789474	86.3157894736842	11.5789473684211	0	4	164	22	0
aqui	0	36.3636363636364	63.6363636363636	0	0	16	28	0
arab	0	0	100	0	0	0	20	0
aran	0	100	0	0	0	52	0	0
arbi	0	0	100	0	0	0	13	0
arbu	0	100	0	0	0	10	0	0
arch	0	54.5454545454545	45.4545454545455	0	0	6	5	0
arci	0	0	100	0	0	0	6	0
arco	0	100	0	0	0	20	0	0
arcu	0	100	0	0	0	1	0	0
arde	0	42.8571428571429	57.1428571428571	0	0	3	4	0
ardi	0	100	0	0	0	5	0	0
arge	0	100	0	0	0	54	0	0
argi	0	59.0909090909091	40.9090909090909	0	0	13	9	0
argo	0	100	0	0	0	27	0	0
arid	0	0	100	0	0	0	12	0
arie	0	100	0	0	0	8	0	0
arin	0	100	0	0	0	8	0	0
arit	0	0	100	0	0	0	7	0
arma	0	98.5507246376812	1.44927536231884	0	0	68	1	0
armo	0	100	0	0	0	2	0	0
arne	0	100	0	0	0	13	0	0
arra	19.1011235955056	64.0449438202247	14.6067415730337	2.24719101123596	17	57	13	2
arre	7.69230769230769	78.2051282051282	14.1025641025641	0	6	61	11	0
arri	7.06075533661741	83.4154351395731	9.52380952380952	0	43	508	58	0
arro	7.84313725490196	90.1960784313726	1.96078431372549	0	4	46	1	0
arru	0	92.8571428571429	7.14285714285714	0	0	13	1	0
arti	0	50	50	0	0	55	55	0
