2lett	%ULT_Ty	%PULT_Ty	%APULT_Ty	%PAPULT_Ty	nULT_Ty	nPULT_Ty	nAPULT_Ty	nPAPULT_Ty
aa	NA	100	NA	NA	NA	1	NA	NA
ab	7.6271186440678	66.9491525423729	23.728813559322	1.69491525423729	9	79	28	2
ac	7.49185667752443	69.0553745928339	22.1498371335505	1.30293159609121	23	212	68	4
ad	5.8252427184466	78.6407766990291	14.5631067961165	0.970873786407767	6	81	15	1
ae	NA	50	50	NA	NA	4	4	NA
af	7.43243243243243	77.7027027027027	14.1891891891892	0.675675675675676	11	115	21	1
ag	7.14285714285714	72.4489795918367	19.3877551020408	1.02040816326531	7	71	19	1
ah	25	75	NA	NA	1	3	NA	NA
ai	6.12244897959184	67.3469387755102	26.530612244898	NA	3	33	13	NA
al	4.97512437810945	80.5970149253731	14.4278606965174	NA	10	162	29	NA
am	4.65116279069767	77.5193798449613	17.8294573643411	NA	6	100	23	NA
an	7.4468085106383	63.8297872340426	27.1276595744681	1.59574468085106	14	120	51	3
ao	NA	100	NA	NA	NA	1	NA	NA
ap	7.31707317073171	70.2439024390244	22.4390243902439	NA	15	144	46	NA
aq	NA	50	50	NA	NA	2	2	NA
ar	6.06060606060606	70.995670995671	22.5108225108225	0.432900432900433	14	164	52	1
as	4.74137931034483	77.5862068965517	17.6724137931034	NA	11	180	41	NA
at	5.06329113924051	69.620253164557	25.3164556962025	NA	8	110	40	NA
au	4.76190476190476	60.3174603174603	34.9206349206349	NA	3	38	22	NA
av	7.76255707762557	75.7990867579909	16.4383561643836	NA	17	166	36	NA
az	NA	85.7142857142857	14.2857142857143	NA	NA	12	2	NA
ba	4.74308300395257	79.0513833992095	15.8102766798419	0.395256916996047	12	200	40	1
be	4	83	13	NA	4	83	13	NA
bi	4.65116279069767	86.046511627907	9.30232558139535	NA	4	74	8	NA
bl	8.33333333333333	83.3333333333333	8.33333333333333	NA	1	10	1	NA
bo	5.26315789473684	94.7368421052632	NA	NA	3	54	NA	NA
br	7.76699029126214	69.9029126213592	22.3300970873786	NA	8	72	23	NA
bu	5.43478260869565	78.2608695652174	15.2173913043478	1.08695652173913	5	72	14	1
ca	5.96125186289121	77.645305514158	16.2444113263785	0.14903129657228	40	521	109	1
ce	5.55555555555556	69.4444444444444	25	NA	8	100	36	NA
ch	6.32911392405063	58.8607594936709	32.9113924050633	1.89873417721519	10	93	52	3
ci	6.38297872340426	76.5957446808511	16.3120567375887	0.709219858156028	9	108	23	1
cl	NA	81.8181818181818	18.1818181818182	NA	NA	18	4	NA
co	6.36435958631663	73.8265712012729	18.854415274463	0.954653937947494	80	928	237	12
cr	5.64516129032258	77.4193548387097	16.9354838709677	NA	7	96	21	NA
cu	5.71428571428571	82.8571428571429	11.4285714285714	NA	6	87	12	NA
da	4.42477876106195	64.6017699115044	28.3185840707965	2.65486725663717	5	73	32	3
de	3.84615384615385	75.7692307692308	17.6923076923077	2.69230769230769	10	197	46	7
di	4.858934169279	72.884012539185	21.7868338557994	0.470219435736677	31	465	139	3
dl	NA	100	NA	NA	NA	1	NA	NA
do	9.13705583756345	72.5888324873096	17.7664974619289	0.50761421319797	18	143	35	1
dr	NA	80	20	NA	NA	16	4	NA
du	7.5	75	17.5	NA	3	30	7	NA
eb	NA	100	NA	NA	NA	4	NA	NA
ec	NA	58.5365853658537	41.4634146341463	NA	NA	24	17	NA
ed	6.66666666666667	73.3333333333333	20	NA	1	11	3	NA
ef	NA	84.6153846153846	15.3846153846154	NA	NA	11	2	NA
eg	NA	100	NA	NA	NA	6	NA	NA
eh	50	50	NA	NA	1	1	NA	NA
el	3.125	56.25	40.625	NA	2	36	26	NA
em	5	77.5	17.5	NA	2	31	7	NA
en	6	78	16	NA	3	39	8	NA
ep	NA	60	40	NA	NA	3	2	NA
eq	NA	66.6666666666667	33.3333333333333	NA	NA	4	2	NA
er	NA	96.6666666666667	NA	3.33333333333333	NA	29	NA	1
es	4.96688741721854	71.1920529801324	23.5099337748344	0.33112582781457	15	215	71	1
et	7.69230769230769	76.9230769230769	15.3846153846154	NA	1	10	2	NA
eu	NA	100	NA	NA	NA	4	NA	NA
ev	11.4285714285714	68.5714285714286	14.2857142857143	5.71428571428571	4	24	5	2
ex	NA	100	NA	NA	NA	2	NA	NA
fa	3.54330708661417	70.0787401574803	25.1968503937008	1.18110236220472	9	178	64	3
FA	NA	100	NA	NA	NA	4	NA	NA
fe	4.20168067226891	76.4705882352941	19.327731092437	NA	5	91	23	NA
fi	5.83657587548638	75.875486381323	18.2879377431907	NA	15	195	47	NA
fl	NA	100	NA	NA	NA	5	NA	NA
fo	4.26829268292683	73.780487804878	21.9512195121951	NA	7	121	36	NA
fr	2.88461538461538	79.8076923076923	17.3076923076923	NA	3	83	18	NA
fu	5.60747663551402	85.981308411215	8.41121495327103	NA	6	92	9	NA
ga	6.15384615384615	80	13.8461538461538	NA	4	52	9	NA
ge	4.21052631578947	74.7368421052632	21.0526315789474	NA	4	71	20	NA
gh	NA	100	NA	NA	NA	18	NA	NA
gi	5.18867924528302	76.8867924528302	16.9811320754717	0.943396226415094	11	163	36	2
gl	NA	80	20	NA	NA	8	2	NA
gn	NA	100	NA	NA	NA	4	NA	NA
go	3.33333333333333	78.3333333333333	18.3333333333333	NA	2	47	11	NA
gr	3.6231884057971	81.8840579710145	14.4927536231884	NA	5	113	20	NA
gu	7.57575757575758	74.2424242424242	17.4242424242424	0.757575757575758	10	98	23	1
ho	33.3333333333333	66.6666666666667	NA	NA	1	2	NA	NA
id	10.5263157894737	52.6315789473684	36.8421052631579	NA	2	10	7	NA
ie	NA	100	NA	NA	NA	1	NA	NA
ig	10	60	30	NA	1	6	3	NA
ii	NA	100	NA	NA	NA	1	NA	NA
il	2.94117647058824	73.5294117647059	20.5882352941176	2.94117647058824	1	25	7	1
im	5.96026490066225	74.5033112582781	19.205298013245	0.33112582781457	18	225	58	1
in	5.4678007290401	74.9696233292831	18.8335358444714	0.729040097205346	45	617	155	6
io	NA	100	NA	NA	NA	1	NA	NA
ip	NA	NA	100	NA	NA	NA	2	NA
ir	14.2857142857143	78.5714285714286	NA	7.14285714285714	2	11	NA	1
is	2.08333333333333	77.0833333333333	20.8333333333333	NA	1	37	10	NA
it	NA	100	NA	NA	NA	5	NA	NA
je	NA	100	NA	NA	NA	1	NA	NA
ju	NA	100	NA	NA	NA	1	NA	NA
la	5.16431924882629	72.3004694835681	22.0657276995305	0.469483568075117	11	154	47	1
le	5.09554140127389	74.5222929936306	20.3821656050955	NA	8	117	32	NA
li	5.12820512820513	66.6666666666667	24.7863247863248	3.41880341880342	6	78	29	4
lo	2.22222222222222	82.2222222222222	15.5555555555556	NA	1	37	7	NA
lu	2.85714285714286	72.8571428571428	21.4285714285714	2.85714285714286	2	51	15	2
ma	4.16666666666667	77.2058823529412	18.1372549019608	0.490196078431373	17	315	74	2
me	4.71698113207547	64.1509433962264	29.2452830188679	1.88679245283019	10	136	62	4
mi	3.37837837837838	71.6216216216216	25	NA	5	106	37	NA
mo	5.33980582524272	75.7281553398058	17.4757281553398	1.45631067961165	11	156	36	3
mu	4.16666666666667	71.875	23.9583333333333	NA	4	69	23	NA
na	2.63157894736842	75.4385964912281	21.9298245614035	NA	3	86	25	NA
ne	12.9032258064516	82.258064516129	4.83870967741935	NA	8	51	3	NA
ni	5.88235294117647	94.1176470588235	NA	NA	1	16	NA	NA
no	6.31578947368421	81.0526315789474	12.6315789473684	NA	6	77	12	NA
nu	3.03030303030303	72.7272727272727	24.2424242424242	NA	2	48	16	NA
oa	NA	NA	100	NA	NA	NA	1	NA
