3lett	S2_%ULT_Ty	S2_%PULT_Ty	S3_%ULT_Ty	S3_%PULT_Ty	S3_%APULT_Ty	S4_%ULT_Ty	S4_%PULT_Ty	S4_%APULT_Ty	S4_%PAPULT_Ty	S5_%ULT_Ty	S5_%PULT_Ty	S5_%APULT_Ty	S5_%PAPULT_Ty	S6_%ULT_Ty	S6_%PULT_Ty	S6_%APULT_Ty	S6_%PAPULT_Ty	S7_%PULT_Ty	S7_%APULT_Ty	S8_%PULT_Ty	S2_nULT_Ty	S2_nPULT_Ty	S3_nULT_Ty	S3_nPULT_Ty	S3_nAPULT_Ty	S4_nULT_Ty	S4_nPULT_Ty	S4_nAPULT_Ty	S4_nPAPULT_Ty	S5_nULT_Ty	S5_nPULT_Ty	S5_nAPULT_Ty	S5_nPAPULT_Ty	S6_nULT_Ty	S6_nPULT_Ty	S6_nAPULT_Ty	S6_nPAPULT_Ty	S7_nPULT_Ty	S7_nAPULT_Ty	S8_nPULT_Ty
aah	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
abb	NA	NA	33.33333333	66.66666667	NA	2.777777778	80.55555556	16.66666667	NA	4.545454545	63.63636364	31.81818182	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	4	8	NA	1	29	6	NA	1	14	7	NA	NA	NA	4	NA	NA	NA	NA
abe	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
abi	NA	NA	10	40	50	7.692307692	76.92307692	NA	15.38461538	NA	61.53846154	38.46153846	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	1	4	5	1	10	NA	2	NA	8	5	NA	NA	2	NA	NA	NA	NA	NA
abo	NA	NA	100	NA	NA	NA	100	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	2	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA
aca	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
acc	NA	100	14.03508772	85.96491228	NA	7.627118644	65.25423729	27.11864407	NA	5.797101449	60.86956522	27.53623188	5.797101449	NA	53.33333333	46.66666667	NA	NA	NA	NA	NA	4	8	49	NA	9	77	32	NA	4	42	19	4	NA	8	7	NA	NA	NA	NA
ace	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
aci	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
acq	NA	100	14.28571429	71.42857143	14.28571429	4.761904762	76.19047619	19.04761905	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	1	5	1	1	16	4	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA
acr	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
acu	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ada	NA	NA	14.28571429	85.71428571	NA	7.692307692	76.92307692	15.38461538	NA	NA	40	60	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	6	NA	1	10	2	NA	NA	2	3	NA	NA	NA	NA	NA	NA	NA	NA
add	NA	NA	12.5	87.5	NA	7.142857143	85.71428571	7.142857143	NA	NA	100	NA	NA	NA	66.66666667	33.33333333	NA	NA	NA	NA	NA	NA	1	7	NA	1	12	1	NA	NA	12	NA	NA	NA	2	1	NA	NA	NA	NA
ade	NA	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
adi	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ado	NA	NA	33.33333333	66.66666667	NA	5.882352941	76.47058824	17.64705882	NA	NA	50	37.5	12.5	NA	NA	100	NA	NA	NA	NA	NA	NA	1	2	NA	1	13	3	NA	NA	4	3	1	NA	NA	1	NA	NA	NA	NA
adr	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
adu	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
aer	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA
afa	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
aff	50	50	23.52941176	76.47058824	NA	2.631578947	92.10526316	5.263157895	NA	NA	51.72413793	48.27586207	NA	NA	NA	66.66666667	33.33333333	NA	100	NA	1	1	8	26	NA	2	70	4	NA	NA	15	14	NA	NA	NA	2	1	NA	1	NA
afr	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
age	NA	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
agg	NA	100	9.090909091	90.90909091	NA	13.33333333	63.33333333	23.33333333	NA	14.28571429	42.85714286	42.85714286	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	10	NA	4	19	7	NA	1	3	3	NA	NA	NA	NA	NA	NA	NA	NA
agi	NA	100	10	60	30	NA	83.33333333	8.333333333	8.333333333	NA	50	50	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	1	6	3	NA	10	1	1	NA	2	2	NA	NA	NA	NA	NA	NA	NA	NA
agl	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
agn	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ago	NA	100	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	1	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
agr	NA	NA	NA	100	NA	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	3	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA
agu	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ahh	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ahi	NA	100	100	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
aia	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
aiu	NA	100	20	80	NA	8.333333333	75	16.66666667	NA	NA	47.05882353	52.94117647	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	1	4	NA	2	18	4	NA	NA	8	9	NA	NA	NA	NA	NA	NA	NA	NA
ala	NA	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
alb	NA	100	NA	50	50	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	2	2	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
alc	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
alf	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
alg	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ali	NA	NA	NA	NA	NA	33.33333333	66.66666667	NA	NA	NA	83.33333333	16.66666667	NA	NA	50	50	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2	NA	NA	NA	5	1	NA	NA	1	1	NA	NA	NA	NA
all	NA	NA	21.05263158	78.94736842	NA	2.040816327	87.75510204	10.20408163	NA	3.703703704	74.07407407	22.22222222	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	4	15	NA	1	43	5	NA	1	20	6	NA	NA	NA	2	NA	NA	NA	NA
alm	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
alp	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
alq	NA	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
alt	NA	100	NA	100	NA	NA	63.63636364	36.36363636	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	NA	8	NA	NA	7	4	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
alu	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
alv	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
alz	25	75	6.666666667	80	13.33333333	NA	25	75	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	3	1	12	2	NA	2	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ama	NA	100	5.555555556	88.88888889	5.555555556	NA	60	40	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	1	16	1	NA	3	2	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA
