ending	S2_%PULT_Tk	S3_%PULT_Tk	S3_%APULT_Tk	S4_%PULT_Tk	S4_%APULT_Tk	S4_%PAPULT_Tk	S5_%PULT_Tk	S5_%APULT_Tk	S6_%PULT_Tk	S6_%APULT_Tk	S7_%PULT_Tk	S7_%APULT_Tk	S8_%PULT_Tk	S2_nPULT_Tk	S3_nPULT_Tk	S3_nAPULT_Tk	S4_nPULT_Tk	S4_nAPULT_Tk	S4_nPAPULT_Tk	S5_nPULT_Tk	S5_nAPULT_Tk	S6_nPULT_Tk	S6_nAPULT_Tk	S7_nPULT_Tk	S7_nAPULT_Tk	S8_nPULT_Tk
bba	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
bbe	100	100	0	100	0	0	100	0	100	0	NA	NA	NA	81	448	0	75	0	0	28	0	3	0	NA	NA	NA
bbi	100	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23	2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
bbo	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	126	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ble	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
bra	100	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	295	0	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
bre	100	72.0720720720721	27.9279279279279	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	44	80	31	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
bri	100	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	82	0	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
bro	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	97	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cca	100	100	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	306	34	0	21	0	0	NA	NA	NA	NA	NA	NA	NA
cce	100	100	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	155	18	0	3	0	0	NA	NA	NA	NA	NA	NA	NA
cci	100	100	0	100	0	0	100	0	NA	NA	NA	NA	NA	42	25	0	9	0	0	1	0	NA	NA	NA	NA	NA
