ending	S2_%PULT_Tk	S3_%PULT_Tk	S3_%APULT_Tk	S4_%PULT_Tk	S4_%APULT_Tk	S4_%PAPULT_Tk	S5_%PULT_Tk	S5_%APULT_Tk	S5_%PAPULT_Tk	S6_%PULT_Tk	S6_%APULT_Tk	S6_%PAPULT_Tk	S7_%APULT_Tk	S8_%PULT_Tk	S2_nPULT_Tk	S3_nPULT_Tk	S3_nAPULT_Tk	S4_nPULT_Tk	S4_nAPULT_Tk	S4_nPAPULT_Tk	S5_nPULT_Tk	S5_nAPULT_Tk	S5_nPAPULT_Tk	S6_nPULT_Tk	S6_nAPULT_Tk	S6_nPAPULT_Tk	S7_nAPULT_Tk	S8_nPULT_Tk
aba	100	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12	0	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
abe	100	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12	0	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
abi	NA	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
abo	NA	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
aca	NA	26.92307692	73.07692308	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	19	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA
ace	100	100	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	241	91	0	15	0	0	NA	NA	NA	NA	NA	NA	NA	NA
aci	100	59.61538462	40.38461538	42.85714286	50	7.142857143	NA	NA	NA	NA	NA	NA	NA	NA	17	31	21	6	7	1	NA	NA	NA	NA	NA	NA	NA	NA
aco	100	2.898550725	97.10144928	36.36363636	63.63636364	0	NA	NA	NA	NA	NA	NA	NA	NA	1	2	67	4	7	0	NA	NA	NA	NA	NA	NA	NA	NA
ada	100	48.48484848	51.51515152	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	295	16	17	8	0	0	NA	NA	NA	NA	NA	NA	NA	NA
ade	100	64.28571429	35.71428571	100	0	0	0	100	0	NA	NA	NA	NA	NA	109	27	15	3	0	0	0	4	0	NA	NA	NA	NA	NA
adi	100	100	0	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	45	2	0	NA	NA	NA	0	20	0	NA	NA	NA	NA	NA
ado	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	181	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
afa	100	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	NA	0	5	0	NA	NA	NA	NA	NA	NA	NA	NA
afi	NA	NA	NA	42.85714286	57.14285714	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	4	0	NA	NA	NA	NA	NA	NA	NA	NA
afo	NA	NA	NA	28.57142857	71.42857143	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	10	0	NA	NA	NA	NA	NA	NA	NA	NA
aga	100	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	26	3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
age	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
