ending	S2_%PULT_Tk	S3_%PULT_Tk	S3_%APULT_Tk	S4_%PULT_Tk	S4_%APULT_Tk	S5_%PULT_Tk	S2_nPULT_Tk	S3_nPULT_Tk	S3_nAPULT_Tk	S4_nPULT_Tk	S4_nAPULT_Tk	S5_nPULT_Tk
aia	100	100	0	100	0	NA	37	86	0	34	0	NA
aie	100	100	0	NA	NA	NA	5	3	0	NA	NA	NA
aio	100	100	0	100	0	100	84	97	0	61	0	4
aoo	100	NA	NA	NA	NA	NA	13	NA	NA	NA	NA	NA
iai	NA	100	0	100	0	NA	NA	31	0	8	0	NA
iao	100	100	0	NA	NA	NA	138	2	0	NA	NA	NA
iei	100	NA	NA	NA	NA	NA	237	NA	NA	NA	NA	NA
iii	NA	100	0	NA	NA	NA	NA	57	0	NA	NA	NA
oia	100	100	0	100	0	NA	68	5	0	4	0	NA
oie	100	NA	NA	NA	NA	NA	11	NA	NA	NA	NA	NA
oio	100	100	0	100	0	NA	10	9	0	23	0	NA
ooo	100	NA	NA	NA	NA	NA	17	NA	NA	NA	NA	NA
uai	100	NA	NA	NA	NA	100	66	NA	NA	NA	NA	1
uao	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	31
uau	100	NA	NA	NA	NA	NA	16	NA	NA	NA	NA	NA
uea	NA	NA	NA	0	100	NA	NA	NA	NA	0	3	NA
uei	100	NA	NA	0	100	NA	181	NA	NA	0	1	NA
ueo	NA	0	100	0	100	NA	NA	0	9	0	5	NA
uia	100	NA	NA	NA	NA	NA	7	NA	NA	NA	NA	NA
uie	100	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	NA
uii	NA	100	0	100	0	NA	NA	2	0	1	0	NA
uio	100	NA	NA	NA	NA	NA	60	NA	NA	NA	NA	NA
uoi	100	NA	NA	NA	NA	NA	906	NA	NA	NA	NA	NA
uuu	100	NA	NA	NA	NA	NA	18	NA	NA	NA	NA	NA
