ending	%PULT_Ty	%APULT_Ty	%PAPULT_Ty	nPULT_Ty	nAPULT_Ty	nPAPULT_Ty
bba	100	NA	NA	1	NA	NA
bbe	100	NA	NA	68	NA	NA
bbi	100	NA	NA	6	NA	NA
bbo	100	NA	NA	3	NA	NA
ble	100	NA	NA	1	NA	NA
bra	75	25	NA	6	2	NA
bre	72.7272727272727	27.2727272727273	NA	8	3	NA
bri	83.3333333333333	16.6666666666667	NA	5	1	NA
bro	100	NA	NA	5	NA	NA
cca	100	NA	NA	25	NA	NA
cce	100	NA	NA	24	NA	NA
cci	100	NA	NA	30	NA	NA
cco	100	NA	NA	24	NA	NA
che	42.0168067226891	57.9831932773109	NA	50	69	NA
chi	92.1348314606742	7.86516853932584	NA	82	7	NA
cli	100	NA	NA	1	NA	NA
clo	100	NA	NA	1	NA	NA
cra	100	NA	NA	1	NA	NA
cre	100	NA	NA	2	NA	NA
cri	100	NA	NA	2	NA	NA
cro	100	NA	NA	3	NA	NA
dda	100	NA	NA	2	NA	NA
dde	100	NA	NA	4	NA	NA
ddi	100	NA	NA	3	NA	NA
ddo	100	NA	NA	1	NA	NA
dra	80	20	NA	4	1	NA
dre	100	NA	NA	3	NA	NA
dri	100	NA	NA	7	NA	NA
dro	100	NA	NA	4	NA	NA
ffa	100	NA	NA	6	NA	NA
ffe	100	NA	NA	2	NA	NA
ffi	100	NA	NA	6	NA	NA
ffo	100	NA	NA	6	NA	NA
fra	100	NA	NA	3	NA	NA
fre	100	NA	NA	3	NA	NA
fri	100	NA	NA	1	NA	NA
fro	100	NA	NA	2	NA	NA
gga	100	NA	NA	5	NA	NA
gge	100	NA	NA	14	NA	NA
ggi	100	NA	NA	35	NA	NA
ggo	100	NA	NA	3	NA	NA
ghe	100	NA	NA	17	NA	NA
ghi	84.6153846153846	15.3846153846154	NA	22	4	NA
gla	100	NA	NA	3	NA	NA
gle	100	NA	NA	2	NA	NA
gli	65.3846153846154	33.8461538461538	0.769230769230769	85	44	1
gma	100	NA	NA	2	NA	NA
gmi	100	NA	NA	2	NA	NA
gna	100	NA	NA	25	NA	NA
gne	100	NA	NA	13	NA	NA
gni	100	NA	NA	24	NA	NA
gno	100	NA	NA	25	NA	NA
gra	100	NA	NA	4	NA	NA
gre	100	NA	NA	3	NA	NA
gri	100	NA	NA	5	NA	NA
gro	100	NA	NA	4	NA	NA
lba	100	NA	NA	1	NA	NA
lca	100	NA	NA	2	NA	NA
lce	100	NA	NA	2	NA	NA
lci	100	NA	NA	4	NA	NA
lco	100	NA	NA	2	NA	NA
lda	100	NA	NA	3	NA	NA
lde	100	NA	NA	1	NA	NA
ldi	100	NA	NA	4	NA	NA
ldo	100	NA	NA	4	NA	NA
lfi	100	NA	NA	1	NA	NA
