ending	B_%PULT_Ty	C_%PULT_Ty	G_%PULT_Ty	G_%APULT_Ty	I_%PULT_Ty	N_%PULT_Ty	P_%PULT_Ty	S_%PULT_Ty	S_%APULT_Ty	V_%PULT_Ty	V_%APULT_Ty	V_%PAPULT_Ty	B_nPULT_Ty	C_nPULT_Ty	G_nPULT_Ty	G_nAPULT_Ty	I_nPULT_Ty	N_nPULT_Ty	P_nPULT_Ty	S_nPULT_Ty	S_nAPULT_Ty	V_nPULT_Ty	V_nAPULT_Ty	V_nPAPULT_Ty
bba	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA
bbe	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	68	NA	NA
bbi	NA	NA	NA	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	3	NA	NA
bbo	NA	NA	100	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	1	NA	NA	NA	NA	2	NA	1	NA	NA
ble	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA
bra	NA	NA	NA	NA	NA	NA	NA	83.3333333333333	16.6666666666667	50	50	NA	NA	NA	NA	NA	NA	NA	NA	5	1	1	1	NA
bre	NA	NA	NA	100	NA	NA	NA	80	20	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	8	2	NA	NA	NA
bri	NA	NA	NA	100	NA	NA	NA	100	NA	100	NA	NA	NA	NA	NA	1	NA	NA	NA	4	NA	1	NA	NA
bro	NA	NA	NA	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	1	NA	NA
cca	NA	NA	100	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	3	NA	NA	NA	NA	14	NA	9	NA	NA
cce	NA	NA	100	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	1	NA	NA	NA	NA	22	NA	1	NA	NA
cci	NA	NA	100	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	3	NA	NA	NA	NA	23	NA	5	NA	NA
cco	100	NA	100	NA	100	NA	NA	100	NA	100	NA	NA	1	NA	3	NA	1	NA	NA	21	NA	4	NA	NA
che	100	100	20.5479452054795	79.4520547945205	NA	NA	NA	70.5882352941177	29.4117647058824	NA	NA	NA	1	1	15	58	NA	NA	NA	36	15	NA	NA	NA
chi	NA	NA	94.4444444444444	5.55555555555556	NA	100	NA	98.4848484848485	1.51515151515152	72.7272727272727	27.2727272727273	NA	NA	NA	17	1	NA	2	NA	65	1	16	6	NA
cli	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA
clo	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA
cra	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
cre	NA	NA	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA
cri	NA	NA	100	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1	NA	NA	NA	NA
cro	NA	NA	100	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	2	NA	NA	NA	NA
dda	NA	NA	100	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	1	NA	NA
dde	NA	NA	100	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	3	NA	NA
ddi	NA	NA	100	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	2	NA	NA
ddo	NA	NA	100	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1	NA	NA	NA	NA
dra	NA	NA	100	NA	NA	NA	NA	75	25	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	3	1	NA	NA	NA
dre	NA	NA	100	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	3	NA	NA	NA	NA
dri	NA	NA	100	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	7	NA	NA	NA	NA
dro	NA	NA	100	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	4	NA	NA	NA	NA
ffa	NA	NA	100	NA	100	NA	NA	100	NA	100	NA	NA	NA	NA	1	NA	1	NA	NA	2	NA	2	NA	NA
ffe	NA	NA	100	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1	NA	NA	NA	NA
ffi	NA	NA	100	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	1	NA	NA	NA	NA	5	NA	1	NA	NA
ffo	NA	NA	100	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	1	NA	NA	NA	NA	5	NA	1	NA	NA
fra	NA	NA	NA	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	2	NA	NA
fre	NA	NA	NA	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	2	NA	NA
fri	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA
fro	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA
gga	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	NA
gge	NA	NA	100	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	2	NA	NA	NA	NA	4	NA	9	NA	NA
ggi	100	NA	100	NA	NA	NA	NA	100	NA	100	NA	NA	1	NA	2	NA	NA	NA	NA	24	NA	12	NA	NA
ggo	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA
ghe	NA	NA	100	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	15	NA	NA	NA	NA
ghi	NA	NA	100	NA	NA	NA	NA	81.25	18.75	87.5	12.5	NA	NA	NA	3	NA	NA	NA	NA	13	3	7	1	NA
gla	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA
gle	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA
gli	NA	NA	100	NA	NA	100	NA	100	NA	57.9439252336449	41.1214953271028	0.934579439252336	NA	NA	3	NA	NA	1	NA	21	NA	62	44	1
gma	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA
