ending	%PULT_Ty	%APULT_Ty	%PAPULT_Ty	nPULT_Ty	nAPULT_Ty	nPAPULT_Ty
aba	33.3333333333333	66.6666666666667	NA	1	2	NA
abe	50	50	NA	1	1	NA
abi	NA	100	NA	NA	1	NA
abo	NA	100	NA	NA	1	NA
aca	75	25	NA	3	1	NA
ace	100	NA	NA	11	NA	NA
aci	33.3333333333333	61.9047619047619	4.76190476190476	7	13	1
aco	50	50	NA	3	3	NA
ada	90	10	NA	9	1	NA
ade	81.8181818181818	18.1818181818182	NA	9	2	NA
adi	83.3333333333333	16.6666666666667	NA	5	1	NA
ado	100	NA	NA	4	NA	NA
afa	50	50	NA	1	1	NA
afi	25	75	NA	1	3	NA
afo	33.3333333333333	66.6666666666667	NA	1	2	NA
aga	100	NA	NA	6	NA	NA
age	100	NA	NA	2	NA	NA
agi	100	NA	NA	4	NA	NA
ago	87.5	12.5	NA	7	1	NA
ahi	100	NA	NA	1	NA	NA
ala	27.5862068965517	65.5172413793103	6.89655172413793	8	19	2
ale	89.922480620155	10.077519379845	NA	116	13	NA
ali	84.5528455284553	14.6341463414634	0.813008130081301	104	18	1
alo	15.7894736842105	81.5789473684211	2.63157894736842	6	31	1
ama	100	NA	NA	10	NA	NA
ame	100	NA	NA	11	NA	NA
ami	31.4285714285714	68.5714285714286	NA	11	24	NA
amo	99.0322580645161	0.967741935483871	NA	307	3	NA
ana	97.2222222222222	2.77777777777778	NA	35	1	NA
ane	74.3589743589744	25.6410256410256	NA	29	10	NA
ani	86.2745098039216	13.7254901960784	NA	44	7	NA
ano	4.4979079497908	89.1213389121339	6.38075313807531	43	852	61
apa	100	NA	NA	1	NA	NA
ape	100	NA	NA	1	NA	NA
api	100	NA	NA	3	NA	NA
apo	100	NA	NA	1	NA	NA
ara	94.7368421052632	5.26315789473684	NA	18	1	NA
are	99.2743105950653	0.725689404934688	NA	684	5	NA
ari	95.6521739130435	4.34782608695652	NA	66	3	NA
aro	77.7777777777778	22.2222222222222	NA	14	4	NA
asa	100	NA	NA	4	NA	NA
ase	100	NA	NA	6	NA	NA
asi	57.8947368421053	42.1052631578947	NA	11	8	NA
aso	100	NA	NA	4	NA	NA
ata	100	NA	NA	457	NA	NA
ate	100	NA	NA	418	NA	NA
ati	99.4884910485933	0.51150895140665	NA	389	2	NA
ato	99.6932515337423	0.306748466257669	NA	650	2	NA
ava	100	NA	NA	410	NA	NA
ave	100	NA	NA	9	NA	NA
avi	96.551724137931	3.44827586206897	NA	28	1	NA
avo	100	NA	NA	71	NA	NA
axi	100	NA	NA	1	NA	NA
azi	100	NA	NA	1	NA	NA
eca	100	NA	NA	6	NA	NA
ece	100	NA	NA	3	NA	NA
eci	23.5294117647059	76.4705882352941	NA	4	13	NA
eco	100	NA	NA	5	NA	NA
eda	100	NA	NA	8	NA	NA
ede	96	4	NA	24	1	NA
edi	100	NA	NA	13	NA	NA
edo	100	NA	NA	11	NA	NA
ega	100	NA	NA	12	NA	NA
ege	100	NA	NA	1	NA	NA
egi	100	NA	NA	2	NA	NA
