ending	S2_%PULT_Ty	S3_%PULT_Ty	S3_%APULT_Ty	S4_%PULT_Ty	S4_%APULT_Ty	S5_%PULT_Ty	S2_nPULT_Ty	S3_nPULT_Ty	S3_nAPULT_Ty	S4_nPULT_Ty	S4_nAPULT_Ty	S5_nPULT_Ty
aia	100	100	NA	100	NA	NA	6	7	NA	3	NA	NA
aie	100	100	NA	NA	NA	NA	3	2	NA	NA	NA	NA
aio	100	100	NA	100	NA	100	4	12	NA	9	NA	1
aoo	100	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
iai	NA	100	NA	100	NA	NA	NA	9	NA	4	NA	NA
iao	100	100	NA	NA	NA	NA	2	1	NA	NA	NA	NA
iei	100	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
iii	NA	100	NA	NA	NA	NA	NA	1	NA	NA	NA	NA
oia	100	100	NA	100	NA	NA	3	1	NA	1	NA	NA
oie	100	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA
oio	100	100	NA	100	NA	NA	2	1	NA	4	NA	NA
ooo	100	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
uai	100	NA	NA	NA	NA	100	1	NA	NA	NA	NA	1
uao	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	1
uau	100	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
uea	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	1	NA
uei	100	NA	NA	NA	100	NA	1	NA	NA	NA	1	NA
ueo	NA	NA	100	NA	100	NA	NA	NA	1	NA	1	NA
uia	100	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
uie	100	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
uii	NA	100	NA	100	NA	NA	NA	1	NA	1	NA	NA
uio	100	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
uoi	100	NA	NA	NA	NA	NA	5	NA	NA	NA	NA	NA
uuu	100	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
