word,syllable_index,syllable_count,pulse
La,0.0,1.0,strong
luna,0.0,2.0,strong
luna,1.0,2.0,weak
illumina,0.0,4.0,weak
illumina,1.0,4.0,weak
illumina,2.0,4.0,strong
illumina,3.0,4.0,weak
il,0.0,1.0,strong
sentiero,0.0,3.0,weak
sentiero,1.0,3.0,weak
sentiero,2.0,3.0,strong
silenzioso,0.0,4.0,weak
silenzioso,1.0,4.0,weak
silenzioso,2.0,4.0,strong
silenzioso,3.0,4.0,weak
,,,pause_short
il,0.0,1.0,strong
fiume,0.0,2.0,strong
fiume,1.0,2.0,weak
canta,0.0,2.0,strong
canta,1.0,2.0,weak
piano,0.0,2.0,strong
piano,1.0,2.0,weak
tra,0.0,1.0,strong
le,0.0,1.0,strong
pietre,0.0,2.0,strong
pietre,1.0,2.0,weak
e,0.0,1.0,strong
la,0.0,1.0,strong
notte,0.0,2.0,strong
notte,1.0,2.0,weak
custodisce,0.0,4.0,weak
custodisce,1.0,4.0,weak
custodisce,2.0,4.0,strong
custodisce,3.0,4.0,weak
i,0.0,1.0,strong
sogni,0.0,2.0,strong
sogni,1.0,2.0,weak
del,0.0,1.0,strong
bosco,0.0,2.0,strong
bosco,1.0,2.0,weak
,,,pause_long
