word,syllable_index,syllable_count,pulse
La,0.0,1.0,strong
musica,0.0,3.0,strong
musica,1.0,3.0,weak
musica,2.0,3.0,weak
attraversa,0.0,4.0,weak
attraversa,1.0,4.0,weak
attraversa,2.0,4.0,strong
attraversa,3.0,4.0,weak
il,0.0,1.0,strong
bosco,0.0,2.0,strong
bosco,1.0,2.0,weak
,,,pause_short
sfiorando,0.0,3.0,weak
sfiorando,1.0,3.0,strong
sfiorando,2.0,3.0,weak
gli,0.0,1.0,strong
alberi,0.0,3.0,strong
alberi,1.0,3.0,weak
alberi,2.0,3.0,weak
addormentati,0.0,5.0,weak
addormentati,1.0,5.0,weak
addormentati,2.0,5.0,weak
addormentati,3.0,5.0,strong
addormentati,4.0,5.0,weak
,,,pause_short
una,0.0,2.0,strong
una,1.0,2.0,weak
lucciola,0.0,3.0,strong
lucciola,1.0,3.0,weak
lucciola,2.0,3.0,weak
illumina,0.0,4.0,weak
illumina,1.0,4.0,weak
illumina,2.0,4.0,strong
illumina,3.0,4.0,weak
il,0.0,1.0,strong
sentiero,0.0,3.0,weak
sentiero,1.0,3.0,weak
sentiero,2.0,3.0,strong
,,,pause_short
tra,0.0,1.0,strong
profumi,0.0,3.0,weak
profumi,1.0,3.0,strong
profumi,2.0,3.0,weak
antichi,0.0,3.0,weak
antichi,1.0,3.0,strong
antichi,2.0,3.0,weak
e,0.0,1.0,strong
prati,0.0,2.0,strong
prati,1.0,2.0,weak
argentati,0.0,4.0,weak
argentati,1.0,4.0,weak
argentati,2.0,4.0,strong
argentati,3.0,4.0,weak
,,,pause_long
