word,syllable_index,syllable_count,pulse
Ciao,0.0,2.0,strong
Ciao,1.0,2.0,weak
sono,0.0,2.0,strong
sono,1.0,2.0,weak
molto,0.0,2.0,strong
molto,1.0,2.0,weak
felice,0.0,3.0,weak
felice,1.0,3.0,strong
felice,2.0,3.0,weak
,,,pause_long
Il,0.0,1.0,strong
gatto,0.0,2.0,strong
gatto,1.0,2.0,weak
mangia,0.0,2.0,strong
mangia,1.0,2.0,weak
una,0.0,2.0,strong
una,1.0,2.0,weak
mela,0.0,2.0,strong
mela,1.0,2.0,weak
,,,pause_short
mentre,0.0,2.0,strong
mentre,1.0,2.0,weak
il,0.0,1.0,strong
cane,0.0,2.0,strong
cane,1.0,2.0,weak
corre,0.0,2.0,strong
corre,1.0,2.0,weak
in,0.0,1.0,strong
giardino,0.0,3.0,weak
giardino,1.0,3.0,strong
giardino,2.0,3.0,weak
,,,pause_long
